Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2006/12/22,"Kondaneftegaz LLC","Siberian Energy Group Inc","Key Brokerage Inc",3.89,"Stock", ,"Completed"
"M&A",2003/10/1,"Baltic Communications ZAO","Peterstar ZAO","MIG LLC",3.80,"Cash", ,"Completed"
"M&A",2002/10/4,"Golden Line","Sistema PJSFC","Alcatel Lucent SAS",3.29,"Undisclosed", ,"Completed"
"M&A",2007/8/8,"Darasunsky Rudnik OOO","Uzhuralzoloto Group of Cos OJSC","Highland Gold Mining Ltd",3.00,"Cash", ,"Completed"
"INV",2015/4/29,"Incuron LLC","Private Investor","Statera Biopharma Inc",3.00,"Cash", ,"Completed"
"M&A",2007/4/10,"Satcom Tel JSC,Direct Net ZAO","Golden Telecom Inc","Consolidated Communications Corp PLC",2.90,"Cash", ,"Completed"
"M&A",2023/6/14,"Lineynoe OOO","Private Investor","PetroNeft Resources PLC,Sharmel Ltd",2.50,"Cash", ,"Withdrawn"
"M&A",2002/10/21,"Yellow Pages Ltd/Russia","Unnamed Buyer","MIG LLC",2.50,"Cash", ,"Completed"
"INV",2011/11/4,"Cameroon Holdings Ltd","Victoria Oil & Gas PLC","PR Marriott Drilling Ltd",2.50,"Cash", ,"Completed"
"M&A",2004/11/10,"Big Sky Energy Atyrau Ltd","Big Sky Energy Corp","VTEX Energy Inc",2.40,"Undisclosed", ,"Completed"
"M&A",2021/1/15,"Licence 67/Tomsk Oblast","PetroNeft Resources PLC","Sharmel Ltd",2.35,"Cash and Stock", ,"Completed"
"M&A",2018/5/11,"16 Pizza Hut delivery & express restaurants/Russia","AmRest Holdings SE","Yum! Brands Inc",2.30,"Cash", ,"Pending"
"INV",2004/3/19,"Ideloil OAO","Investor Group","Aminex PLC",2.20,"Cash", ,"Completed"
"M&A",2006/6/23,"ALS Group","Novomatic Gaming Industries GmbH","Novomatic AG",1.63,"Cash", ,"Completed"
"M&A",2022/4/29,"Nordik Niyutrishyen OOO","Kopeker Agro OOO","Raisio Oyj",1.58,"Cash", ,"Completed"
"M&A",2004/3/26,"Arkhangelsk Television Co","Star Broadband Ltd","MIG LLC",1.50,"Cash", ,"Completed"
"INV",2008/10/16,"Kopylovskoye OOO","Investor Group","Auriant Mining AB",1.34,"Cash", ,"Completed"
"INV",2016/6/27,"Soligran ZAO","Nikos ZAO","Solvay SA",1.07,"Undisclosed", ,"Completed"
"INV",2015/4/29,"Incuron LLC","Private Investor","Statera Biopharma Inc",1.00,"Cash", ,"Pending"
"M&A",2013/7/19,"Borei OOO","Unnamed Buyer","Selena Oil & Gas Holding AB",0.80,"Cash", ,"Completed"
"INV",2004/3/26,"Cosmos","Star Broadband Ltd","MIG LLC",0.70,"Cash", ,"Completed"
"INV",2021/4/23,"Siberian Goldfields Ltd","Unnamed Buyer","GRIT Investment Trust PLC",0.68,"Cash", ,"Completed"
"M&A",2009/12/21,"Certain Assets,Kalmeastern CJSC","Private Investor","Orron Energy ab",0.50,"Cash", ,"Completed"
"INV",2016/4/29,"Verkhnetisskaya Ore Mining Co JSC","Private Investor,Yuzhuralzoloto ZAO","Petropavlovsk PLC,Krasnoyarskgeologiya",0.50,"Cash", ,"Completed"
"M&A",2019/4/25,"Zapadnye Vorota LLC","Evraz PLC","Private Investor,Cybersun Ltd",0.40,"Cash", ,"Completed"
"INV",2009/12/22,"Rambler Media Ltd","Interros Holding Co","ING Groep NV",0.39,"Cash",0.43,"Completed"
"INV",2018/1/24,"Kosvinsky Kamen ZAO","Private Investor","Eurasia Mining PLC",0.35,"Cash", ,"Completed"
"M&A",2013/11/20,"Abakansky Rudnik LLC,Abaza-Energo LLC,Teisky Rudnik LLC,Teisky Energoseti LLC","Ruda Khakasii LLC","Evraz PLC",0.30,"Cash", ,"Completed"
"INV",2013/7/10,"Verkhnetisskaya Ore Mining Co JSC","Krasnoyarskgeologiya","Petropavlovsk PLC",0.17,"Cash", ,"Completed"
"M&A",2009/4/29,"ZK Maiskoe OOO","Unnamed Buyer","Highland Gold Mining Ltd",0.13,"Cash", ,"Completed"
"INV",2009/4/29,"ZK Maiskoe OOO","Polymetal JSC","Highland Gold Mining Ltd",0.01,"Cash", ,"Completed"
"M&A",2013/10/16,"Shakhta Gramoteinskaya OOO","Lehram Capital Investments Ltd","Evraz PLC",0.00,"Cash", ,"Completed"
"M&A",2023/8/25,"Certain assets/Heineken NV","DKK Zao","Heineken NV",0.00,"Cash", ,"Completed"
"M&A",2022/4/27,"Avtovaz PJSC","Unnamed Buyer","Renault SA",0.00,"Cash", ,"Completed"
"M&A",2011/1/17,"Pechora Energy Co LLC,VIK OJSC","Kuwait Energy Co","Altima Partners LLP",N/A,"Undisclosed", ,"Completed"
"M&A",2011/1/13,"Douglas's Russian Operations","Rustiset Holdings Ltd","Douglas Holding AG",N/A,"Cash", ,"Completed"
"M&A",2011/1/18,"Banque Societe Generale Vostok,DeltaCredit Bank JSC,Rusfinans Bank OOO","Rosbank PJSC","Societe Generale SA",N/A,"Undisclosed", ,"Completed"
"INV",2011/6/14,"REN TV","Natsionalnaya Media Gruppa ZAO","RTL Group SA",N/A,"Undisclosed", ,"Completed"
"M&A",2011/7/5,"Khabarovskiy Airport","Incheon International Airport Corp","Panadero Investvents Ltd,Quartz-Invest",N/A,"Cash", ,"Completed"
"M&A",2011/7/22,"Getica OOH,News Outdoor Russia LLC","ABH Holdings SA,Nooh Investment Cooperatif,VTB Capital JSC","TFCF Corp",N/A,"Undisclosed", ,"Completed"
"INV",2011/8/1,"Silovyye Mashiny-ZTL LMZ Elektrosila Energomasheksport PAO","Highstat Ltd","Siemens AG",N/A,"Undisclosed", ,"Completed"
"M&A",2011/7/15,"Kontinent OOO","Natsionalnaya Media Gruppa ZAO","Russian Media Group LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2011/9/28,"Novosibirsk International Airport LLC","Aeroport Tolmachevo OAO","TS Trans Siberia Co Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2011/10/7,"Russian Potential Field","Unnamed Buyer","Getech Group PLC",N/A,"Cash", ,"Completed"
"M&A",2011/10/25,"Expobank LLC","Private Investor","Barclays PLC",N/A,"Cash", ,"Completed"
"M&A",2011/4/26,"Norvik Banka JSC","Unnamed Buyer","Straumborg ehf",N/A,"Undisclosed", ,"Completed"
"M&A",2011/5/5,"FM Logistic Industrial Park","Hines Global REIT Inc","AIG Global Real Estate Investment Corp",N/A,"Undisclosed", ,"Completed"
"M&A",2011/1/13,"Rivoli OOO /Saint Petersburg","Rive Gauche/St Petersburg","Douglas Holding AG",N/A,"Undisclosed", ,"Completed"
"M&A",2011/4/13,"Tikhvinskiy KLPKh ZAO","International Paper Co","UPM-Kymmene Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2011/5/25,"Baikal international airport","Gruppa Kompaniy Metropol OOO","AI Airports International Ltd ADC",N/A,"Cash", ,"Completed"
"M&A",2026/4/20,"Flocktory","Alfa-Bank CJSC","QIWI plc",N/A,"Cash", ,"Completed"
"M&A",2021/1/12,"Fertilizer plant/Alfa-Bank AO","Uralkali PJSC","ABH Holdings SA",N/A,"Cash", ,"Completed"
"M&A",2018/11/21,"Westwing Russia","Elbrus Capital OOO","Westwing Group SE",N/A,"Cash", ,"Completed"
"INV",2018/11/28,"Russian Towers OOO","UFG Asset Management","Macquarie Group Ltd",N/A,"Cash", ,"Completed"
"M&A",2006/3/7,"Four radio stations/RU","Lagardere SA","Warburg Pincus LLC",N/A,"Cash", ,"Completed"
"M&A",2005/12/12,"Royal Brinkers","Orkla ASA","RBH International",N/A,"Undisclosed", ,"Completed"
"M&A",2005/12/21,"4 oil producing & refining units","RussNeft PJSC","BP PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2006/2/8,"Sales ops in Moscow & Vilnius","Nobel Biocare Holding AG","Chicago Center for Advanced Dentistry",N/A,"Cash", ,"Completed"
"INV",2006/2/17,"Pivovarnja Moskva-Jefes ZAO","Efes Breweries International NV","Amsterdam Brewery Investment BV",N/A,"Undisclosed", ,"Completed"
"M&A",2006/2/28,"Unnamed restaurant","Sberbank CIB CJSC","Anheuser-Busch InBev SA/NV",N/A,"Cash", ,"Completed"
"INV",2026/5/7,"AO Bank Onego","Potential Buyer","UniCredit SpA",N/A,"Cash", ,"Proposed"
"M&A",2018/3/5,"O1 Properties Ltd","Zheleznodorozhnoe Reklamnoe Agentstvo Laisa ZAO","O1 Group Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2018/3/14,"RosEvroBank","Cooperatie SovCo Capital Partners UA","REG Holding Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2018/3/26,"Granifert LLC","KuibyshevAzot PJSC","Trammo Inc",N/A,"Undisclosed", ,"Pending"
"INV",2019/11/12,"Icon Soft LLC","Glonass ZAO","DXC Technology Co",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2019/10/3,"Intourist VAO OAO","Potential Buyer","Thomas Cook Group PLC",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2019/10/28,"Southside regional medical center/Petersburg,Southampton memorial hospital/Franklin,Southern Virginia Regional Medical Center/Emporia","Mercy Health Network","Community Health Systems Inc",N/A,"Cash", ,"Completed"
"M&A",2018/1/5,"Moscow studio & titles","Private Investor","Glu Mobile Inc",N/A,"Cash and Debt", ,"Completed"
"M&A",2019/9/23,"UFK TEMI LLC","Petropavlovsk PLC","Agestinia Trading Ltd",N/A,"Cash and Stock", ,"Pending"
"M&A",2019/9/24,"Non-Performing Credit Portfolio/Russia","EOS Holding GmbH","UniCredit SpA",N/A,"Cash", ,"Completed"
"M&A",2019/9/25,"Busfor LLC","Comuto SA","VNV Global Ltd,Intel Capital Corp (Fund: Intel Capital Connected Car Fund),Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund V LP),Elbrus Capital OOO (Fund: Elbrus Capital Fund I LP),Inventure Partners,Finsight Ventures",N/A,"Cash", ,"Completed"
"M&A",2003/12/15,"Chemelt OOO","Aricom PLC","Petropavlovsk PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2003/12/15,"Titanium interests","Aricom PLC","Petropavlovsk PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2003/12/26,"CB Mosnarbank","Evrofinance Mosnarbank OAO","VTB Capital PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2004/4/5,"Pechoraneftegaz ZAO","Caerus Operating LLC","Samson International Resources",N/A,"Undisclosed", ,"Terminated"
"INV",2018/8/9,"Stroigazkonsalting OOO","Unnamed Buyer","United Capital Partners Inc",N/A,"Undisclosed", ,"Completed"
"INV",2018/4/4,"Sim Telecom OOO","Unnamed Buyer","VEON Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2004/12/8,"Natur Produkt Interneshnl ZAO","Svarog Capital Advisors Ltd","European Bank for Reconstruction & Development,Management Group",N/A,"Cash", ,"Completed"
"M&A",2005/6/21,"CRES NEVA processing facility","Japan Tobacco Inc","Old Holdco Inc",N/A,"Undisclosed", ,"Completed"
"M&A",2005/6/27,"Employees/ lawyers in Russia","DLA Piper LLP","Ernst & Young International Ltd",N/A,"Undisclosed", ,"Completed"
