Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2023/2/25,"Russian business/Schaeffler","Private Investor","Schaeffler AG",N/A,"Undisclosed", ,"Pending"
"M&A",2023/2/27,"Russian assets/Philip Morris International Inc","Potential Buyer","Philip Morris International In",N/A,"Cash", ,"Withdrawn"
"M&A",2012/11/5,"172 ATMS","Euronet Worldwide Inc","BNP Paribas SA",N/A,"Cash", ,"Completed"
"M&A",2012/11/14,"Renaissance Capital International Services Ltd,Renaissance Capital Ltd,Renaissance Capital Investments Ltd","Gruppa Oneksim OOO","Renaissance Holdings Management Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2012/11/23,"Drimmi LLC","Webgames LLC","Private Investor,ABRT Venture Fund,Mangrove Capital Partners SA (Fund: Mangrove III)",N/A,"Cash", ,"Completed"
"INV",2012/8/9,"Bank Otkritie Financial Corp PJSC","Private Investor,Otkritie Holding JSC","PPF Group NV",N/A,"Undisclosed", ,"Completed"
"M&A",2023/4/21,"Severstallat AS","Marcegaglia Steel SpA","Severstal Trade Ges",N/A,"Undisclosed", ,"Completed"
"M&A",2023/4/24,"Tayrs Rus OOO","S8 Capital AO","Continental AG",N/A,"Undisclosed", ,"Pending"
"M&A",2023/4/24,"Russian wholesale business","Stokmann AO/Moscow","HUGO BOSS AG",N/A,"Cash", ,"Completed"
"M&A",2023/4/25,"Local assets/Mercedes-Benz Group AG","Blok Avtodom OOO","Mercedes-Benz Group AG",N/A,"Cash", ,"Completed"
"INV",2008/9/4,"Comstar United Telesystems OJSC","Comstar United Telesystems OJSC","Access Telecommunications Cooperatief UA",N/A,"Cash", ,"Completed"
"M&A",2009/12/9,"Russian Alcohol Group JSC","Roust Corp","Lion Capital LLP (Fund: Lion Capital Fund I LP),UFG Private Equity/Russia (Fund: UFG Private Equity Fund I LP)",N/A,"Cash", ,"Completed"
"M&A",2009/12/21,"Experian-Interfax bureau","Sberbank of Russia PJSC","Experian PLC",N/A,"Cash", ,"Completed"
"M&A",2009/12/22,"NW Russia","Private Investor","New Wave Group AB",N/A,"Cash", ,"Completed"
"INV",2009/10/2,"JFC Group CJSC","Bank St Petersburg PJSC","Huntleigh Investments Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2009/10/12,"Zdorovye Ludi","Unnamed Buyer","Antral Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2009/7/15,"Heartland Farms/Penza","Volga Farming Ltd","Heartland Farms UK Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2009/9/21,"Stepan Timofeevich Kvass","Deka OAO","Heineken NV",N/A,"Cash", ,"Completed"
"INV",2009/9/25,"Papa John's Eurasia Ltd","CapMan Oyj","Papa John's International Inc",N/A,"Cash", ,"Completed"
"M&A",2009/9/29,"Amur Minerals LLC","Lundin Gold Inc","Freeport-McMoRan Inc",N/A,"Cash", ,"Completed"
"M&A",2009/11/5,"Quelle,Direkt Katalog Servis OOO","Otto GmbH & Co KG","Arcandor AG",N/A,"Cash", ,"Completed"
"M&A",2009/11/25,"G+J Russland","Axel Springer SE","Bertelsmann SE & Co KGaA",N/A,"Undisclosed", ,"Completed"
"M&A",2009/5/5,"RusForest Ltd","RusForest AB","VNV Global Ltd",N/A,"Stock", ,"Completed"
"M&A",2009/5/6,"Engineering workshop/Cologne,CMT business/Germany,CMT business/India,CMT business/South Africa,CMT business/Russia,CMT business/China","McNally Bharat Engineering Co Ltd","Scully Royalty Ltd",N/A,"Cash", ,"Completed"
"M&A",2022/4/21,"SSC Sakhalin-2","China National Petroleum Corp,China Petroleum & Chemical Corp,CNOOC Ltd","Shell PLC",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/4/25,"Digital asset business","Unnamed Buyer","Exmo Exchange Ltd",N/A,"Undisclosed", ,"Pending"
"INV",2022/4/29,"Yuzhno Russkoye Gas","Potential Buyer","OMV AG",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/4/30,"Khelbny Dom OOO","Kolomensky Bakery and Confectionery Holding","Fazer Group",N/A,"Undisclosed", ,"Completed"
"M&A",2023/12/18,"Russian Business of Schaeffler","PromAvtoKonsalt","Schaeffler AG",N/A,"Undisclosed", ,"Completed"
"M&A",2023/12/19,"Factory assets/Russia","Can Holding AS","Robert Bosch Stiftung GmbH",N/A,"Cash", ,"Withdrawn"
"M&A",2023/12/19,"AB InBev Efes JSC","Anadolu Efes Biracilik Ve Malt Sanayii AS","Anheuser-Busch InBev SA/NV",N/A,"Undisclosed", ,"Pending"
"M&A",2023/12/19,"Robert Bosc's factories/Strelna","Can Holding AS","Robert Bosch GmbH",N/A,"Cash", ,"Pending"
"M&A",2023/10/12,"Russian Operations/Legrand","IEK OOO","Legrand SA",N/A,"Cash", ,"Completed"
"M&A",2023/10/31,"Russian Thermal Systems Business/ Valeo","NPK Avtopribor OOO","Valeo SE",N/A,"Undisclosed", ,"Pending"
"M&A",2013/12/12,"Wellchem OOO","Henkel Rus OOO","Wellchem Holding GmbH",N/A,"Undisclosed", ,"Completed"
"M&A",2013/10/7,"Certain Russian assets","VTB Bank PJSC","Societe Generale SA",N/A,"Cash", ,"Completed"
"INV",2013/10/14,"Vologdaenergo","Konsultenergoservis OOO","Taplitoria Holdings Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/10/15,"Taas-Yuryakh Neftegazodobycha OOO","Rosneft Oil Co PJSC","Yakutsk Fuel-Energy Co PJSC,Finfund Ltd,Limenitis Holding Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/10/28,"Ge Money Bank ZAO","Sovcombank PJSC","General Electric Co",N/A,"Undisclosed", ,"Completed"
"M&A",2013/7/31,"FB-Lizing OOO","Expobank LLC","DZ Bank AG Deutsche Zentral-Genossenschaftsbank Frankfurt Am Main",N/A,"Undisclosed", ,"Completed"
"INV",2013/9/2,"Vanino Commercial Sea Port","Unnamed Buyer","Travine Trading Ltd",N/A,"Undisclosed", ,"Completed"
"INV",2013/9/2,"Svetlana LED OAO","Private Investor","Purelynx Ltd",N/A,"Cash", ,"Completed"
"M&A",2013/9/11,"Belebeyevskiy Zavod Avtonormal AO","AvtoVAZagregat OAO","Russomotive Direct Investments Fund Ltd",N/A,"Undisclosed", ,"Completed"
"INV",2013/9/30,"Mniirs OAO","InvestSiti OOO","Ingiros Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/11/12,"Producing Oil and Gas Assets/Bandbear","Zoltav Resources Inc","Bandbear Ltd",N/A,"Cash", ,"Completed"
"INV",2013/11/18,"Uralkali PJSC","Gruppa Oneksim OOO","Suleyman Kerimov Foundation",N/A,"Undisclosed", ,"Completed"
"M&A",2013/11/27,"UFG Invest CJSC","Aton Capital Group","Deutsche Bank AG",N/A,"Undisclosed", ,"Completed"
"M&A",2013/11/27,"UFG Asset Management","Uk Aton-Management OOO","Deutsche Bank AG",N/A,"Cash", ,"Completed"
"INV",2013/8/1,"Dagestan Energy Supply Co PJSC","Unnamed Buyer","Centela Trade Ltd",N/A,"Undisclosed", ,"Completed"
"INV",2013/8/6,"Krasnoyarski Zavod Sinteticheskogo Kauchuka OAO","China Petrochemical Corp","Sibur Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2013/8/9,"Aura shopping center","Malltech","Amstar Group LLC,Renaissance Development",N/A,"Cash", ,"Completed"
"INV",2013/8/23,"INK-Capital CJSC","Goldman Sachs Group Inc/The","European Bank for Reconstruction & Development",N/A,"Undisclosed", ,"Completed"
"M&A",2024/5/29,"Timashevsky dairy plant/PepsiCo Inc","Agrokompleks Glushkovski OOO","PepsiCo Inc",N/A,"Cash", ,"Completed"
"M&A",2024/5/29,"RTK - Network Technologies","Rostelecom PJSC","Nokia Oyj",N/A,"Undisclosed", ,"Pending"
"M&A",2017/7/5,"Novy Potok ZAO","S-Group Capital Management Ltd","Private Investor,United Business Angels Ltd",N/A,"Cash", ,"Completed"
"M&A",2017/5/16,"Titan Foundation oil refinery","Potential Buyer","TITAN Foundation for Sustainable Growth",N/A,"Cash", ,"Withdrawn"
"M&A",2017/5/30,"Iron Mountain CIS LLC,Iron Mountain Ukraine LLC","OSG Rekordz Menedzment Tsentr OOO","Iron Mountain Inc",N/A,"Undisclosed", ,"Completed"
"M&A",2017/4/25,"18 Pizza Hut restaurants/Russia","AmRest Holdings SE","Yum! Brands Inc",N/A,"Cash", ,"Completed"
"M&A",2017/4/28,"Marma OAO","NYESA Valores Corp SA","Becar,Aqualdre SL,Fanumceo SL",N/A,"Undisclosed", ,"Pending"
"M&A",2017/3/27,"Sladkovsko-Zarechnoe Ltd","Dolmer Enterprises ltd","Sz Regionoil Holdings Ltd",N/A,"Undisclosed", ,"Pending"
"M&A",2017/3/27,"Khanty-Mansiysk district assets/Repsol SA","Gazprom Neft PJSC","Repsol SA",N/A,"Cash", ,"Withdrawn"
"INV",2024/4/10,"Rusenergosbyt OOO","Rusenergosbyt OOO","Enel SpA",N/A,"Undisclosed", ,"Completed"
"M&A",2024/4/15,"Sitras OOO","Trade Galleries OOO","Aumarche SAS",N/A,"Undisclosed", ,"Completed"
"M&A",2024/4/19,"Russian Business/Purmo Group Oyj","Unnamed Buyer","Purmo Group Oyj",N/A,"Cash", ,"Completed"
"INV",2024/2/15,"Kamaz PJSC","Unnamed Buyer","Mercedes-Benz Group AG",N/A,"Undisclosed", ,"Completed"
"INV",2024/3/18,"Eurasia Drilling Co Ltd","Unnamed Buyer","Foraco International SA",N/A,"Undisclosed", ,"Completed"
"M&A",2024/3/22,"EDP business/Russia","Vamin R LLC","Danone SA",N/A,"Cash", ,"Completed"
"M&A",2024/3/23,"Russian operations/Danone","Vamin Tatarstan OAO","Danone SA",N/A,"Cash", ,"Completed"
"INV",2024/1/15,"Globaltrans Investment PLC","Aqniet Capital LLC","Maple Valley Investments Ltd,Goldriver Resources Ltd,Onyx Investments Ltd/Russia",N/A,"Undisclosed", ,"Completed"
"M&A",2014/7/3,"General insurance retail business/Russia","Investment Firm Olma JSC","Zurich Insurance Group AG",N/A,"Undisclosed", ,"Completed"
"M&A",2014/7/10,"MT AO /Moscow","GK Altegrosky","Inmarsat Group Holdings Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2014/7/10,"Sotchemyu-Talyu and North Irael Fields/RU","Vitol Holding BV","Orron Energy ab",N/A,"Cash", ,"Completed"
"M&A",2014/4/22,"Poyry CM Oy,Poyry LLC,Real estate design and consulting business/Poyry Finland Oy","Ramboll Finland Oy","Poyry Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2014/4/25,"DNB Bank OAO","Asokerco Trading Ltd","DNB ASA",N/A,"Undisclosed", ,"Pending"
"M&A",2014/5/23,"Prime Shipping OOO","Rosneft Oil Co PJSC","Pietro Barbaro SpA",N/A,"Undisclosed", ,"Pending"
"M&A",2014/5/27,"KB H-Bank OOO","Potential Buyer","Hellenic Bank PCL",N/A,"Undisclosed", ,"Withdrawn"
"INV",2014/3/14,"Eldorado OOO","Emma Capital Ltd","PPF Group NV",N/A,"Undisclosed", ,"Pending"
"M&A",2014/1/16,"Yekaterinburg plant","Schneider Electric SE","Alstom SA",N/A,"Cash", ,"Completed"
"M&A",2014/1/29,"Noginsky Teplovoy Center","E.ON SE","AMG Industrial Investment Corp AG",N/A,"Undisclosed", ,"Completed"
"M&A",2022/4/1,"Russian Business/Purmo Group Oyj","Unnamed Buyer","Purmo Group Oyj",N/A,"Undisclosed", ,"Terminated"
"M&A",2022/4/4,"Russia Factory/Brodrene Hartmann","Potential Buyer","Brodrene Hartmann A/S",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2022/4/11,"Rosbank PJSC","Interros Holding Co","Societe Generale SA",N/A,"Undisclosed", ,"Pending"
"M&A",2022/4/12,"Food service business/Russia","Unnamed Buyer","Compass Group PLC",N/A,"Cash", ,"Completed"
"INV",2010/3/3,"Geotech Oil Services Holding Ltd","Volga Group/The","Farallon Capital Management LLC,Management Group,Black River Asset Management UK Ltd",N/A,"Cash", ,"Completed"
"M&A",2011/12/23,"Minudobrenia OJSC","UralChem Holding PLC","Sibur Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2011/12/23,"Energomashinostroitelnyy Alyans AO","Silovyye Mashiny-ZTL LMZ Elektrosila Energomasheksport PAO","Auburn Investments Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2010/5/17,"Elcoteq ZAO","Optogan ZAO","Elcoteq SE",N/A,"Undisclosed", ,"Completed"
"M&A",2010/5/17,"SZKTI OAO","Synterra ZAO","Nasver Trade Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2010/5/31,"14 Barclays Plc branches in Russia","Kommercheskiy Bank Renessans Kredit OOO","Barclays PLC",N/A,"Cash", ,"Completed"
"M&A",2010/2/4,"Leadbank LLC","Kommercheskiy Bank Renessans Kredit OOO","Bank of Cyprus Pcl",N/A,"Undisclosed", ,"Completed"
"M&A",2010/2/26,"Synterra ZAO","MegaFon PJSC","Synterra Cyprus Ltd,Burnham Advisors Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2010/4/5,"Four radio stations","Private Investor","News Corp",N/A,"Cash", ,"Completed"
"M&A",2010/4/30,"Koksovaya ZAO","Raspadskaya OJSC","Evraz PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2010/1/7,"chain of theaters","UFG Asset Management (Fund: UFG Private Equity Fund II LP),Private Investor (Fund: UFG Real Estate Fund II)","National Amusements Inc",N/A,"Cash", ,"Completed"
"M&A",2010/1/7,"Rising Star Media OOO","UFG Private Equity/Russia","National Amusements Inc",N/A,"Cash", ,"Completed"
"INV",2010/6/20,"Nord Stream AG","Engie SA","BASF SE,E.ON SE",N/A,"Undisclosed", ,"Completed"
"M&A",2010/6/22,"Distribution Operations Of Volvo Construction Equipment in Russia","Ferronordic AB","Volvo AB",N/A,"Cash", ,"Completed"
"M&A",2012/7/2,"Bank Vestlb Vostok Zao","Private Investor","Portigon AG",N/A,"Cash", ,"Completed"
"INV",2012/7/19,"Promsvyazbank PJSC","Promsvyaz Capital BV","Commerzbank AG",N/A,"Cash", ,"Completed"
"INV",2012/7/20,"Moscow Exchange MICEX-RTS PJSC","Russian Direct Investment Fund Management Co,Cartesian Capital Group LLC (Fund: Pangaea Two LP)","UniCredit Bank AG",N/A,"Cash", ,"Completed"
"M&A",2012/7/30,"Naryanmarneftegaz OOO","LUKOIL PJSC","ConocoPhillips",N/A,"Cash", ,"Completed"
"INV",2012/6/1,"Rosneft Holding Ltd","Unnamed Buyer","BP PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2012/6/6,"Beleggingsmaatschappij Lemore BV","Reckitt Benckiser Group PLC","Abraca BV",N/A,"Undisclosed", ,"Completed"
"M&A",2012/6/22,"Ramboll Russia ZAO","Kompakt AO","Ramboell Gruppen AS",N/A,"Undisclosed", ,"Completed"
"M&A",2012/6/26,"Retail Loan Portfolio","Alfa-Bank AO","Societe Generale SA",N/A,"Cash", ,"Completed"
"INV",2012/4/16,"Brokerski Dom Otkrytie OAO","Alfa Capital Holdings Cyprus Ltd","NKB Investments Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2012/1/19,"Russian Agroindustrial & Commercial Assets","Bonduelle SCA","Centrale Cooperative Agricole Bretonne",N/A,"Cash", ,"Completed"
"M&A",2010/8/23,"DB Development","Sberbank of Russia PJSC","Strabag SE,Private Investor",N/A,"Undisclosed", ,"Completed"
"M&A",2010/8/26,"KP Roznitsa OOO","Rospechat OAO","Sanoma Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2010/10/8,"Press distribution and kiosk operations","Hubert Burda Media Holding KG","Sanoma Oyj",N/A,"Cash", ,"Completed"
"M&A",2014/12/18,"Russian assets of Sanoma OYJ","Hearst Communications Inc","Sanoma Oyj",N/A,"Cash", ,"Terminated"
"INV",2014/12/29,"South Stream Transport BV","Gazprom PJSC","Electricite de France SA",N/A,"Undisclosed", ,"Completed"
"M&A",2014/9/4,"Namshi General Trading LLC,Zalora,Xerion Retail Pvt Ltd,Kupishoes OOO,Comercio Digital BF Ltda","Kinnevik AB,Private Investor,Verlinvest SA,Rocket Internet SE","Tengelmann Warenhandelsgesellschaft KG,Blakeney Management Ltd,British International Investment PLC,JP Morgan Asset Management Inc,Access Industries LLC,Tengelmann Ventures GmbH,Summit Partners LP (Fund: Summit Partners Venture Capital Fund III LP),Holtzbrinck Ventures GmbH (Fund: Holtzbrinck...",N/A,"Cash", ,"Pending"
"M&A",2014/9/10,"SK Oranta OOO","SG Kompanon OOO","Achmea BV",N/A,"Cash", ,"Completed"
"INV",2014/9/18,"Ostrovok.ru OOO","Unnamed Buyer","Accel Partners LP (Fund: Accel XI LP),General Catalyst Partners LLC (Fund: General Catalyst Group VI LP)",N/A,"Cash", ,"Completed"
"M&A",2014/9/19,"Tuymasinskiy Molokozavod OAO","Unnamed Buyer","PepsiCo Inc",N/A,"Undisclosed", ,"Completed"
"M&A",2014/10/15,"Dalgeokom OOO","Mobile TeleSystems PJSC","Modern Times Group MTG AB,Private Investor",N/A,"Undisclosed", ,"Withdrawn"
"INV",2014/10/22,"Alma Group ZAO","Volga-Group OOO","Alma Group SA,Procuri SA",N/A,"Undisclosed", ,"Completed"
"M&A",2014/10/30,"Nizhnesaldinsk metallurgical plant assets","Biznesinvest OOO","Evraz PLC",N/A,"Cash", ,"Completed"
"M&A",2014/11/6,"Money transfer system","QIWI plc","Bank of Cyprus Pcl",N/A,"Cash", ,"Withdrawn"
"INV",2014/11/7,"Kamaz PJSC","Mercedes-Benz Group AG","European Bank for Reconstruction & Development",N/A,"Undisclosed", ,"Completed"
"M&A",2014/11/11,"Warehouse complex in Krasnogorsk","X5 Retail Group NV","Oriflame Cosmetics SA",N/A,"Cash", ,"Completed"
"M&A",2014/11/12,"Remondis Arzamas Servis OOO","Nizhegorodski Vodokanal AO","Rethmann AG & Co KG",N/A,"Undisclosed", ,"Completed"
"M&A",2014/11/28,"Orkla Brands Russia OJSC","Slavyanka-Lyuks OOO","Orkla ASA",N/A,"Undisclosed", ,"Completed"
"M&A",2014/8/18,"Stroygazmontazh OOO","Private Investor","Milasi Engineering Ltd",N/A,"Cash", ,"Completed"
"M&A",2008/12/29,"VK IPJSC","Naspers Ltd,VK IPJSC","Tiger Global Management LLC",N/A,"Undisclosed", ,"Completed"
"M&A",2008/8/1,"Pokrovsky Hills","Goldman Sachs Group Inc/The","American International Group Inc,Deutsche Bank AG",N/A,"Cash", ,"Completed"
"M&A",2009/4/14,"Non-state pension fund business","Aviva PLC","ING Groep NV",N/A,"Cash", ,"Completed"
"M&A",2009/4/16,"St Springs","Integrated Distribution Services Group Ltd","Nestle SA",N/A,"Cash", ,"Completed"
"M&A",2009/2/5,"Dekmos OAO","City of Moscow Russia","Deutsche Bank AG",N/A,"Cash", ,"Completed"
"M&A",2009/2/6,"Yuzhniy Port business centre","Sberbank of Russia PJSC","Midland Group",N/A,"Cash", ,"Completed"
"INV",2008/11/11,"Dom Shvetsii OAO","CA-Group","Ladoga Holding AB",N/A,"Undisclosed", ,"Completed"
"M&A",2021/12/9,"Avielen AG AO","Warimpex Finanz- und Beteiligungs AG","UBM Development AG",N/A,"Undisclosed", ,"Completed"
"M&A",2021/12/23,"Fels Izvest OOO","Bonolit Stroitelnye Resheniya OAO","CRH PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2021/12/27,"CiV Life LLC","SovCo Capital Partners BV","HDI Haftpflichtverband der Deutschen Industrie VaG",N/A,"Undisclosed", ,"Pending"
"M&A",2021/11/1,"GV Gold Vysochaishy Pjsc","Selmareco Ltd","European Bank for Reconstruction & Development,BlackRock Inc",N/A,"Cash", ,"Pending"
"M&A",2021/11/24,"Generating Assets/Enel SpA","Potential Buyer","Enel SpA",N/A,"Cash", ,"Withdrawn"
"M&A",2016/8/4,"Sport-goods stores/Russia","Unnamed Buyer","Kesko Oyj",N/A,"Cash", ,"Completed"
"M&A",2016/5/5,"Russian business/Groupon","RTP Global","Groupon Inc",N/A,"Cash", ,"Withdrawn"
"M&A",2016/5/6,"Westcall Telecommunications ZAO","Perm Financial and Industrial Group OOO","Private Investor,Siguler Guff & Co LLC (Fund: Russia Partners II LP)",N/A,"Cash", ,"Completed"
"M&A",2016/5/23,"Transvagonmash OOO","Rail Garant Group","Renaissance Holdings Management Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2016/5/25,"AO Egmont Russia Ltd","Management Group","Egmont International Holding A/S",N/A,"Undisclosed", ,"Completed"
"M&A",2016/3/15,"Digit One LLC","Alma Group/Russia","Trivon Communications Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2016/3/20,"AMR AO","Lainen CJSC","Arconic Inc/PA",N/A,"Undisclosed", ,"Completed"
"M&A",2016/7/28,"Business unit/Russia","Unnamed Buyer","De Agostini SpA",N/A,"Cash", ,"Completed"
"M&A",2016/4/5,"Reftinskaya GRES power station","Private Investor","Enel SpA",N/A,"Cash", ,"Withdrawn"
"INV",2016/4/20,"Locko-Bank AO","Private Investor,Palamedos Corp Ltd","International Finance Corp",N/A,"Cash", ,"Completed"
"M&A",2015/1/20,"Ugolnaya Kompaniya Severny Kuzbass OAO","Natsionalnaya Toplivnaya Kompaniya OOO","ArcelorMittal SA",N/A,"Undisclosed", ,"Completed"
"M&A",2024/12/2,"Russia Assets/Louis Dreyfus Co BV","Unnamed Buyer","Louis Dreyfus Co BV",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2024/12/4,"Volgafert LLC","KuibyshevAzot PJSC","Metlen Energy & Metals SA",N/A,"Undisclosed", ,"Completed"
"M&A",2024/12/18,"Latvijas Mobilais Telefons SIA","Potential Buyer","Telia Co AB",N/A,"Undisclosed", ,"Proposed"
"M&A",2024/10/10,"Russian assets/Unilever PLC","ArnestFinans OOO","Unilever PLC",N/A,"Cash", ,"Completed"
"M&A",2024/10/10,"Russian operations/Leipurin Oyj","Private Investor","Aspo Oyj",N/A,"Cash", ,"Completed"
"M&A",2024/10/24,"Russian operations/ELO SACA","Potential Buyer","Association Familiale Mulliez",N/A,"Cash", ,"Withdrawn"
"M&A",2024/9/5,"Raiffeisenbank AO","Potential Buyer","Raiffeisen Bank International AG",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2024/9/24,"Industrial complex/Technonicol Corp","Technonicol Corp","ECO Partners Inc",N/A,"Cash", ,"Completed"
"M&A",2017/12/5,"Eurotech JSC,Yuzhno-Khadyryakhinskoye JSC","Novatek PJSC","Repsol SA,Independent Petroleum Co Holdings CY Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2017/10/13,"FINCA Russia","Mikro Kapital Sarl","FINCA International Inc",N/A,"Cash", ,"Completed"
"M&A",2017/10/27,"Nidan Juices OJSC","Maxidom OOO","Coca-Cola Co/The",N/A,"Undisclosed", ,"Pending"
"INV",2017/9/8,"Rosneft Oil Co PJSC","China Huaxin International Equity Investment Co Ltd","Glencore PLC,Qatar Investment Authority",N/A,"Cash", ,"Terminated"
"M&A",2017/9/19,"Russian business/Nordea Bank AB","Locko-Bank AO,Sovco Capital Partners Holding BV","Nordea Bank Abp",N/A,"Cash", ,"Withdrawn"
"M&A",2017/9/21,"Well intervention business/Russia","Unnamed Buyer","Key Energy Services Inc",N/A,"Cash", ,"Completed"
"INV",2015/3/4,"CTC Media Inc","Potential Buyer","Modern Times Group MTG AB",N/A,"Undisclosed", ,"Withdrawn"
"M&A",2015/3/16,"Wintershall Dea International GmbH","LetterOne Holdings SA","RWE AG",N/A,"Undisclosed", ,"Completed"
"M&A",2017/8/2,"Cramo SIA,Cramo Kaliningrad OOO","Storent Investments AS","Cramo Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2017/8/11,"Russian & Ukraine operations","Anadolu Efes Biracilik Ve Malt Sanayii AS","Anheuser-Busch InBev SA/NV",N/A,"Cash", ,"Completed"
"M&A",2025/7/14,"VolgaHydro LLC","TyazhMash OAO","RusHydro PJSC,Voith Hydro GmbH & Co KG/Austria",N/A,"Undisclosed", ,"Completed"
"M&A",2025/12/23,"Zapad LLC,Alta Povolzhye OOO","MGC Group LLC","Grupo Antolin-France SAS",N/A,"Undisclosed", ,"Completed"
"M&A",2025/10/15,"Salym Petroleum Development NV","Unnamed Buyer","Gazprom Neft PJSC,Shell PLC",N/A,"Undisclosed", ,"Completed"
"M&A",2017/11/20,"Bigfud OOO","Yandeks OOO","Baring Private Equity Partners Ltd,Baring Vostok Capital Partners Ltd/Russia,Ru-Net Holdings Ltd,Tiger Global Management LLC",N/A,"Cash", ,"Withdrawn"
"M&A",2017/11/21,"Reftinskaya GRES Coal Plant Russia","Potential Buyer","Enel SpA",N/A,"Cash", ,"Withdrawn"
"M&A",2025/9/8,"Aeromar JSC","Aeroflot PJSC","Deutsche Lufthansa AG",N/A,"Undisclosed", ,"Proposed"
"M&A",2025/9/25,"Certain Asset/Komfovent Ltd","Potential Buyer","Komfovent UAB",N/A,"Cash", ,"Proposed"
"M&A",2025/6/27,"Yungkhaynrikh Podyemno-Pogruzochnaya Tekhnika OOO","Unnamed Buyer","Jungheinrich AG",N/A,"Undisclosed", ,"Proposed"
"M&A",2015/6/15,"Mercedes-Benz Plaza","Region Group OOO","Colliers International Group Inc",N/A,"Cash", ,"Completed"
"M&A",2015/6/16,"NPF Raiffeisen ZAO","B&N Bank JSC","Raiffeisen Bank International AG",N/A,"Undisclosed", ,"Pending"
"M&A",2015/6/19,"PB Norge AS,Prime Shipping OOO,PB Samara OOO,PB Volga Ltd,PB Samara III OOO","Rosneft Oil Co PJSC,Sberbank of Russia PJSC (Fund: SBT Venture Capital/Fund)","Pietro Barbaro SpA",N/A,"Undisclosed", ,"Completed"
"M&A",2015/6/24,"TGC-1 Hydro power assets","Fortum Oyj","Rosatom Corp,Gazprom Energoholding OOO",N/A,"Cash", ,"Withdrawn"
"M&A",2015/6/30,"Binbank PAO","Private Investor","MDM Holding SE",N/A,"Undisclosed", ,"Completed"
"M&A",2015/12/21,"Russian business/Viacom Inc","Private Investor","Viacom Inc",N/A,"Cash", ,"Withdrawn"
"INV",2015/12/22,"Kompaniya Polyarnoye Siyaniye OOO","Trisonnery Asset Ltd","ConocoPhillips",N/A,"Undisclosed", ,"Completed"
"INV",2015/12/30,"Mondadori Independent Media LLC,Fashion Press LLC","Inventure Partners","Sanoma Oyj",N/A,"Cash", ,"Completed"
"M&A",2015/7/10,"SFI PJSC","B&N Bank JSC","Capital International Inc (Fund: Capital International Private Equity Fund IV LP),Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund III LP)",N/A,"Cash", ,"Pending"
"M&A",2015/7/13,"Ust-Luga OAO","Private Investor","Gunvor Group Ltd",N/A,"Undisclosed", ,"Completed"
"M&A",2015/7/17,"CB Uniastrum Bank LLC,Uniastrum Leasing LLC,Certain loan exposure assets/Russia","Private Investor","Bank of Cyprus Pcl",N/A,"Undisclosed", ,"Completed"
"INV",2015/7/20,"Khelivert AO","Rosneft Oil Co PJSC","Leonardo SpA,OPK Oboronprom OAO",N/A,"Undisclosed", ,"Pending"
"M&A",2015/7/23,"Orient Express Bank PJSC","Potential Buyer","Baring Vostok Capital Partners Ltd/Russia",N/A,"Cash", ,"Withdrawn"
"M&A",2015/7/24,"Ptitsefabrika Severnaya AO/Kirovskiy Rayon,Poultry Parent Stock Production Woyskovitsy JSC","Charoen Pokphand Foods PCL","Agro-Invest Brinky BV",N/A,"Undisclosed", ,"Completed"
"INV",2015/7/29,"Ifsk Arks OOO,SK Mostovik OOO","Private Investor","Volga Group/The",N/A,"Cash", ,"Completed"
"M&A",2015/11/3,"Commercial port/Ust-Luga","Gazprombank JSC","Sibur Ltd",N/A,"Cash", ,"Completed"
