Acquirer Financial Adviser,Acquirer Legal Adviser,Acquirer Termination Fee,Action ID,Amendment Date,Announce Date,Announced Equity Value (mil.),Announced Total Value (mil.),Cash Terms,Completion/Termination Date,Contingency Payment (Cash),Currency of Deal,Current/Completed Total Value,Deal Attributes,Deal Description,Deal Status,Deal Type,Has Contingency Payment,Merger Agreement Date,Nature of Bid,Net Debt,Payment Type,Percent Owned,Percent Sought,Proposal Date,Proposed Deal Type,Seller Financial Adviser,Seller Legal Adviser,Stock Terms,Target Financial Adviser,Target Legal Adviser,Target Termination Fee,Acquirer City of Domicile,Acquirer Country/Region,Acquirer Country/Region ISO Code,Acquirer Industry Sector,Acquirer Name,Acquirer Number of Employees,Acquirer SIC Name,Current Acquirer SIC Code,Current Seller SIC Code,Current Target SIC Code,Seller Country/Region,Seller Country/Region ISO Code,Seller Industry Sector,Seller Name,Seller SIC Name,Target City of Domicile,Target Country/Region,Target Country/Region ISO Code,Target Industry Group,Target Industry Sector,Target Industry Subgroup,Target Name,Target Number of Employees,Target SIC Name,EqV/Book Val,EqV/EBITDA,EqV/Rev,EqV/Total Assets,TV/Book Val,TV/EBITDA,TV/Rev,TV/Total Assets,Acquirer Shareholders,Central Bank of Russia,EC: European Commission,Federal Antimonopoly service of Russian Federation: FAC,Foreign Investment Commission,Ministry of Finance,Russian Ministry on Antitrust Policy,Seller Board of Directors,Target Shareholders
,, ,148904158, ,2017-07-17,156.41,156.41,10.0 Mln,2018-11-29,,USD,156.41,"Option Agreement, Cross Border, Asset Sale, Additional Stake Purchase",Pallavicino Holdings Ltd sold Nezhdaninskoye Gold Mine to Solidcore Resources PLC for USD 156.41M. The transaction was announced on 7/17/2017 and completed on 11/29/2018.,Completed,AST,No, ,Friendly,0,Cash and Stock,24.700001,75.300003, ,,,,13.48658 Mln Sh,,, ,G.astana,Russia,KZ,Materials,Solidcore Resources PLC,3884, ,N.A.,N.A.,N.A.,Cyprus,CY,Materials,Pallavicino Holdings Ltd, ,N.A,Russia,RU,Materials,Materials,Metals & Mining,Nezhdaninskoye Gold Mine,, , , , , , , , , ,,,,,,,,,
,, ,149203098, ,2017-07-21,2.8,2.8,2.8 Mln,2017-07-21,,USD,2.8,"Venture Capital, Private Equity, Minority Purchase, Financing Round",Internet Initiatives Development Fund acquired a minority stake in Playkey. The transaction was completed on 7/21/2017.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Moscow,Russia,RU,Financials,Internet Initiatives Development Fund,, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Software & Tech Services,Technology,IT Services,Playkey,, , , , , , , , , ,,,,,,,,,
,, ,149340563, ,2017-07-30,3.5,3.5,3.5 Mln,2017-07-30,,USD,3.5,"Venture Capital, Cross Border, Private Equity, Minority Purchase, Financing Round, Additional Stake Purchase",Mitsui & Co Ltd acquired a minority stake in Chefmarket.ru. The transaction was completed on 7/30/2017.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Tokyo,Japan,JP,Materials,Mitsui & Co Ltd,55463,PETR PROD NEC,5172, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Retail & Whsle - Discretionary,Consumer Discretionary,E-Commerce Discretionary,Chefmarket.ru,, , , , , , , , , ,,,,,,,,,
,, ,149559919, ,2017-06-02,N/A,N/A,N/A, ,,USD,N/A,"Cross Border, Private Equity, Minority Purchase","On 11/01/2017, Russian Direct Investment Fund announced CEF Advisory Beijing Co Ltd will invest in Eurasia Drilling Co Ltd. On 06/02/2017, Russian Direct Investment Fund announced to invest in Eurasia Drilling Co Ltd. On 03/07/2016, DealStreetAsia reported that a consortium comprised of the R...",Pending,INV,No, ,Friendly,0,Cash,0,16.1,2017-03-07,,,, ,,Skadden Arps, ,,China,,"Financials, Financials, Financials, Financials","China Investment Corp,Russian Direct Investment Fund Management Co (Fund: Russia-China Investment Fund),Mubadala Investment Co PJSC,CEF Advisory Beijing Co Ltd",,,, ,N.A.,N.A., ,N.A.,, ,Nicosia,Russia,CY,Oil & Gas,Energy,Oil & Gas Services & Equip,Eurasia Drilling Co Ltd,17765, , , , , , , , , ,,,,,,,,,
,COBALT, ,149884635, ,2017-08-02,N/A,N/A,N/A,2017-08-01,,EUR,N/A,"Company Takeover, Cross Border",Cramo Oyj sold Cramo SIA & Cramo Kaliningrad OOO to Storent Investments AS. The transaction was announced on 8/2/2017 and completed on 8/1/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Riga,Latvia,LV,Financials,Storent Investments AS,, ,N.A.,N.A.,,Finland,FI,Industrials,Cramo Oyj, ,,Latvia,,Industrial Services,Industrials,Industrial Support Services,"Cramo SIA,Cramo Kaliningrad OOO",,, , , , , , , , ,,,,,,,,,
,Baker McKenzie, ,150040651, ,2017-08-04,6.26,6.26,375.0 Mln,2017-11-03,,RUB,6.34,"Company Takeover, Cross Border",Tata Consumer Products Ltd sold Santi OOO & Tea Trade LLC to a consortium led by Skodnya Grand Ltd for RUB 375.00M. The transaction was announced on 8/4/2017 and completed on 11/3/2017.,Completed,M&A,No, ,Friendly,0,Cash,0,100, ,,,Herbert Smith Fr, ,,, ,,Russia,,"Industrials, Consumer Staples","Skodnya Grand Ltd,Coffee Pack LLC",,,,N.A.,,India,IN,Consumer Staples,Tata Consumer Products Ltd, ,,Russia,,"Consumer Staple Products, Consumer Staple Products","Consumer Staples, Consumer Staples","Beverages, Beverages","Santi OOO,Tea Trade LLC",,, , , , , , , , ,,,,,,,,,
VTB Capital,, ,150363079, ,2017-08-11,503.89,503.89,N/A, ,,USD,503.89,"Cross Border, Minority Purchase","On 08/11/2017, Dimosenco Holdings Co Ltd announced the sale of a minority stake in United Co RUSAL PLC to Zonoville Investments Ltd. On 02/06/2017, Vedomosti and Kommersant reported that SUAL Partners Ltd might not buy a stake in United Co RUSAL PLC. On 10/27/2016, Vedomosti reported Sual Par...",Pending,INV,No, ,Friendly,0,Undisclosed,0,7, ,,,, ,,, , ,Cyprus,CY,Financials,Zonoville Investments Ltd,, ,N.A.,N.A.,N.A.,Cyprus,CY,Financials,Dimosenco Holdings Co Ltd, ,Moscow,Russia,RU,Materials,Materials,Metals & Mining,United Co RUSAL International,50895, ,1.88,4.26,0.86,0.48,1.88,4.26,0.86,0.48,,,,,,,,,
,Squire Patton, ,150386395, ,2017-07-06,N/A,N/A,N/A,2017-07-06,,RUB,N/A,Company Takeover,NPF Blagosostoyanie acquired Renaissance Insurance Group Ltd. The transaction was completed on 7/6/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,Sputnik Group,Skadden Arps, ,Moscow,Russia,RU,Financials,NPF Blagosostoyanie,,TRUST/FOUNDATN,6733, ,6399,N.A., ,N.A.,, ,Moscow,Russia,RU,Insurance,Financials,Insurance,Renaissance Insurance Group Ltd,,INS CARRIERS, , , , , , , , ,,,,,,,,,
Barclays,Norton Rose, ,150391987, ,2017-08-11,N/A,N/A,N/A,2018-04-03,,EUR,N/A,"Cross Border, Asset Sale",Anheuser-Busch InBev SA/NV sold Russian & Ukraine operations to Anadolu Efes Biracilik Ve Malt Sanayii AS. The transaction was announced on 8/11/2017 and completed on 4/3/2018. Financial terms of the transaction are undisclosed.,Completed,AST,No, ,Friendly,0,Cash,0,50, ,,Lazard Ltd,Cleary Gottlieb/Linklaters, ,,, ,Istanbul,Turkey,TR,Consumer Staples,Anadolu Efes Biracilik Ve Malt Sanayii AS,15885, ,N.A.,2082,,Belgium,BE,Consumer Staples,Anheuser-Busch InBev SA/NV,MALT BEVERAGES,,Russia,,Retail & Wholesale - Staples,Consumer Staples,Wholesale - Consumer Staples,Russian & Ukraine operations,,, , , , , , , , ,,,,,,,,,
,, ,150433739, ,2017-08-14,N/A,N/A,N/A,2018-02-10,,CNY,N/A,"Cross Border, Majority Purchase","With no further information, the deal has been withdrawn on 02/10/2018. On 08/14/2017, it is reported that Russian state corporation Rostec has filed an application to acquire 80%share in Kirov Tire Plant, citing Interfax report.",Withdrawn,M&A,No, ,Friendly,0,Undisclosed,0,80,2017-08-14,,,, ,,, ,Moscow,Russia,RU,Industrials,Rostec State Corp,200,MISC INVSTRS,6799,2869,N.A.,China,CN,Materials,China National Chemical Corp Ltd,ORG CHEM NEC,Kirov,Russia,RU,Consumer Discretionary Products,Consumer Discretionary,Automotive,Tyre Enterprise AMTEL-POVOLZHYE,17, , , , , , , , , ,,,,,,,,,
,, ,150448673, ,2017-05-03,N/A,N/A,N/A,2017-04-30,,RUB,N/A,"Private Equity, Majority Purchase",UFG Private Equity/Russia acquired RuTaxi-Saturn. The transaction was announced on 5/3/2017 and completed on 4/30/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Moscow,Russia,RU,Financials,UFG Private Equity/Russia,,MISC INVSTRS,6799, ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Software & Tech Services,Technology,Software,RuTaxi-Saturn,, , , , , , , , , ,,,,,,,,,
,, ,150449063, ,2016-08-30,N/A,N/A,N/A,2016-08-30,,RUB,N/A,"Private Equity, Minority Purchase",UFG Asset Management acquired a minority stake in E-COM LLC. The transaction was completed on 8/30/2016. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Moscow,Russia,RU,Financials,UFG Asset Management,, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Software & Tech Services,Technology,Software,E-COM LLC,, , , , , , , , , ,,,,,,,,,
,, ,150493346, ,2017-08-15,14.91,14.91,12.7 Mln,2017-09-25,,EUR,14.91,"Company Takeover, Cross Border",Perrigo Co PLC sold Blackburn OAO to Alvogen Inc for EUR 12.70M. The transaction was announced on 8/15/2017 and completed on 9/25/2017.,Completed,M&A,No, ,Friendly,0,Cash,0,100, ,,,, ,,, ,Morristown,United States,US,Health Care,Alvogen Inc,, ,N.A.,2834,N.A.,Ireland,IE,Health Care,Perrigo Co PLC,PHARM PREPS,Michurinsk,Russia,RU,Industrial Services,Industrials,Commercial Support Services,Blackburn OAO,2, , , , , , , , , ,,,,,,,,,
,, ,150748745, ,2017-08-21,341.71,341.71,289.0 Mln,2018-02-17,,EUR,341.71,"Cross Border, Asset Sale","With no further information, the deal has been withdrawn on 02/17/2018. On 08/21/2017, Vedomosti reported that Atrium European Real Estate Ltd is looking to sell its Russian assets for about EUR 289.00M, according to people familiar with the matter.",Withdrawn,AST,No, ,Friendly,0,Cash,0,100,2017-08-21,On the Block,,, ,,, ,,British Virgin Islands,,N.A.,Potential Buyer,,,,N.A.,,Netherlands,JE,Real Estate,Atrium European Real Estate Ltd, ,,Russia,,Real Estate,Real Estate,Real Estate Owners & Developers,Portfolio of real estate/Russia,,, , , , , , , , ,,,,,,,,,
,, ,151310784, ,2017-08-31,N/A,N/A,N/A, ,,USD,N/A,"Cross Border, Minority Purchase",First Heartland Jusan Bank JSC announced the acquisition of a minority stake in Plus Bank PJSC. The transaction was announced on 8/31/2017 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,INV,No, ,Friendly,0,Undisclosed,0,0, ,,,, ,,, ,Almaty,Kazakhstan,KZ,Financials,First Heartland Jusan Bank JSC,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Omsk,Russia,RU,Banking,Financials,Banking,Plus Bank PJSC,700, , , , , , , , , ,,,,,,,,,
,Morgan Lewis, ,151583462, ,2017-07-19,N/A,N/A,N/A,2017-07-19,,RUB,N/A,"Company Takeover, Cross Border",A consortium led by Hearst Corp/The acquired Rosrabota.ru. The transaction was completed on 7/19/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,,United States,,"Communications, Communications","Hearst Corp/The,Hearst Shkulev Media OOO",,,, ,N.A.,N.A., ,N.A.,, ,Novosibirsk,Russia,RU,Media,Communications,Internet Media & Services,Rosrabota.ru,, , , , , , , , , ,,,,,,,,,
,, ,151692804, ,2017-09-07,175.4,175.4,10000.0 Mln, ,,RUB,N/A,"Private Placement, Cross Border, Minority Purchase",Lunaray Investments Ltd announced the acquisition of a minority stake in Concern Rossium LLC. The transaction was announced on 9/7/2017 and is currently pending.,Pending,INV,No, ,Friendly,0,Cash,0,9.9, ,,,, ,,, ,Limassol,Cyprus,CY,Financials,Lunaray Investments Ltd,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Odintsovo,Russia,RU,Financial Services,Financials,Asset Management,Concern Rossium LLC,, , , , , , , , , ,,,,,,,,,
,, ,151734222, ,2017-09-06,N/A,N/A,N/A,2017-09-06,,RUB,N/A,"Company Takeover, Cross Border",Clever Devices Ltd/US acquired Maior OOO. The transaction was completed on 9/6/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Woodbury,United States,US,Technology,Clever Devices Ltd/US,64,ELEC COMP NEC,3679, ,3714,N.A., ,N.A.,, ,N.A,Russia,RU,Consumer Discretionary Products,Consumer Discretionary,Automotive,Maior OOO,,VEHICLE PARTS, , , , , , , , ,,,,,,,,,
China Intl Cap/VTB Capital,, ,151793041, ,2017-09-08,N/A,N/A,N/A,2018-05-04,,USD,N/A,"Cross Border, Private Equity, Minority Purchase","A consortium led by Glencore PLC announced the sale of a minority stake in Rosneft Oil Co PJSC to CEFC International Equity Investment Co Ltd. The transaction was announced on 09/08/2017 and is currently pending. At the time of the announcement, it is the largest MA deal between Chinese and R...",Terminated,INV,No, ,Friendly,0,Cash,0,14.16, ,,,, ,,, , ,China,CN,Financials,China Huaxin International Equity Investment Co Ltd,, ,N.A.,,N.A.,Switzerland,,"Materials, Financials","Glencore PLC,Qatar Investment Authority",,Moscow,Russia,RU,Oil & Gas,Energy,Oil & Gas Supply Chain,Rosneft Oil Co PJSC,302100, , , , , , , , , ,,,,,,,,,
,, ,151931240, ,2017-09-07,5,5,5.0 Mln,2017-09-07,,USD,5,"Venture Capital, Private Equity, Minority Purchase, Series A / 1, Cross Border",LETA Group ZAO acquired a minority stake in inDriver International Inc. The transaction was completed on 9/7/2017.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Moscow,Russia,RU,Financials,LETA Group ZAO,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Mountain View,Russia,US,Media,Communications,Internet Media & Services,inDriver International Inc,, , , , , , , , , ,,,,,,,,,
,, ,151974405, ,2017-09-13,N/A,N/A,N/A,2018-06-11,,RUB,N/A,"Cross Border, Minority Purchase","With no further information on this proposal, the transaction has been withdrawn On 10/22/2017, FT reported that Qatar’s sovereign wealth fund is in talks to join CEFC China Energy and Glencore in taking a stake in EN+, citing people familiar with the matter. On 09/13/2017, Deal Street Asia...",Withdrawn,INV,No, ,Friendly,0,Undisclosed,0,0,2017-09-13,Strategic Alt Review,,, ,,, , ,China,CN,Financials,China Huaxin International Equity Investment Co Ltd,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Kaliningrad,Russia,RU,Materials,Materials,Metals & Mining,EN+ Group International PJSC,90064, , , , , , , , , ,,,,,,,,,
,Cleary Gottlieb, ,151978365, ,2017-06-01,N/A,N/A,N/A,2017-06-01,,RUB,N/A,"Company Takeover, Squeeze Out, Cross Border, Additional Stake Purchase, Tender Offer",Owens Corning acquired OSV Steklovolokno OAO. The transaction was completed on 6/1/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,88,12, ,,,, ,,, ,Toledo,United States,US,Materials,Owens Corning,25000,MINERAL PROD,3290, ,3229,N.A., ,N.A.,, ,Gus-Khrustalny,Russia,RU,Materials,Materials,Containers & Packaging,OSV Steklovolokno OAO,,GLASS PRESS/BL, , , , , , , , ,,,,,,,,,
,, ,152118007, ,2017-09-15,N/A,N/A,N/A,2018-03-15,,USD,N/A,"Cross Border, Private Equity, Minority Purchase",A consortium led by DP World Ltd/United Arab Emirates announced the acquisition of a minority stake in Far-Eastern Shipping Co PLC. Financial terms of the transaction are undisclosed.,Withdrawn,INV,No, ,Friendly,0,Undisclosed,0,0,2017-09-15,Strategic Alt Review,,, ,,, ,,United Arab Emirates,,"Industrials, Financials","DP World Ltd/United Arab Emirates,Russian Direct Investment Fund Management Co",,,, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Industrial Services,Industrials,Transportation & Logistics,Far-Eastern Shipping Co PLC,, , , , , , , , , ,,,,2019-03-28,,,,,
,, ,152324498,2017-12-29,2017-08-11,N/A,N/A,N/A,2017-12-29,,RUB,N/A,"Company Takeover, Additional Stake Purchase",Sovlink LLC announced the acquisition of TGC-2 PJSC. The transaction was announced on 8/11/2017 and is expected to be completed by 12/29/2017. Financial terms of the transaction are undisclosed.,Pending,M&A,No, ,Friendly,0,Undisclosed,52.799999,47.200001, ,,,, ,,, ,Moscow,Russia,RU,Financials,Sovlink LLC,,SEC BROKER/DLR,6211, ,N.A.,N.A., ,N.A.,, ,Yaroslavl,Russia,RU,Utilities,Utilities,Electric Utilities,TGC-2 PJSC,4829, , , , , , , , , ,,,,2017-08-11,,,,,
,, ,152500579, ,2017-09-21,N/A,N/A,N/A,2017-09-21,,USD,N/A,"Cross Border, Asset Sale",Key Energy Services Inc sold Well intervention business/Russia to Unnamed Buyer. The transaction was completed on 9/21/2017. Financial terms of the transaction are undisclosed.,Completed,AST,No, ,Friendly,0,Cash,0,100, ,,,, ,,, ,,Russia,,N.A.,Unnamed Buyer,,,,1381,,United States,US,Energy,Key Energy Services Inc,DRILL OIL/GA,,Russia,,Oil & Gas,Energy,Oil & Gas Supply Chain,Well intervention business/Russia,,, , , , , , , , ,,,,,,,,,
,Yulchon, ,152567141, ,2016-06-17,25.13,25.13,29468.0 Mln,2017-05-31,,KRW,26.31,"Company Takeover, Cross Border",CJ CheilJedang Corp acquired CJ Raviollo Rus for KRW 29468.00M. The transaction was announced on 6/17/2016 and completed on 5/31/2017.,Completed,M&A,No, ,Friendly,0,Cash,0,100, ,,,, ,PwC,, ,Seoul,South Korea,KR,Consumer Staples,CJ CheilJedang Corp,, ,N.A., ,2032,N.A., ,N.A.,, ,Sankt-peterburg,Russia,RU,Consumer Staple Products,Consumer Staples,Food,CJ Raviollo Rus,,CANNED SPECLTY, , , , , , , , ,,,,,,,,,
,Herbert Smith Fr, ,152589293, ,2017-09-11,22.92,22.92,1310.0 Mln,2018-06-28,,RUB,20.82,"Private Placement, Minority Purchase",Mitsubishi Corp acquired a minority stake in Yuniklo Rus OOO. The transaction was announced on 9/11/2017 and completed on 6/28/2018.,Completed,INV,No, ,Friendly,0,Cash,0,25, ,,,, ,,, ,Chiyoda-Ku,Japan,JP,Consumer Staples,Mitsubishi Corp,63037, ,N.A., ,5651,N.A., ,N.A.,, , ,Russia,RU,Retail & Whsle - Discretionary,Consumer Discretionary,Retail - Discretionary,Yuniklo Rus OOO,,FAMILY STORE, , , , , , , , ,,,,,,,,,
,, ,152642600, ,2018-03-05,N/A,N/A,N/A,2018-03-05,,USD,N/A,"Cross Border, Majority Purchase","On 03/05/2018 it was announced that the O1 Group has sold its O1 Properties Ltd to Laysa Group, the company says in emailed statement. On 09/26/2017 RBC reported that China Vanke Co Ltd was said to buy controlling stake in O1 Properties Ltd from O1 Group Ltd with USD 4,240.00M citing unidenti...",Completed,M&A,No, ,Friendly,0,Undisclosed,0,100,2017-09-26,Negotiation,,, ,,, , ,Russia,RU,Communications,Zheleznodorozhnoe Reklamnoe Agentstvo Laisa ZAO,,ADVERT AGENCY,7311,N.A.,N.A.,Cyprus,CY,Financials,O1 Group Ltd, ,Moscow,Russia,RU,Real Estate,Real Estate,Real Estate Services,O1 Properties Ltd,, , , , , , , , , ,,,,,,,,,
,, ,152778825, ,2017-06-30,N/A,N/A,N/A,2017-06-30,,RUB,N/A,"Cross Border, Minority Purchase",Mitsui & Co Ltd acquired a minority stake in CarPrice.ru. The transaction was completed on 6/30/2017. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Undisclosed,0,25, ,,,, ,,Dentons, ,Tokyo,Japan,JP,Materials,Mitsui & Co Ltd,55463,PETR PROD NEC,5172, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Media,Communications,Internet Media & Services,CarPrice.ru,, , , , , , , , , ,,,,,,,,,
,, ,152903737, ,2017-09-29,N/A,N/A,N/A,2017-12-11,,USD,N/A,Company Takeover,"On 12/11/2017,  Magnitogorsk Iron & Steel Works PJSC announced that they completed the acquisition of Lysva Metallurgical Co. On 09/29/2017, Kommersant reported that Magnitogorsk Iron & Steel Works PJSC is considering to buy Lysva Metallurgical Co, citing people with knowledge.",Completed,M&A,No, ,Friendly,7.590425,Undisclosed,0,100,2017-09-29,,,, ,,, ,Magnitogorsk,Russia,RU,Materials,Magnitogorsk Iron & Steel Works PJSC,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Perm,Russia,RU,Consumer Discretionary Products,Consumer Discretionary,Home & Office Products,Lysva Metallurgical Plant,842, ,-0.69,-1.6,-0.25,-0.33, , , , ,,,,,,,,,
,, ,153061565, ,2017-10-02,N/A,N/A,N/A,2017-12-27,,RUB,N/A,Minority Purchase,ITERA Group OOO acquired a minority stake in New Stream Group OOO. The transaction was announced on 10/2/2017 and completed on 12/27/2017. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Undisclosed,0,50, ,,,, ,,, ,Moscow,Russia,RU,Energy,ITERA Group OOO,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Oil & Gas,Energy,Oil & Gas Supply Chain,New Stream Group OOO,, , , , , , , , , ,,,,,,,,,
,, ,153201860, ,2017-10-03,10.72,10.72,620.0 Mln,2017-10-03,,RUB,10.72,Majority Purchase,Mobile TeleSystems PJSC acquired Oblachny Retail LLC for RUB 620.00M. The transaction was completed on 10/3/2017.,Completed,M&A,No, ,Friendly,0,Cash,0,50.82, ,,,, ,,, ,Moscow,Russia,RU,Communications,Mobile TeleSystems PJSC,60388, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Software & Tech Services,Technology,Software,Oblachny Retail LLC,, , , , , , , , , ,,,,,,,,,
,, ,153280935, ,2017-09-27,N/A,N/A,N/A,2017-10-27,,RUB,N/A,"Company Takeover, Additional Stake Purchase",Promsvyazbank PJSC announced the acquisition of Bank Vozrozhdenie PJSC. The transaction was announced on 9/27/2017 and terminated on 10/27/2017. Financial terms of the transaction are undisclosed.,Terminated,M&A,No, ,Friendly,0,Stock,52.75,47.25, ,,,,8200.0 Aqr sh./Tgt sh.,,, ,Moscow,Russia,RU,Financials,Promsvyazbank PJSC,,MISC BUS CRED,6159, ,6029,N.A., ,N.A.,, ,Moscow,Russia,RU,Banking,Financials,Banking,Bank Vozrozhdenie PJSC,,COML BANK NEC, , , , , , , , ,,,,,,,,,
,, ,153280989, ,2017-10-04,N/A,N/A,N/A,2018-04-03,,RUB,N/A,Company Takeover,"With no further information the deal has been withdrawn on 04/03/2018. On 10/04/2017, it was reported that 3 Russian Companies are interested in bidding for Aviakompaniya Vim-Avia OOO, according to Deputy Prime Minister Arkady Dvorkovich.",Withdrawn,M&A,No, ,Friendly,0,Undisclosed,0,100,2017-10-04,On the Block,,, ,,, ,,British Virgin Islands,,N.A.,Potential Buyer,,,, ,4512,N.A., ,N.A.,, ,Moscow,Russia,RU,Industrial Services,Industrials,Transportation & Logistics,Aviakompaniya Vim-Avia OOO,,SCHED AIR TRAN, , , , , , , , ,,,,,,,,,
,, ,153344346, ,2017-10-05,N/A,N/A,N/A,2018-04-03,,RUB,N/A,"Cross Border, Minority Purchase",".With no further information, the deal has been withdrawn on 04/03/2018",Withdrawn,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Riyadh,Saudi Arabia,SA,Financials,Saudi Agricultural and Livestock Investment Co,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Rostov-On-Don,Russia,RU,Consumer Staple Products,Consumer Staples,Food,RZ Agro Holding Ltd,, , , , , , , , , ,,,,,,,,,
,, ,153482597, ,2017-10-07,1,1,1.0 Mln,2017-10-07,,USD,1,"Venture Capital, Cross Border, Private Equity, Minority Purchase, Seed",A consortium led by Private Investor acquired a minority stake in TalkBank. The transaction was completed on 10/7/2017.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,,Unknown,,Financials,"Private Investor,Internet Initiatives Development Fund",,,, ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Software & Tech Services,Technology,Software,TalkBank,, , , , , , , , , ,,,,,,,,,
,, ,153632187, ,2017-10-11,10,10,10.0 Mln,2017-10-11,,USD,10,"Venture Capital, Private Equity, Minority Purchase, Financing Round",Exantech acquired a minority stake in Comino. The transaction was completed on 10/11/2017.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, , ,Russia,RU,Financials,Exantech,, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Tech Hardware & Semiconductors,Technology,Technology Hardware,Comino,, , , , , , , , , ,,,,,,,,,
,Hogan Lovells US, ,153646641, ,2017-08-22,N/A,N/A,N/A,2017-08-22,,RUB,N/A,"Company Takeover, Cross Border",Smurfit Kappa Group PLC acquired Kappa Rus AO/Moscow. The transaction was completed on 8/22/2017. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Dublin 4,Ireland,IE,Materials,Smurfit Kappa Group PLC,47000, ,N.A., ,N.A.,N.A., ,N.A.,, ,N.A,Russia,RU,Consumer Discretionary Products,Consumer Discretionary,Home & Office Products,Kappa Rus AO/Moscow,, , , , , , , , , ,,,,,,,,,
,, ,153774085, ,2017-10-13,N/A,N/A,N/A,2017-10-13,,RUB,N/A,"Cross Border, Minority Purchase",Dentsu Group Inc acquired a minority stake in Zenmico Trading Ltd. The transaction was completed on 10/13/2017. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Undisclosed,0,0, ,,,, ,,, , ,Japan,JP,Communications,Dentsu Group Inc,67445, ,N.A., ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Industrial Services,Industrials,Commercial Support Services,Zenmico Trading Ltd,, , , , , , , , , ,,,,,,,,,
,, ,153780883, ,2017-10-13,N/A,N/A,N/A,2017-10-13,,RUB,N/A,"Private Equity, Minority Purchase",Elbrus Capital OOO acquired a minority stake in Chefmarket.ru. The transaction was completed on 10/13/2017. Financial terms of the transaction are undisclosed.,Completed,INV,No, ,Friendly,0,Cash,0,0, ,,,, ,,, ,Moscow,Russia,RU,Financials,Elbrus Capital OOO,,MISC INVSTRS,6799, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Retail & Whsle - Discretionary,Consumer Discretionary,E-Commerce Discretionary,Chefmarket.ru,, , , , , , , , , ,,,,,,,,,
,, ,153843179, ,2017-09-22,N/A,N/A,N/A, ,,RUB,N/A,"Company Takeover, Cross Border",Frutarom Industries Ltd announced the acquisition of Proizvodstvennaya Kompaniya Maitre OOO. The transaction was announced on 9/22/2017 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,Lincoln Int LLC,, ,Hertzeliya Pituach,Israel,IL,Consumer Staples,Frutarom Industries Ltd,5223, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Retail & Wholesale - Staples,Consumer Staples,Wholesale - Consumer Staples,Proizvodstvennaya Kompaniya Maitre OOO,, , , , , , , , , ,,,,,,,,,
