Acquirer Financial Adviser,Acquirer Legal Adviser,Acquirer Termination Fee,Action ID,Amendment Date,Announce Date,Announced Equity Value (mil.),Announced Total Value (mil.),Cash Terms,Completion/Termination Date,Contingency Payment (Cash),Currency of Deal,Current/Completed Total Value,Deal Attributes,Deal Description,Deal Status,Deal Type,Has Contingency Payment,Merger Agreement Date,Nature of Bid,Net Debt,Payment Type,Percent Owned,Percent Sought,Proposal Date,Proposed Deal Type,Seller Financial Adviser,Seller Legal Adviser,Stock Terms,Target Financial Adviser,Target Legal Adviser,Target Termination Fee,Acquirer City of Domicile,Acquirer Country/Region,Acquirer Country/Region ISO Code,Acquirer Industry Sector,Acquirer Name,Acquirer Number of Employees,Acquirer SIC Name,Current Acquirer SIC Code,Current Seller SIC Code,Current Target SIC Code,Seller Country/Region,Seller Country/Region ISO Code,Seller Industry Sector,Seller Name,Seller SIC Name,Target City of Domicile,Target Country/Region,Target Country/Region ISO Code,Target Industry Group,Target Industry Sector,Target Industry Subgroup,Target Name,Target Number of Employees,Target SIC Name,EqV/Book Val,EqV/EBITDA,EqV/Rev,EqV/Total Assets,TV/Book Val,TV/EBITDA,TV/Rev,TV/Total Assets,Acquirer Shareholders,Central Bank of Russia,EC: European Commission,Federal Antimonopoly service of Russian Federation: FAC,Foreign Investment Commission,Ministry of Finance,Russian Ministry on Antitrust Policy,Seller Board of Directors,Target Shareholders
,, ,233331512, ,2023-02-25,N/A,N/A,N/A, ,,RUB,N/A,Asset Sale,Schaeffler AG announced the sale of Russian business/Schaeffler to Private Investor. The transaction was announced on 2/25/2023 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,AST,No, ,Friendly,0,Undisclosed,0,100,2023-02-25,Preliminary Offer,,, ,,, ,,United States,,N.A.,Private Investor,,,,N.A.,,Germany,DE,Consumer Discretionary,Schaeffler AG, ,,Russia,,Consumer Discretionary Products,Consumer Discretionary,Automotive,Russian business/Schaeffler,,, , , , , , , , ,,,,,,,,,
,, ,233333512, ,2023-02-27,N/A,N/A,N/A,2023-08-28,,RUB,N/A,Asset Sale,Philip Morris International In announced the sale of Russian assets/Philip Morris International Inc to Potential Buyer. Financial terms of the transaction are undisclosed.,Withdrawn,AST,No, ,Friendly,0,Cash,0,100,2023-02-27,On the Block,,, ,,, ,,British Virgin Islands,,N.A.,Potential Buyer,,,,2111,,United States,US,Consumer Staples,Philip Morris International In,CIGARETTES,,Russia,,Consumer Staple Products,Consumer Staples,Tobacco & Cannabis,Russian assets/Philip Morris International Inc,,, , , , , , , , ,,,,,,,,,
,, ,233379073, ,2023-03-01,N/A,N/A,N/A,2023-03-28,,RUB,N/A,Company Takeover,Rostelecom PJSC acquired Fazzi Lodzhik Labs OOO. The transaction was announced on 3/1/2023 and completed on 3/28/2023. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Moscow,Russia,RU,Communications,Rostelecom PJSC,,PHONE NO  RADI,4813, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Software & Tech Services,Technology,Software,Fazzi Lodzhik Labs OOO,, , , , , , , , , ,,,,,,,,,
,, ,233392384, ,2023-03-01,131.8,131.8,9902.2 Mln,2023-05-22,,RUB,133.99,"Cross Border, Asset Sale",Volkswagen AG sold Volkswagen plant/Kaluga to Avilon AG ZAO for RUB 9902.20M. The transaction was announced on 3/1/2023 and completed on 5/22/2023.,Completed,AST,No, ,Friendly,0,Cash,0,100,2023-03-01,Negotiation,,, ,,, ,Moscow,Russia,RU,Consumer Discretionary,Avilon AG ZAO,,AUTO REPAIR,7538,N.A.,,Germany,DE,Consumer Discretionary,Volkswagen AG, ,,Russia,,Retail & Whsle - Discretionary,Consumer Discretionary,Retail - Discretionary,Volkswagen plant/Kaluga,,, , , , , , , , ,,,,,,,,,
,, ,233437460, ,2023-03-07,N/A,N/A,N/A,2023-09-07,,EUR,N/A,"Cross Border, Asset Sale",Volkswagen AG announced the sale of Manufacturing facility/Russia to Sistema PJSFC. Financial terms of the transaction are undisclosed.,Withdrawn,AST,No, ,Friendly,0,Undisclosed,0,100,2023-03-07,Negotiation,,, ,,, ,Moscow,Russia,RU,Communications,Sistema PJSFC,,PHONE NO  RADI,4813,N.A.,,Germany,DE,Consumer Discretionary,Volkswagen AG, ,,Russia,,Industrial Products,Industrials,Transportation Equipment,Manufacturing facility/Russia,,, , , , , , , , ,,,,,,,,,
,, ,233527851, ,2023-03-15,N/A,N/A,N/A,2023-09-15,,RUB,N/A,"Cross Border, Asset Sale",Carlsberg AS announced the sale of 8 breweries/Russia to Anadolu Efes Biracilik Ve Malt Sanayii AS. Financial terms of the transaction are undisclosed.,Withdrawn,AST,No, ,Unsolicited,0,Undisclosed,0,100,2023-03-15,Strategic Alt Review,,Baker McKenzie, ,,, ,Istanbul,Turkey,TR,Consumer Staples,Anadolu Efes Biracilik Ve Malt Sanayii AS,15885, ,N.A.,N.A.,,Denmark,DK,Consumer Staples,Carlsberg AS, ,,Russia,,Real Estate,Real Estate,Real Estate Owners & Developers,8 breweries/Russia,,, , , , , , , , ,,,,,,,,,
,, ,233665632, ,2023-03-28,N/A,N/A,N/A, ,,RUB,N/A,Asset Sale,Henkel AG & Co KGaA announced the sale of 11 Henkels Plants/Russia to Private Investor. The transaction was announced on 3/28/2023 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,AST,No, ,Friendly,0,Cash,0,100, ,,,, ,,, ,,United States,,N.A.,Private Investor,,,,N.A.,,Germany,DE,Consumer Staples,Henkel AG & Co KGaA, ,,Russia,,Renewable Energy,Energy,Renewable Energy,11 Henkels Plants/Russia,,, , , , , , , , ,,,,,,,,,
,, ,233694497, ,2023-03-30,N/A,N/A,N/A, ,,USD,N/A,"Asset Sale, Cross Border",Swixx Biopharma SA announced the sale of Russian business/Swixx Biopharma SA to Eli Lilly & Co. The transaction was announced on 3/30/2023 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,AST,No, ,Friendly,0,Cash,0,100, ,,,, ,,, ,Indianapolis,United States,US,Health Care,Eli Lilly & Co,50000,PHARM PREPS,2834,N.A.,,Switzerland,CH,Health Care,Swixx Biopharma SA, ,,Russia,,Health Care,Health Care,Biotech & Pharma,Russian business/Swixx Biopharma SA,,, , , , , , , , ,,,,,,,,,
,, ,233830202, ,2024-03-28,1023.84,1023.84,94800.0 Mln,2024-03-28,,RUB,1023.84,"Minority Purchase, Cross Border",Shell PLC sold a minority stake in Sakhalin Energy Investment Co Ltd to Gazprom PJSC. The transaction was completed on 3/28/2024.,Completed,INV,No, ,Friendly,0,Cash,0,27.5,2023-04-12,Negotiation,,, ,,, ,St. Petersburg,Russia,RU,Energy,Gazprom PJSC,468, ,N.A.,1311,N.A.,Netherlands,GB,Energy,Shell PLC,CRUDE PETR/NG,Yuzhno-Sakhalinsk,Russia,RU,Oil & Gas,Energy,Oil & Gas Services & Equip,Sakhalin Energy Investment Co Ltd,, , , , , , , , , ,,,,,,,,,
,, ,233867472, ,2023-04-17,N/A,N/A,N/A, ,,RUB,N/A,Company Takeover,X5 Retail Group NV announced the acquisition of Tamerlan OOO. The transaction was announced on 4/17/2023 and is currently pending. Financial terms of the transaction are undisclosed.,Pending,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Amsterdam,Russia,NL,Consumer Staples,X5 Retail Group NV,498525, ,N.A., ,5499,N.A., ,N.A.,, ,Volgograd,Russia,RU,Retail & Wholesale - Staples,Consumer Staples,Retail - Consumer Staples,Tamerlan OOO,,MISC FOOD STOR, , , , , , , , ,,,,2023-04-17,,,,,
,, ,233880933, ,2023-04-18,N/A,N/A,N/A,2023-04-18,,EUR,N/A,"Company Takeover, Cross Border",Adriatic Bank AD Podgorica acquired Expobank AD. The transaction was completed on 4/18/2023. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Podgorica,Montenegro,ME,Financials,Adriatic Bank AD Podgorica,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Belgrade,Russia,RS,Banking,Financials,Banking,Expobank AD,, , , , , , , , , ,,,,,,,,,
