name,country,industry,grade_latest,action_type,filings_searched,filing_dates,writedown_usd_mn,sale_price_usd_mn,all_amounts_mn,filing_urls,edgar_search_url,status
BCG,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=BCG%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
BMC,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=BMC%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bain,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bain%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Baker Botts,United States,Industrials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Baker%20Botts%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Baker Hughes,United States,Energy,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Baker%20Hughes%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Baker McKenzie,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Baker%20McKenzie%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Ball Corporation,United States,Materials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Ball%20Corporation%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,efts_error:500 Server Error: Internal Server Error for url: https://efts.sec.gov/LATEST/search-index?q=%22Ball+Corporation%22+Russia+impairment&forms=10-K%2C20-F&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31
Bentley,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bentley%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bentley Systems,United States,Information Technology,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bentley%20Systems%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Big Fish Games,United States,Communication Services,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Big%20Fish%20Games%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
