name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
Chapman Freeborn,United Kingdom,Industrials,A,other,Cease business operation in Russia,,,,,,,
Charles Schwab,United States,Financials,A,other,Limit access to Russian capital markets,,,,,,,
Ciech,Poland,Materials,A,suspended,suspended Russian exports,,,,,,,
Cisco,United States,Information Technology,A,sold,orderly wind down Russian operations,,,,,,,
Citi,United States,Financials,A,other,Ending all its institutional banking services and ATMs in Russia,,,,,,,
Clarivate,United Kingdom,Industrials,A,other,exit Russian operations,,,,,,,
Cleaves,Norway,Financials,A,suspended,Fully stop all business in Russia,,,,,,,
Clifford Chance,United Kingdom,Industrials,A,sold,wind down operations in Moscow; local partners and counsels form own firm,,,,,,,
Colliers,Canada,Real Estate,A,other,discontinue business in Russia,,,,,,,
Columbus,Denmark,Information Technology,A,sold,Withdrew from Russia,,,,,,,
Comarch,Poland,Information Technology,A,other,halts orders from Russia &amp; Belarus,,,,,,,
Commvault,United States,Information Technology,A,sold,fully wind down Russian business,,,,,,,
Compass Group,United Kingdom,Consumer Staples,A,other,permanently exit Russian market,,,,,,,
Compass Mining,United States,Financials,A,other,Terminate all Russian partnerships and business,,,,,,,
Coop,Switzerland,Financials,A,sold,fully divest Russian operations Transgourmet via management buyout,,,,,,,
Corteva,United States,Consumer Staples,A,other,Stoped production and business activities in Russia,,,,,,,
Coty,United States,Consumer Staples,A,sold,wind down Russian business,,,,,,,
Covestro,Germany,Materials,A,suspended,Ceased Business Activity in Russia,,,,,,,
Cummins,United States,Industrials,A,other,exit Russian operations,,,,,,,
Currency.com,United Kingdom,Financials,A,other,halting operations for residents of Russian,,,,,,,
Cushman &amp; Wakefield,United States,Real Estate,A,other,close office in Russia; transfer to local partner,,,,,,,
Cyfrowy Polsat,Poland,Communication Services,A,other,removing Russian TV channels from the offer,,,,,,,
DDB,United States,Materials,A,other,exit Russian operations,,,,,,,
DLA Piper,United States,Industrials,A,sold,withdrawing from Russia,,,,,,,
DMG Mori,Japan,Industrials,A,sold,Withdrew business in Russia,,,,,,,
DP Eurasia,Netherlands,Consumer Staples,A,other,Closure of Russian Business,,,,,,,
DPD,Germany,Industrials,A,sold,withdrawal from the Russian market,,,,,,,
DWS,Germany,Financials,A,other,End Russian products,,,,,,,
DXC Technology,United States,Information Technology,A,other,leaving Russia completely,,,,,,,
Daikin,Japan,Industrials,A,other,End all Russian business,,,,,,,
Danfoss,Denmark,Industrials,A,sold,exit Russia completely,,,,,,,
Dechert,United States,Industrials,A,other,close Russian office,,,,,,,
Deezer,France,Communication Services,A,other,discontinue services in Russia,,,,,,,
Deichmann,Germany,Consumer Discretionary,A,sold,withdraw from Russia,,,,,,,
Dell,United States,Information Technology,A,suspended,Ceased all operations,,,,,,,
Deloitte,United States,Industrials,A,other,leaving Russia completely; local office launched own firm,,,,,,,
Delta Air Lines,United States,Industrials,A,sold,withdraw codeshare services with Aeroflot,,,,,,,
Dentsu International,United Kingdom,Communication Services,A,sold,divest joint venture/leave Russia,,,,,,,
Deugro,Germany,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Deutsche Bank,Germany,Financials,A,sold,wind down business in Russia,,,,,,,
Deutsche Telekom,Germany,Communication Services,A,other,close Russian business,,,,,,,
Digicert,United States,Information Technology,A,suspended,Fully stop all business in Russia,,,,,,,
Dino Polska,Poland,Consumer Staples,A,other,removed Russian products,,,,,,,
Docker,United States,Information Technology,A,other,End all business in Russia,,,,,,,
Domino's Pizza,United States,Consumer Discretionary,A,other,Closure of Russian Business,,,,,,,
Donaldson Company,United States,Industrials,A,other,Terminated Operations,,,,,,,
Dr. Oetker,Germany,Consumer Staples,A,other,stops sales and production in Russia; transferred ownership of production facilities,,,,,,,
Draftkings,United States,Consumer Discretionary,A,other,Limit business access in Russia,,,,,,,
