name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
DHL,Germany,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
DJI,China,Information Technology,B,suspended,stop selling drones in Russia,,,,,,,
DKV Mobility,Germany,Information Technology,B,suspended,stop all activity for Russian domestic business,,,,,,,
DSV A/S,Denmark,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Daimler Truck,Germany,Consumer Discretionary,B,other,freeze activities in Russia,,,,,,,
Damen,Netherlands,Industrials,B,suspended,"stop supplying ships to Russia, halt new contracts",,,,,,,
Danaher,United States,Health Care,B,suspended,suspended shipments to Russia except for humanitarian medical products,,,,,,,
Danone,France,Consumer Staples,B,other,Announced Transfer,,,,,,,
Danske Bank,Denmark,Financials,B,suspended,suspend operations in Russia,,,,,,,
Dassault Aviation,France,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Dassault Systèmes,France,Information Technology,B,suspended,suspend business operations in Russia,,,,,,,
Debevoise &amp; Plimpton,United States,Industrials,B,sold,Wind down Russia operations; local partners and counsel open Russian business,,,,,,,
Decathlon,France,Consumer Discretionary,B,suspended,suspend the operation of its stores in Russia,,,,,,,
Deckers,United States,Consumer Discretionary,B,suspended,suspend business in Russia,,,,,,,
Demant,Denmark,Health Care,B,suspended,suspend all trade with Russia,,,,,,,
Denso,Japan,Consumer Discretionary,B,suspended,suspend all shipments into Russia,,,,,,,
Depositphotos,Ukraine,Consumer Discretionary,B,suspended,stop all sales and services to Russia,,,,,,,
Diadora,Italy,Consumer Discretionary,B,suspended,suspend contracts with Russian commercial partners,,,,,,,
Diageo,United Kingdom,Consumer Staples,B,suspended,suspend all shipments to Russia,,,,,,,
Diebold Nixdorf,United States,Information Technology,B,suspended,suspend shipments and sales of any kind into Russia.,,,,,,,
DirecTV,United States,Communication Services,B,other,cut Kremlin backed TV networks,,,,,,,
Discover,United States,Communication Services,B,suspended,suspend efforts to establish Russian presence,,,,,,,
Discovery,United States,Communication Services,B,suspended,Suspend Russian access,,,,,,,
Disney,United States,Communication Services,B,suspended,pause new content releases,,,,,,,
Dreamstime,United States,Communication Services,B,other,restrict download plans and payments for Russian customers,,,,,,,
DuPont,United States,Materials,B,suspended,suspend operations in Russia and Belarus,,,,,,,
Dyson,Singapore,Consumer Discretionary,B,suspended,Suspend business in Russia,,,,,,,
ECFMG,United States,Industrials,B,suspended,Suspend Russian certifications,,,,,,,
EDF,France,Utilities,B,suspended,suspend Moscow office,,,,,,,
ESET,Slovakia,Information Technology,B,suspended,suspend all sales to Russia,,,,,,,
Edrington,United Kingdom,Consumer Staples,B,suspended,suspend all shipments to Russia,,,,,,,
Egon Zehnder,United States,Industrials,B,suspended,stop operations in Russia,,,,,,,
Electrolux,Sweden,Consumer Discretionary,B,other,suspending all shipments into Russia,,,,,,,
Elsevier,Netherlands,Communication Services,B,sold,Winding down all operations in Russia,,,,,,,
Embraer,Brazil,Industrials,B,suspended,suspend supplying parts and services to Russia,,,,,,,
Epiroc,Sweden,Consumer Staples,B,suspended,pause all deliveries to Russia and no operations domestically,,,,,,,
Eppendorf SE,Germany,Health Care,B,suspended,suspend exports to Russia; keep rep office open,,,,,,,
Epson,Japan,Consumer Discretionary,B,suspended,suspend exports to Russia &amp; Belarus,,,,,,,
Equinix,United States,Real Estate,B,suspended,suspend Russian partnerships and customers,,,,,,,
Ericsson,Sweden,Information Technology,B,suspended,suspend all shipments to Russia,,,,,,,
Esri,United Kingdom,Information Technology,B,other,Suspending all sales of products and services.,,,,,,,
Estee Lauder,United States,Consumer Staples,B,suspended,suspend operations in Russia,,,,,,,
Etex,Belgium,Communication Services,B,suspended,Suspended business in Russia,,,,,,,
Eurasian Resources Group,Luxembourg,Materials,B,suspended,Suspend substantively all Russian commodities purchases,,,,,,,
European University Association,Belgium,NGO,B,other,cease cooperation with governmental agencies in Russia,,,,,,,
Exiger,United States,Industrials,B,other,halting all activity and due diligence in Russia,,,,,,,
Exor,Netherlands,Financials,B,other,holding company's assets are suspending operations,,,,,,,
FANUC,Japan,Industrials,B,suspended,"Totally suspend all shipments, services and maintenance in Russia",,,,,,,
FIBA,Switzerland,NGO,B,other,ban Russian teams and officials from participating in basketball events,,,,,,,
FIFA,Switzerland,Industrials,B,other,ban Russian athletes from competing,,,,,,,
Famur,Poland,Industrials,B,suspended,suspend Russian exports,,,,,,,
Farfetch,United Kingdom,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
FedEx,United States,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Ferragamo,Italy,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Ferrari,Italy,Consumer Discretionary,B,suspended,suspend sales in Russia,,,,,,,
Fidelity,United States,Financials,B,suspended,Suspend trading of Russian securities,,,,,,,
Finnlines,Finland,Industrials,B,suspended,suspend all traffic to Russia,,,,,,,
Fitch,United States,Financials,B,suspended,suspend operations in Russia,,,,,,,
Fiverr,Israel,Consumer Discretionary,B,suspended,suspend business,,,,,,,
Fluidra,Spain,Industrials,B,suspended,Stopped busisness. In process of selling subsidaries,,,,,,,
Forest Stewardship Council (FSC),Germany,NGO,B,suspended,suspend all trading certificates in Russia &amp; Belarus and block all controlled wood sourcing from the two countries,,,,,,,
Fortinet,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Foster + Partners,United Kingdom,Industrials,B,suspended,stop work on projects in Russia,,,,,,,
Fujitsu,Japan,Information Technology,B,other,cease orders and shipments to Russia,,,,,,,
Fédération Internationale de Motocyclisme,Switzerland,NGO,B,other,"ban Russian, Belarusian licence holders",,,,,,,
Ganni,Denmark,Consumer Discretionary,B,other,freeze all trade with Russia,,,,,,,
Gap Inc,United States,Consumer Discretionary,B,suspended,stopped shipments to franchisees in Russia,,,,,,,
Gasum,Finland,Energy,B,suspended,Suspend all purchases from Russia,,,,,,,
Generac,United States,Industrials,B,suspended,Suspend all business in Russia,,,,,,,
Gestamp,Spain,Consumer Discretionary,B,suspended,stopped production,,,,,,,
GetYourGuide,Switzerland,Consumer Discretionary,B,suspended,suspend all Russian operations,,,,,,,
Goodyear,United States,Consumer Discretionary,B,suspended,suspend shipments of tires to Russia,,,,,,,
Grainpro,United States,Materials,B,suspended,suspend all operations in Russia,,,,,,,
Grammarly,United States,Information Technology,B,other,block users located in Russia and Belarus from using products or services,,,,,,,
Graphisoft,Hungary,Information Technology,B,suspended,"suspended new activities, disabled access to our commercial services in Russia",,,,,,,
Grupa Azoty,Poland,Materials,B,suspended,stopped exporting its products to Russia or Belarus,,,,,,,
Grupo Antolín,Spain,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Grupo Bimbo,Mexico,Consumer Staples,B,suspended,"Suspended distribution of the Bimbo Brand at retail, but left Moscow Bimbo QSR plant operating for food service products",,,,,,,
HARIBO,Germany,Consumer Staples,B,suspended,suspend production to Russia,,,,,,,
HHLA,Germany,Financials,B,suspended,suspend entry of Russian shipments at owned ports,,,,,,,
HMM,South Korea,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Hannover Re,Germany,Financials,B,suspended,halt underwriting business,,,,,,,
Hapag Lloyd,Germany,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Harley-Davidson,United States,Consumer Discretionary,B,other,suspending all business in Russia,,,,,,,
Hasbro,United States,Consumer Discretionary,B,suspended,pause toy shipments of Russia,,,,,,,
Heraeus,Germany,Industrials,B,suspended,stop goods and money flows to Russia,,,,,,,
Herbalife,United States,Consumer Staples,B,suspended,suspend sales and shipments to Russia,,,,,,,
Hermes,France,Consumer Discretionary,B,suspended,suspend all operations in Russia,,,,,,,
Herzog &amp; de Meuron,Switzerland,Industrials,B,suspended,suspend work on Russian projects,,,,,,,
Hexagon,Sweden,Information Technology,B,other,freeze all business activities,,,,,,,
Hindalco,India,Materials,B,suspended,suspend operations,,,,,,,
Hitachi Construction,Japan,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Honda,Japan,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Honey Group,Finland,Consumer Staples,B,suspended,suspend sales to Russia,,,,,,,
Hugo Boss,Germany,Consumer Discretionary,B,other,temporarily close stores and e-commerce sites,,,,,,,
Hunkemoller,Netherlands,Consumer Discretionary,B,suspended,suspend operations of on-site and online stores,,,,,,,
Husqvarna,Sweden,Consumer Discretionary,B,suspended,stop exports to Russia &amp; halt investments,,,,,,,
Hyundai,South Korea,Consumer Discretionary,B,suspended,suspend manufacturing in Russia,,,,,,,
ICBC,China,Financials,B,other,curtail Russian access to capital markets,,,,,,,
Iberia,Spain,Industrials,B,other,canceling flights to Russia,,,,,,,
Icecat,Netherlands,Industrials,B,other,suspends activities for the Russian market,,,,,,,
Illinois Tool Works,United States,Industrials,B,other,suspension of sales to Russia,,,,,,,
Indeed,United States,Information Technology,B,suspended,suspend service in Russia,,,,,,,
Institute of Internal Auditors,United States,Industrials,B,suspended,suspend business in Russia,,,,,,,
Intel,United States,Information Technology,B,suspended,suspend sales to Russia,,,,,,,
Interactive Advertising Bureau,United States,Industrials,B,suspended,suspend licensing in Russia and Belarus,,,,,,,
Intercomm Foods,Greece,Consumer Staples,B,other,Stopping shipments to Russia,,,,,,,
International Canoe Federation,Switzerland,NGO,B,suspended,suspend Russian athletes &amp; relocate Russian events,,,,,,,
International Federation of Sport Climbing,Italy,NGO,B,suspended,suspend Russian teams from participation; suspend Russian events,,,,,,,
International Tennis Federation,United Kingdom,NGO,B,suspended,suspend Russian partnerships,,,,,,,
Intertek,United States,Industrials,B,suspended,suspend operations,,,,,,,
Intuit,United States,Information Technology,B,suspended,suspend customer accounts,,,,,,,
Isuzu,Japan,Consumer Discretionary,B,suspended,Suspend business in Russia,,,,,,,
JCB,United Kingdom,Industrials,B,suspended,pause business in Russia,,,,,,,
Jablotron,Czech Republic,Consumer Discretionary,B,other,halts sales and blocks data services to products assembled in  Russia,,,,,,,
Japan Credit Bureau (JCB),Japan,Financials,B,suspended,suspend operations in Russia,,,,,,,
Johnson Controls,Ireland,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Julipedra,Portugal,Materials,B,suspended,suspended exports to Russia,,,,,,,
Jungheinrich,Germany,Industrials,B,suspended,keep Russia office; stop exports to Russia,,,,,,,
Juniper Networks,United States,Information Technology,B,suspended,suspend sales in Russia,,,,,,,
KBC Group,Belgium,Financials,B,suspended,suspend transactions with certain Russian banks,,,,,,,
KGHM,Poland,Materials,B,suspended,"suspended Russian contracts, subsidiary ZANAM Vostok in Russia",,,,,,,
KLM,Netherlands,Industrials,B,other,cancel flights to and from Russia,,,,,,,
KONE,Finland,Industrials,B,suspended,suspend deliveries to Russia &amp; stop new Russian orders,,,,,,,
KUKA,Germany,Industrials,B,suspended,suspend all business with Russia,,,,,,,
Kepenou Mills,Greece,Consumer Staples,B,suspended,stop wheat orders from Russia,,,,,,,
Kering,France,Consumer Discretionary,B,other,close all stores in Russia,,,,,,,
Kerry Group,Ireland,Consumer Staples,B,other,suspending operations,,,,,,,
Kingston,United States,Information Technology,B,suspended,suspend shipments to Russia,,,,,,,
Kodak Alaris,United Kingdom,Information Technology,B,suspended,suspend all business activity into Russia &amp; Belarus,,,,,,,
Komatsu,Japan,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Konecranes,Finland,Industrials,B,suspended,stop all orders from Russia,,,,,,,
Konica Minolta,Japan,Consumer Discretionary,B,suspended,new shipments suspended,,,,,,,
Korean Air Lines,South Korea,Industrials,B,other,no flying over Russian airspace; Russian flights cancelled,,,,,,,
Korn Ferry,United States,Industrials,B,suspended,suspend business in Russia,,,,,,,
Krombacher,Germany,Consumer Staples,B,suspended,stopped exports to Russia,,,,,,,
Kronospan,Austria,Materials,B,other,Separated out all business activities in Russia,,,,,,,
Kubota,Japan,Industrials,B,other,cancel production of equipment orders from Russian,,,,,,,
Kurokesu,Lithuania,Consumer Discretionary,B,suspended,suspend shipments to Russia,,,,,,,
Kyocera,Japan,Information Technology,B,suspended,suspend deliveries of all devices to Russia,,,,,,,
Kärcher,Germany,Consumer Discretionary,B,suspended,suspend exports to Russia &amp; halt investments,,,,,,,
Körber,Germany,Industrials,B,suspended,suspend new business with Russia,,,,,,,
L'Oreal,France,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
LCBO,Canada,Consumer Staples,B,suspended,suspend Russian-produced products,,,,,,,
LG Electronics,South Korea,Information Technology,B,suspended,suspend new product shipments to Russia,,,,,,,
LUSH,United Kingdom,Consumer Discretionary,B,suspended,suspend online sales &amp; supply to Russia,,,,,,,
La Lorraine,Belgium,Consumer Staples,B,suspended,halt its 50mn euro investment in Moscow,,,,,,,
Lanxess,Germany,Materials,B,suspended,suspend business activities with Russia,,,,,,,
Lego,Denmark,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Leonardo,Italy,Industrials,B,suspended,pause all JVs in Russia; helicopter production,,,,,,,
Les Ballets de Monte-Carlo,Monaco,Consumer Discretionary,B,suspended,suspend performance rights for his ballet,,,,,,,
Levi Strauss,United States,Consumer Discretionary,B,suspended,suspend all sales in Russia,,,,,,,
Lexmark,United States,Information Technology,B,suspended,suspend shipments to Russia,,,,,,,
Little Caesar's,United States,Consumer Discretionary,B,suspended,suspend Russian franchise support,,,,,,,
Live Nation Entertainment,United States,Communication Services,B,suspended,stop business with Russia,,,,,,,
Lladró,Spain,Consumer Discretionary,B,suspended,suspended service and shipment to Russia.  No new requests,,,,,,,
Louis Dreyfus,Netherlands,Consumer Staples,B,suspended,suspend operations in Russia,,,,,,,
Lumen,United States,Communication Services,B,other,cut networks to Russia,,,,,,,
M&amp;G,United Kingdom,Financials,B,other,phased divestment of Russian assets,,,,,,,
MS &amp; AD Insurance Group,Japan,Financials,B,other,suspending operations,,,,,,,
MSC,United States,Financials,B,other,temporary suspension of all shipments to Russia,,,,,,,
MSC Cruises,Switzerland,Consumer Discretionary,B,suspended,suspend calls to Russia,,,,,,,
MV Group,Lithuania,Consumer Staples,B,other,"suspends all imports and orders, froze partner brands",,,,,,,
MVRDV,Netherlands,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Magna,Canada,Consumer Discretionary,B,suspended,suspend Russian plants,,,,,,,
Magna Steyr,Austria,Consumer Discretionary,B,suspended,suspend deliveries to Russia,,,,,,,
Mango,Spain,Consumer Discretionary,B,suspended,suspend direct operations in Russia,,,,,,,
Manolo Blahnik,United Kingdom,Consumer Discretionary,B,suspended,suspend sales to Russia,,,,,,,
Marks &amp; Spencer,United Kingdom,Consumer Staples,B,suspended,suspend all shipments to Russia,,,,,,,
Marriott,United States,Consumer Discretionary,B,suspended,suspend all Russian operations,,,,,,,
Marvell,United States,Information Technology,B,suspended,suspend all sales to Russia in compliance with sanctions,,,,,,,
Mastercard,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Match Group,United States,Communication Services,B,other,"Stated will leave Russia by June 30, 2023",,,,,,,
Mattel,United States,Consumer Discretionary,B,suspended,suspend shipments into Russia,,,,,,,
Mazda,Japan,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
McCormick,United States,Consumer Staples,B,suspended,suspend operations in Russia,,,,,,,
Meggit,United Kingdom,Industrials,B,other,cease all imports and exports with Russia,,,,,,,
Meta,United States,Communication Services,B,suspended,suspend Russian advertising,,,,,,,
Metsa,Finland,Materials,B,suspended,suspend operations at Russian mill,,,,,,,
Metso Outotec,Finland,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Mettler Toledo,United States,Health Care,B,suspended,suspend all shipments to Russia,,,,,,,
Michelin,France,Consumer Discretionary,B,suspended,suspended all operations in Russia,,,,,,,
Micro Focus,United Kingdom,Information Technology,B,suspended,Suspended business in Russia,,,,,,,
Micron,United States,Information Technology,B,suspended,Suspend shipments to Russia according to sanctions,,,,,,,
Microsoft,United States,Information Technology,B,suspended,suspend new sales in Russia but continue existing access,,,,,,,
Milk Hydrosan sp. z o.o.,Poland,Industrials,B,suspended,suspended Russian contracts,,,,,,,
Mitsubishi Electric,Japan,Industrials,B,suspended,stop all sales to Russia but reserve the right to return,,,,,,,
Mitsubishi Motors,Japan,Consumer Discretionary,B,suspended,suspended operations at Russian plant,,,,,,,
Mobatime (Elekon),Czech Republic,Consumer Discretionary,B,suspended,stopped activity and remotely stopped clock on Russian Academy of Sciences,,,,,,,
Moncler,Italy,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Moneygram,United States,Financials,B,suspended,suspend all payments to Russia,,,,,,,
MongoDB,United States,Information Technology,B,suspended,suspend sales to Russia and Belarus,,,,,,,
Mothercare,United Kingdom,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Motorola Solutions,United States,Information Technology,B,suspended,suspend service orders to Russia,,,,,,,
Munich Re,Germany,Financials,B,suspended,not renew current contracts &amp; suspend new business,,,,,,,
NCR,United States,Information Technology,B,suspended,suspend sales to Russia,,,,,,,
NEC,Japan,Information Technology,B,suspended,suspend all future sales,,,,,,,
NHL,United States,NGO,B,suspended,pause all partnerships in Russia,,,,,,,
NSG Group (Pilkington),Japan,Materials,B,other,suspension all trading and investment,,,,,,,
NXP Semiconductors,Netherlands,Information Technology,B,suspended,suspend all shipments to and business with Russia,,,,,,,
Namecheap,United States,Information Technology,B,suspended,stop offering products to Russia,,,,,,,
Nemak,Mexico,Consumer Discretionary,B,suspended,halt production in Russia,,,,,,,
Neste Oyj,Finland,Energy,B,suspended,suspend purchases of Russian oil,,,,,,,
NetApp,United States,Information Technology,B,suspended,suspend business operations in Russia,,,,,,,
New Balance,United States,Consumer Discretionary,B,suspended,suspend shipments to Russia,,,,,,,
New Development Bank,China,Financials,B,other,curtail Russian access to capital markets,,,,,,,
Niantic Labs,United States,Information Technology,B,other,products made unavailable in Russia,,,,,,,
Nikon,Japan,Consumer Discretionary,B,suspended,suspend shipments to Russia,,,,,,,
Nintendo,Japan,Communication Services,B,suspended,suspend all sales in Russia,,,,,,,
Nippon Telegraph and Telephone Corporation (NTT),Japan,Communication Services,B,sold,"Completed sale of business, transitioning team",,,,,,,
Norton,United States,Information Technology,B,suspended,suspend sales to Russia,,,,,,,
Nozbe,Poland,Industrials,B,other,cut off services for Russia and Belarus,,,,,,,
Nu Skin,United States,Consumer Staples,B,suspended,suspend Russian operations,,,,,,,
Nutanix,United States,Information Technology,B,suspended,pause all sales and support to Russia,,,,,,,
Nvidia,United States,Information Technology,B,suspended,suspend all sales in Russia,,,,,,,
ON24,United States,Information Technology,B,suspended,suspend all Russian activities,,,,,,,
OP Bank Lithuania,Lithuania,Financials,B,suspended,temporarily stop the processing of all  payments from and to Russia &amp; Belarus,,,,,,,
Olvi,Finland,Consumer Staples,B,suspended,stop exports to Russia,,,,,,,
Olympus,Japan,Information Technology,B,suspended,suspend sales of Scientific Solutions portfolio and all capital investments,,,,,,,
OpenText,Canada,Information Technology,B,suspended,suspend all business,,,,,,,
Oracle,United States,Information Technology,B,suspended,suspend all operations in Russia,,,,,,,
Orion,Finland,Health Care,B,other,Discontinued business operations in Russia,,,,,,,
Outokumpu,Finland,Materials,B,suspended,stop sales and deliveries to Russia,,,,,,,
PTC,United States,Information Technology,B,other,discontinue all business operations and sales,,,,,,,
PVH,United States,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
PagerDuty,United States,Information Technology,B,suspended,suspend cooperation with Russian customers,,,,,,,
Panasonic,Japan,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Papa John's,United States,Consumer Discretionary,B,suspended,suspend support for all Russian franchises,,,,,,,
Par Pacific,United States,Energy,B,suspended,suspend purchases of Russian crude oil,,,,,,,
Paramount,United States,Communication Services,B,suspended,pause new content releases to Russia,,,,,,,
Payoneer,United States,Information Technology,B,other,close Russian accounts,,,,,,,
Paypal,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Peak Design,United States,Consumer Staples,B,other,shut down sales to Russia,,,,,,,
Pekao SA,Poland,Financials,B,suspended,transactions in Russian ruble suspended,,,,,,,
Pernod Ricard,France,Consumer Staples,B,suspended,"Resumed exports to Russia, then halted after calls to boycott",,,,,,,
Pivovary Staropramen,Czech Republic,Consumer Staples,B,suspended,suspended beer exports,,,,,,,
Playmobil,Germany,Consumer Discretionary,B,suspended,stop all sales to Russia,,,,,,,
Plzeňský Prazdroj,Czech Republic,Consumer Staples,B,suspended,suspend sales to Russia,,,,,,,
Podravka,Croatia,Consumer Staples,B,suspended,stop deliveries to Russia,,,,,,,
Polaris,United States,Consumer Discretionary,B,suspended,suspend exports to Russia,,,,,,,
Porsche,Germany,Consumer Discretionary,B,other,end shipments of new cars; dealerships running and warranty obligations honored,,,,,,,
Prada,Italy,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Preem AB,Sweden,Energy,B,suspended,suspend purchases of Russian oil,,,,,,,
Prosus,Netherlands,Industrials,B,sold,In process of divesting from local subsidiary,,,,,,,
Puma,Germany,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
QS,United Kingdom,NGO,B,other,cease activity with Russian customers &amp; cease promotion of Russian universities,,,,,,,
Qlik,Sweden,Information Technology,B,suspended,suspend sales and services to Russia,,,,,,,
Qualcomm,United States,Information Technology,B,suspended,suspend shipments to Russia,,,,,,,
RTB,United States,Industrials,B,suspended,Suspended business in Russia,,,,,,,
Rabobank,Netherlands,Financials,B,other,curtail Russian access to capital markets,,,,,,,
Radio Free Europe,Czech Republic,Communication Services,B,suspended,suspend operations in Russia,,,,,,,
Rakovnický Pivovar,Czech Republic,Consumer Staples,B,sold,stopped exports and withdrew some products for sale in Russia,,,,,,,
Ralph Lauren,United States,Consumer Discretionary,B,suspended,pause operations in Russia,,,,,,,
Ravensburger | BRIO,Germany,,B,other,Russia distribution through Alisa Toys,,,,,,,
Raytheon,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Recruit Holdings,Japan,Industrials,B,suspended,Suspend Russian access,,,,,,,
Reima,Finland,Consumer Discretionary,B,suspended,suspend all sales into Russia,,,,,,,
Remitly Global,United States,Information Technology,B,suspended,stop accepting new users in Russia,,,,,,,
Renishaw,United Kingdom,Industrials,B,suspended,Suspended business in Russia,,,,,,,
Revolut,United Kingdom,Financials,B,suspended,stop top-ups for Russian cards and block transfers to Russian institutions,,,,,,,
Richemont,Switzerland,Consumer Discretionary,B,suspended,suspend all operations in Russia,,,,,,,
Ricoh,Japan,Information Technology,B,suspended,suspend shipments to Russia,,,,,,,
Roca,Spain,Consumer Discretionary,B,other,closure of plants,,,,,,,
Rockwell Automation,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Roland DG,Japan,Information Technology,B,suspended,suspend all exports and sales to Russia,,,,,,,
Rolex,Switzerland,Consumer Discretionary,B,suspended,suspend exports to Russia,,,,,,,
Rolls Royce,United Kingdom,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Rotork,United Kingdom,Industrials,B,suspended,Suspended business in Russia,,,,,,,
Rovio,Finland,Information Technology,B,other,remove games from app stores in Russia,,,,,,,
Royal Caribbean Cruises,United States,Consumer Discretionary,B,other,Cancel summer cruise ship visits to Russia,,,,,,,
Royal Society of Chemistry,United Kingdom,NGO,B,suspended,pause activities with Russian institutions,,,,,,,
SSAB,Sweden,Materials,B,other,shipments and sales to Russia discontinued,,,,,,,
STIHL,Germany,Consumer Discretionary,B,suspended,suspend deliveries to Russia,,,,,,,
Safran,France,Industrials,B,suspended,stop all activities in Russia,,,,,,,
Samsonite International,Luxembourg,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Samsung,South Korea,Information Technology,B,suspended,suspend all shipments to Russia,,,,,,,
Sandvik,Sweden,Industrials,B,suspended,suspend all operations in Russia,,,,,,,
Sardina,Croatia,Consumer Staples,B,suspended,suspend deliveries to Russia,,,,,,,
Scandinavian Tobacco,Denmark,Consumer Staples,B,suspended,suspend most operations in Russia,,,,,,,
Scania,Sweden,Industrials,B,suspended,suspend all sales in Russia,,,,,,,
Schwarz Group,Germany,Consumer Staples,B,suspended,stop sales of Russian products in stores,,,,,,,
Sennheiser,Germany,Information Technology,B,suspended,suspend all business &amp; stop exports,,,,,,,
Sharp Group,Japan,Information Technology,B,suspended,suspend shipping into Russia,,,,,,,
Sherwin Williams,United States,Industrials,B,suspended,suspend business,,,,,,,
Shiseido,Japan,Consumer Staples,B,suspended,suspend export shipments to Russia,,,,,,,
Siemens Energy AG,Germany,Industrials,B,sold,Sold factory and stake in russian Companies,,,,,,,
Sigma Group,Czech Republic,Industrials,B,suspended,suspend business,,,,,,,
Simba Dickie Group,Germany,Consumer Discretionary,B,suspended,suspend all business in Russia including with local independent distributor,,,,,,,
Skytrax,United Kingdom,NGO,B,suspended,suspend all audit and rating analysis,,,,,,,
Smartway Pharmaceuticals,United Kingdom,Health Care,B,suspended,"suspended all operations, most supplies, and all advertising",,,,,,,
Sodeca,Spain,Industrials,B,other,cut off all supplies to Russian partners,,,,,,,
Solvay,Belgium,Materials,B,suspended,suspend operations in Russia,,,,,,,
SonoSim,United States,Health Care,B,suspended,suspend distributor relationship in Russia,,,,,,,
Sony,Japan,Consumer Discretionary,B,suspended,"pause release of new films in Russia, suspending console and game sales in Russia",,,,,,,
Sportradar,Switzerland,Consumer Discretionary,B,suspended,"suspend all new investments in Russia, including signing new customers",,,,,,,
Spotify,Sweden,Communication Services,B,suspended,closed office and suspend service,,,,,,,
SriLankan Airlines,Sri Lanka,Industrials,B,suspended,suspend flights between Sri Lanka and Russia,,,,,,,
Stellantis,Netherlands,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Storytel,Sweden,Communication Services,B,suspended,pause operations in Russia,,,,,,,
Subaru,Japan,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Sumitomo Group,Japan,Financials,B,other,scaling back or suspending all Russian-related business,,,,,,,
Supercell,Finland,Information Technology,B,other,remove games from app stores in Russia,,,,,,,
Swagelok,United States,Industrials,B,suspended,Suspended business in Russia,,,,,,,
Swarovski,Liechtenstein,Consumer Discretionary,B,suspended,suspend all sales in Russia,,,,,,,
Swatch,Switzerland,Consumer Discretionary,B,suspended,suspend direct operations in Russia,,,,,,,
Sweco,Sweden,Industrials,B,suspended,stop all projects in Russia,,,,,,,
Synopsys,United States,Information Technology,B,suspended,suspend all operations in Russia,,,,,,,
Systemair,Sweden,Industrials,B,suspended,suspend all sales to Russia,,,,,,,
T Machinery,Czech Republic,Industrials,B,suspended,Stopped cooperation,,,,,,,
TSMC,Taiwan,Information Technology,B,suspended,suspend all shipments to Russia,,,,,,,
TTC Holding,Czech Republic,Real Estate,B,suspended,suspended activities,,,,,,,
Tadano,Japan,Industrials,B,other,suspension of shipments into Russia,,,,,,,
Take-Two Interactive,United States,Communication Services,B,suspended,"halt sales, marketing and more in Russia",,,,,,,
Talgo,Spain,Industrials,B,other,"Ended activity, service center still exists",,,,,,,
Tanin,Slovenia,Materials,B,suspended,goods are stopped,,,,,,,
Tata Motors,India,Consumer Discretionary,B,suspended,Paused sales of Jaguar Land Rover in Russia,,,,,,,
Tendam,Spain,Consumer Discretionary,B,suspended,suspend activity in Russia,,,,,,,
Thales,France,Industrials,B,suspended,Suspended business in Russia,,,,,,,
The Navigator Company,Portugal,Materials,B,suspended,suspend all marketing in Russia,,,,,,,
Thermo Fisher,United States,Health Care,B,suspended,suspend sales and manufacturing in Russia,,,,,,,
TikTok,United States,Communication Services,B,suspended,suspend operations in Russia,,,,,,,
Timken,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
TomTom,Netherlands,Information Technology,B,sold,"turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review",,,,,,,
