name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
Knorr-Bremse,Germany,Industrials,A,A,other,yes,will not deliver any more products or systems for Russian locomotives; end JVs
Koch Industries,United States,Industrials,A,A,other,yes,sell Russian business to a local enterprise
Kofax,United States,Information Technology,A,A,other,yes,curtail all sales of software and close sites in Russia
Koskisen,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Krispy Kreme,United States,Consumer Discretionary,A,A,sold,yes,winding down business in Russia
L'Occitane,France,Consumer Discretionary,A,A,other,yes,exit Russian operations
LVMH,France,Consumer Discretionary,A,B,other,yes,end all operations in Russia
Lamb Weston,United States,Consumer Staples,A,A,other,yes,exit Russian market
Latham &amp; Watkins,United States,Industrials,A,,sold,no,wind down Russian presence
Lear Corporation,United States,Consumer Discretionary,A,C,sold,yes,fully exit Russia
Legrand,France,Industrials,A,F,other,yes,Left Russia
Leica Camera AG,Germany,Information Technology,A,B,sold,yes,Fully withdrawn from Russia
Leptos Estates,Cyprus,Real Estate,A,F,other,yes,Operations closed down in Russia
Lifan,China,Consumer Discretionary,A,,sold,no,Fully exit Russia
Lincoln Electric,United States,Industrials,A,A,suspended,yes,ceased all operations
Lindab,Sweden,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Lindstrom Group,Finland,Consumer Discretionary,A,,sold,no,Withdrew from Russia
Lindt-Sprungli,Switzerland,Consumer Staples,A,B,suspended,yes,suspend operations in Russia
Linklaters,United Kingdom,Industrials,A,A,other,yes,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm"
Lloyd's Register,United Kingdom,Industrials,A,A,sold,yes,withdraw services to Russia
Logitech,Switzerland,Information Technology,A,B,suspended,yes,suspend shipments to Russia
London Stock Exchange Group,United Kingdom,Financials,A,A,other,yes,curtail Russian access to capital markets
Lufthansa,Germany,Industrials,A,A,suspended,yes,suspended flights and ended Russian aircraft maintenance
Luxoft,Switzerland,Information Technology,A,A,other,yes,exit Russian market
LyondellBasell,Netherlands,Materials,A,C,other,yes,end all business
MAN,Germany,Industrials,A,B,other,yes,"end delivery, supply of trucks, and sales to Russia"
MSCI,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
MSU S.A.,Poland,Consumer Discretionary,A,A,suspended,yes,ceased all business activities in Russia
Maersk,Denmark,Industrials,A,B,sold,yes,Divested all assets from Russia
Makrochem SA,Poland,Industrials,A,F,other,yes,Terminated all business with its Russian and Belarussian counterparts
Mannheimer Swartling,Sweden,Industrials,A,B,other,yes,end all operations
Mantsinen,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Marsh McLennan,United States,Financials,A,A,sold,yes,exit operations in Russia
Marugame,Japan,Consumer Staples,A,,sold,no,Fully exit Russia and end all franchises operating in Russia
Maxima,Lithuania,Consumer Discretionary,A,,other,no,Fully remove all Russian products and end Russian business
Mayr-Melnhof,United Kingdom,Materials,A,,sold,no,Fully exit Russia after selling its operations
McCain Foods,Canada,Consumer Staples,A,B,other,yes,end operations in Russia
McDonald's,United States,Consumer Discretionary,A,A,sold,yes,leave the Russian market &amp; sell Russian business
McKinsey,United States,Industrials,A,A,other,yes,exit Russian market completely
Mercedes-Benz,Germany,Consumer Discretionary,A,A,suspended,yes,Stopped manufacturing and exporting and will sell shares in subsidies
MessageBird,Netherlands,Information Technology,A,A,other,yes,"shut down API access, block SMS and voice traffic to Russian carriers"
Mondi,United Kingdom,Materials,A,A,other,yes,sell Russian assets
Monroe Energy,United States,Energy,A,A,suspended,yes,stop imports of Russian crude oil
Moog Inc.,United States,Industrials,A,A,other,yes,exit Russian operations
Moose Toys,Australia,Consumer Discretionary,A,,other,no,Ended all shipments to Russia
Morgan Advanced Materials,United Kingdom,Industrials,A,A,other,yes,cease all trading with Russia.
Morgan Lewis,United States,Industrials,A,A,other,yes,close Russian offices
Morrisons,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
NCAB Group AB,Sweden,Industrials,A,A,sold,yes,sold assets and ceased operations in Russia
NTT Data,Japan,Information Technology,A,A,sold,yes,exit Russia
Nasdaq,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
Naspers,South Africa,Consumer Discretionary,A,A,sold,yes,Ended Operations. Sold Avito.
Nemetschek Group,Germany,Information Technology,A,C,other,yes,No longer engaged in any Russian business
Nemiroff,Ukraine,Consumer Staples,A,,other,no,Revoke all licenses related to Russia and end all business there
Netflix,United States,Communication Services,A,A,suspended,yes,suspend service in Russia
Netscout,United States,Information Technology,A,A,suspended,yes,"pause all sales, support, and services in Russia"
Next,United Kingdom,Consumer Discretionary,A,,sold,no,Fully wind down Russian business
Nike,United States,Consumer Discretionary,A,A,sold,yes,exit Russia
Nissan,Japan,Consumer Discretionary,A,A,other,yes,Exit from Russian Market
Nokia,Finland,Information Technology,A,A,other,yes,pulling out of Russia completely
Nokian Tyres,Finland,Consumer Discretionary,A,C,other,yes,meaningfully reduce production in Russia
Nordea Bank,Finland,Financials,A,C,suspended,yes,Ceased all operations
Norton Rose Fulbright,United Kingdom,Industrials,A,A,other,yes,exit from Russia
Norwegian Cruise Lines,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
OBI,Germany,Consumer Discretionary,A,A,sold,yes,Fully exit Russia after selling its operations
Oceania Cruises,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
Oerlikon,Switzerland,Materials,A,A,other,yes,sell Russian operations
Olam Group,Singapore,Consumer Staples,A,D,sold,yes,divest Russian operations
Omnicom Media Group,United States,Communication Services,A,A,other,yes,exit Russian operations
Omron,Japan,Information Technology,A,,sold,no,fully wind down Russian business
OneWeb,United States,Communication Services,A,A,suspended,yes,suspend use of Russian airspace
Orica,Australia,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Orkla,Norway,Consumer Staples,A,A,other,yes,exit Russian operations
Orlen Lietuva,Poland,Energy,A,A,suspended,yes,stopped Russian oil imports
Orsted,Denmark,Utilities,A,C,other,yes,end all gas purchases from Russia
Otis Worldwide,United States,Industrials,A,C,sold,yes,fully exit Russia through divesting business
Owens Corning,United States,Industrials,A,A,other,yes,expedite exit from Russia
PFZW,Netherlands,Financials,A,A,sold,yes,divest from all Russian assets
PGL Esports,United States,Communication Services,A,A,other,yes,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition
PHX,United States,Energy,A,,sold,no,Fully exit Russia after selling its operations
PKO BP,Poland,Financials,A,A,suspended,yes,suspends transactions with Russian banks transactions in Russian ruble suspended
PME pensioenfonds,Netherlands,Financials,A,A,sold,yes,sell off all Russian investments
PZU SA,Poland,Financials,A,A,other,yes,reduced position in Russian bonds to zero
Pandora,Denmark,Consumer Discretionary,A,B,suspended,yes,suspend all business with Russia and Belarus
Parker Hannifin,United States,Industrials,A,A,other,yes,closed our office and warehouse facility in Moscow and no longer do business in this country
Paul Smith,United Kingdom,Consumer Discretionary,A,,other,no,Leaving Market
Paulig,Finland,Consumer Staples,A,A,sold,yes,withdraw from Russia
Paysera,Lithuania,Financials,A,,suspended,no,Close accounts of Russians and halt transfers to and from Russia
Pensioenfonds Detailhandel,Netherlands,Financials,A,A,sold,yes,sell off all Russian investments
Pentair,United States,Industrials,A,A,other,yes,exiting its business in Russia
Petro,Austria,Energy,A,,sold,no,Fully exit Russia after selling its operations
Petrofac,United Kingdom,Energy,A,,other,no,fully end all business operatins in R
Pixabay,Germany,Consumer Discretionary,A,,other,no,block Russian access
Playrix,Ireland,Consumer Discretionary,A,,other,no,Fully end operations in Russia
Playtika,Israel,Information Technology,A,C,other,yes,end Russian operations
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,A,A,suspended,yes,stopped gaz imports
Ponsse PLC,Finland,Industrials,A,A,sold,yes,divest Russian operations
Postnord,Norway,Utilities,A,,other,no,reject all Russian items
Primo Water,United States,Consumer Staples,A,,sold,no,Withdrew from Russia
Princess Cruises,United States,Consumer Discretionary,A,,other,no,reject bookings from Russia
Prio,Portugal,Energy,A,A,suspended,yes,ceased purchase of any products from Russian or directly related companies
Publicis Groupe,France,Communication Services,A,A,other,yes,cede ownership to local affiliates
Pure Storage,United States,Information Technology,A,,sold,no,fully wind down Russian business
PwC,United States,Industrials,A,A,other,yes,leaving Russia completely
Qantas Airlines,Australia,Industrials,A,A,other,yes,No longer flies over Russian territory
R&amp;A,United States,Industrials,A,,other,no,ban on all Russian competition
RWS,United Kingdom,Industrials,A,,sold,no,Fully wind down Russian business
Raisio,United States,Consumer Staples,A,,sold,no,Fully exit Russia after selling its operations
Rational,Germany,Consumer Discretionary,A,C,other,yes,Closed Russian Business
Red Hat,United States,Information Technology,A,A,other,yes,discontinue sales and services in Russia &amp; terminate partnerships
Reface,Ukraine,Information Technology,A,,other,no,Removed App  and updates of app in Russia
