name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
AAK,Sweden,Consumer Staples,A,B,sold,yes,2023-08-23,2022-12-24,no,Exited Russia.
AB InBev,Belgium,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,sold stake in joint ventures and suspend using its license in Russia
ABB,Switzerland,Industrials,A,C,sold,yes,2023-08-23,2023-08-23,no,Exited Market
AECOM,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia operations
AFRY,Sweden,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
AG Barr,United Kingdom,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,cut ties with Russian market
AP7,Sweden,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,sell off  all of Russian shares
APG,Netherlands,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,sell all Russian investment
AVL,Austria,Industrials,A,F,suspended,yes,2023-08-23,2023-08-23,no,"Stopped on business, initiated divestment process"
Aarsleff,Danish,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Accenture,Ireland,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,exiting Russia completely
Accountor,Finland,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdrawal from Russia
Acerinox,Spain,Materials,A,A,suspended,yes,2022-12-24,2022-12-24,yes,Ceased Operations
Acronis,Switzerland,Information Technology,A,A,suspended,yes,2022-12-24,2022-12-24,yes,suspend operations in Russia
Adenza,United Kingdom,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue all operations in Russia
Aegon,Netherlands,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,Sold exposure
AerCap,Ireland,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,cease leasing activity with Russian airlines
Agilent,United States,Information Technology,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Agrokoncernas,Lithuania,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,F,suspended,yes,2023-08-23,2023-08-23,no,Suspended all operations
Air Lease,United States,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Air Liquide,France,Materials,A,D,sold,yes,2023-08-23,2023-08-23,no,Withdrawal from Russia
Air Products,United States,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,full divestiture from Russia
AirBaltic,Latvia,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,leave Russian market until further notice
Akvelon,United States,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,close offices in Moscow
Alcoa,United States,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,"cease buying raw materials from, or selling our products to, Russian businesses"
Aldi,Germany,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,remove products from Russia
Allegro,Poland,Consumer Discretionary,A,A,other,yes,2022-12-24,2022-12-24,yes,bans Russian &amp; Belarussian products
Allen &amp; Overy,United Kingdom,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,wind down Russian operations
AmRest,Spain,Consumer Discretionary,A,C,sold,yes,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Amedia,Norway,Communication Services,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
American Airlines,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,end agreements with Russian airlines
Ametek,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,closing TPM Russia subsidiary due to war in Ukraine
Amsted Rail,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia completely
Amway,United States,Consumer Staples,A,B,suspended,yes,2023-08-23,2022-12-24,no,Ceased operations in Russia
Ansell,Australia,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Arconic,United States,Materials,A,D,sold,yes,2023-08-23,2023-08-23,no,Exited Russia
Arendt &amp; Medernach,Luxembourg,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,pull out of Russia; close Russian office and suspend select Russian client engagements
Arrival,United Kingdom,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Asda,United Kingdom,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,remove products from Russia
Asics,Japan,Consumer Discretionary,A,F,suspended,yes,2023-08-23,2023-08-23,no,Ceased all business operations in Russia
Aspo,Finland,Industrials,A,C,sold,yes,2023-08-23,2023-08-23,no,Exited Russia Market
Assicurazioni Generali,Italy,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia completely
Atos,France,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,exit from Russia
Atria,Finland,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,exit business in Russia
Autogrill,Italy,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Avantor,United States,Health Care,A,,other,no,2023-08-23,2023-08-23,no,"Discontinued all sales into Russia, direct and indirect"
Avaya,United States,Information Technology,A,C,other,yes,2023-08-23,2023-08-23,no,Left Russia
Avery Dennison,United States,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
Avid,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,"cease all sales and support to all customers, users and resellers in Russia &amp; Belarus"
Aviva,United Kingdom,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,Exited all equity and debt positions
BASF SE,Germany,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down Russian operations
BBDO,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
BSI,United Kingdom,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Badoo,United Kingdom,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Baker Botts,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down Moscow office
Baker Hughes,United States,Energy,A,B,other,yes,2023-08-23,2022-12-24,no,no longer provide engineering services to Russian LNG developers
Baker McKenzie,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,cease operations in Russia and transfer them to an independent entity
Baker Tilly,United Kingdom,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,gradual wind down of operations in Russia
Bakoma,Poland,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw from Russia completely prior to aggression
Ball Corporation,United States,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,Fully exited Russia
BaseTrack,Estonia,Information Technology,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Beam Suntory,Japan,Consumer Staples,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bellona,Norway,NGO,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bentley Systems,United States,Information Technology,A,B,other,yes,2023-08-23,2022-12-24,no,Ended operations in Russia
Bestseller,Denmark,Consumer Discretionary,A,A,suspended,yes,2022-12-24,2022-12-24,yes,stop all sales to Russia through distributors
Bet356,United Kingdom,Consumer Discretionary,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
BioMar,Danish,Industrials,A,,other,no,2023-08-23,2023-08-23,no,No longer doing business in Russia
BlackRock,United States,Financials,A,A,other,yes,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
Blockchain.com,Luxembourg,Information Technology,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Bolt,Estonia,Information Technology,A,D,other,yes,2023-08-23,2023-08-23,no,Liquidating remaining entity
Bonava,Sweden,Real Estate,A,A,sold,yes,2022-12-24,2022-12-24,yes,close operations in Russia
Booking,United States,Consumer Discretionary,A,B,suspended,yes,2023-08-23,2022-12-24,no,Suspended operations in Russia
Boreo,Finland,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bose,United States,Information Technology,A,A,suspended,yes,2022-12-24,2022-12-24,yes,stop all product shipments
Boskalis,Netherlands,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian  Arctic LNG 2 project
Breitling SA,Switzerland,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bristol-Myers Squibb,United States,Health Care,A,D,sold,yes,2023-08-23,2023-08-23,no,transfer business and exit completely
British American Tobacco,United Kingdom,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
British Petroleum (BP),United Kingdom,Energy,A,,sold,no,2023-08-23,2023-08-23,no,Will divest from 20% Rosneft stake
British Standards Institution (BSI),United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate all contractual relations &amp; discontinue services in Russia
Broadridge Financial Solutions,United States,Financials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bruker,United States,Industrials,A,,suspended,no,2023-09-22,2023-09-22,no,Ceased operations in Russia
Brunel,Netherlands,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bryan Cave,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations; local partners and counsel form new firms
Bumble,United States,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,remove apps from app stores
Bunge,United States,Consumer Staples,A,C,sold,yes,2023-08-23,2023-08-23,no,Sold Russian Business
CBC,Canada,Communication Services,A,,other,no,2023-08-23,2023-08-23,no,Cease all reporting from Russia and all presence
CCC,Poland,Consumer Discretionary,A,B,sold,yes,2023-08-23,2022-12-24,no,Left Russia. Sold Subsidary
CD Projekt,Poland,Communication Services,A,B,other,yes,2023-08-23,2022-12-24,no,Halts all sales of products in Russia &amp; Belarus
CERN,Switzerland,NGO,A,B,other,yes,2023-08-23,2022-12-24,no,Will end cooperation with Russia in 2024
CFA Institute,United States,NGO,A,,other,no,2023-08-23,2023-08-23,no,Cease all business in Russia
CMA CGM,France,Industrials,A,B,other,yes,2023-08-23,2022-12-24,no,Completes Russia Exit
CMS,Germany,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,transfer Russian practice to local partners and counsel
CRH,Ireland,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdrawal from Russia
Cadence,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate operations in Russia
Calrec,United Kingdom,Consumer Discretionary,A,,other,no,2023-08-23,2023-08-23,no,Cease all commercial activity with Russia
Canara,India,Financials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Canva,Australia,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw from Russia
Cargotec,Finland,Industrials,A,B,other,yes,2023-08-23,2022-12-24,no,Ramped Down Business
Carlsberg,Denmark,Consumer Staples,A,A,seized,yes,2022-12-24,2022-12-24,yes,Finalises Russian asset sale to local buyer
Carnival,United States,Consumer Discretionary,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue Russia itineraries
Caverion,Finland,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Centrica,United Kingdom,Utilities,A,A,other,yes,2022-12-24,2022-12-24,yes,exit gas supply partnership with Gazprom
Chanel,France,Consumer Discretionary,A,B,suspended,yes,2023-08-23,2022-12-24,no,Stopped selling in Russia and to those with intent to sell in Russia
Chapman Freeborn,United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,Cease business operation in Russia
Charles Schwab,United States,Financials,A,,other,no,2023-08-23,2023-08-23,no,Limit access to Russian capital markets
Ciech,Poland,Materials,A,A,suspended,yes,2022-12-24,2022-12-24,yes,suspended Russian exports
Cisco,United States,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,orderly wind down Russian operations
Citi,United States,Financials,A,B,other,yes,2024-02-25,2022-12-24,no,Ending all its institutional banking services and ATMs in Russia
Clarivate,United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
Cleaves,Norway,Financials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Clifford Chance,United Kingdom,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down operations in Moscow; local partners and counsels form own firm
Colliers,Canada,Real Estate,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue business in Russia
Columbus,Denmark,Information Technology,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Comarch,Poland,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,halts orders from Russia &amp; Belarus
Commvault,United States,Information Technology,A,,sold,no,2023-08-23,2023-08-23,no,fully wind down Russian business
Compass Group,United Kingdom,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,permanently exit Russian market
Compass Mining,United States,Financials,A,,other,no,2023-08-23,2023-08-23,no,Terminate all Russian partnerships and business
Coop,Switzerland,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,fully divest Russian operations Transgourmet via management buyout
Corteva,United States,Consumer Staples,A,,other,no,2023-08-23,2023-08-23,no,Stoped production and business activities in Russia
Coty,United States,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down Russian business
Covestro,Germany,Materials,A,A,suspended,yes,2022-12-24,2022-12-24,yes,Ceased Business Activity in Russia
Cummins,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
Currency.com,United Kingdom,Financials,A,A,other,yes,2022-12-24,2022-12-24,yes,halting operations for residents of Russian
Cushman &amp; Wakefield,United States,Real Estate,A,,other,no,2023-08-23,2023-08-23,no,close office in Russia; transfer to local partner
Cyfrowy Polsat,Poland,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,removing Russian TV channels from the offer
DDB,United States,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
DLA Piper,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdrawing from Russia
DMG Mori,Japan,Industrials,A,B,sold,yes,2023-08-23,2022-12-24,no,Withdrew business in Russia
DP Eurasia,Netherlands,Consumer Staples,A,,other,no,2023-09-22,2023-09-22,no,Closure of Russian Business
DPD,Germany,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdrawal from the Russian market
DWS,Germany,Financials,A,,other,no,2023-08-23,2023-08-23,no,End Russian products
DXC Technology,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,leaving Russia completely
Daikin,Japan,Industrials,A,,other,no,2023-08-23,2023-08-23,no,End all Russian business
Danfoss,Denmark,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia completely
Dechert,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,close Russian office
Deezer,France,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue services in Russia
Deichmann,Germany,Consumer Discretionary,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw from Russia
Dell,United States,Information Technology,A,B,suspended,yes,2023-08-23,2022-12-24,no,Ceased all operations
Deloitte,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,leaving Russia completely; local office launched own firm
Delta Air Lines,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw codeshare services with Aeroflot
Dentsu International,United Kingdom,Communication Services,A,A,sold,yes,2022-12-24,2022-12-24,yes,divest joint venture/leave Russia
Deugro,Germany,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Deutsche Bank,Germany,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down business in Russia
Deutsche Telekom,Germany,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,close Russian business
Digicert,United States,Information Technology,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Dino Polska,Poland,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,removed Russian products
Docker,United States,Information Technology,A,,other,no,2023-08-23,2023-08-23,no,End all business in Russia
Domino's Pizza,United States,Consumer Discretionary,A,D,other,yes,2023-08-23,2023-08-23,no,Closure of Russian Business
Donaldson Company,United States,Industrials,A,C,other,yes,2023-08-23,2023-08-23,no,Terminated Operations
Dr. Oetker,Germany,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,stops sales and production in Russia; transferred ownership of production facilities
Draftkings,United States,Consumer Discretionary,A,,other,no,2023-08-23,2023-08-23,no,Limit business access in Russia
Duisburger Hafen,Germany,Industrials,A,,other,no,2023-08-23,2023-08-23,no,End all shipments with Russia and Belarus
ELA Container,Germany,Industrials,A,F,sold,yes,2023-08-23,2023-08-23,no,Sold Russian subsidary. Exiting market
ELKO Group,Latvia,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,leave Russia
ENEOS,Japan,Energy,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue purchases of Russian crude
EPAM,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue servicing Russian customers
EY,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,leaving Russia completely
EarthDaily Analytics,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate operations in Russia
Eastnine,Sweden,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Edeka,Germany,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,remove Russian food from store shelves
Ejot,Germany,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Electronic Arts,United States,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,make new game purchases unavailable in Russia
Elisa Esports,Finland,NGO,A,A,other,yes,2022-12-24,2022-12-24,yes,ban Russian teams from participating in tournaments
Elopak,Norway,Materials,A,B,sold,yes,2023-08-23,2022-12-24,no,Fully exit Russia after selling its operations
Emerson Electric,United States,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian business
Endeavour Group,Australia,Consumer Staples,A,,suspended,no,2023-08-23,2023-08-23,no,Stop transacting with all Russian products
Enel,Italy,Utilities,A,A,sold,yes,2022-12-24,2022-12-24,yes,divest from the entire Russian stakes
EnerSys,United States,Industrials,A,,other,no,2023-08-23,2023-08-23,no,End Russian operations
Energizer,United States,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Eni,Italy,Energy,A,C,sold,yes,2023-08-23,2023-08-23,no,suspend stipulation of new oil contracts; divest from investments for rubles
Equinor,Norway,Energy,A,A,other,yes,2022-12-24,2022-12-24,yes,exit joint ventures in Russia
Espersen,Denmark,Consumer Staples,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Essity,,,A,,sold,no,2023-08-23,2023-08-23,no,Divested its operations in Russia
Etsy,United States,Consumer Discretionary,A,A,other,yes,2022-12-24,2022-12-24,yes,deactivate all listings from Russian sellers
Euroins,Bulgaria,Financials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Euronet Worldwide,United States,Financials,A,,other,no,2023-09-22,2023-09-22,no,Closed locations in Russia
Eurovision,United Kingdom,NGO,A,A,other,yes,2022-12-24,2022-12-24,yes,ban on all Russian competition
Eversheds Sutherland,United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,close Russia office; transfer Russia practice to local partners and counsels
Evonik,Germany,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw from Russia
Expedia,United States,Consumer Discretionary,A,A,suspended,yes,2022-12-24,2022-12-24,yes,Suspend bookings in Russia
Exxonmobil,United States,Energy,A,,other,no,2023-08-23,2023-08-23,no,exit Rosneft partnership
FICO,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,exiting all work in Russia
FL Smidth,Denmark,Industrials,A,D,other,yes,2023-08-23,2023-08-23,no,No longer any activities in Russia
FMC Corporation,United States,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue all business and operations
Fantasy Premier League,United Kingdom,Consumer Discretionary,A,,suspended,no,2023-08-23,2023-08-23,no,Suspend all users from Russia
Faurecia | Forvia,France,Consumer Discretionary,A,,other,no,2023-08-23,2023-08-23,no,Faurecia has decided to disengage from Russia and completed depreciation of related assets
Fazer,Finland,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia
Fennovoima,Finland,Energy,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate Russian nuclear power plant project
Fiskars,Finland,Consumer Discretionary,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw completely from the Russian market
Five9,United States,Information Technology,A,,other,no,2023-08-23,2023-08-23,no,Fully close all Russian operations
Flowserve,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia completely
Fonterra,New Zealand,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,exit its businesses in Russia
Ford,United States,Consumer Discretionary,A,A,sold,yes,2022-12-24,2022-12-24,yes,Sold Joint Venture
Formula One,United Kingdom,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate contract with the Russian Grand Prix promoter
Fortum,Finland,Utilities,A,A,seized,yes,2022-12-24,2022-12-24,yes,exit Russian market
Freedom Holding,Kazakhstan,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,Sold Russian subsidiaries
Freshfields,United Kingdom,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,closing business in Russia
Fugro,Netherlands,Industrials,A,B,suspended,yes,2023-08-23,2022-12-24,no,suspend all projects in Russia
Fujifilm,Japan,Information Technology,A,D,suspended,yes,2023-08-23,2023-08-23,no,Suspended some shipments
G2A,Netherlands,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,block marketplace for Russian users
GC Rieber,Norway,Industrials,A,,other,no,2023-08-23,2023-08-23,no,Fully end all Russian business
GM,United States,Consumer Discretionary,A,B,suspended,yes,2023-08-23,2022-12-24,no,suspend all shipments to Russia
GXO Logistics,United States,Industrials,A,D,other,yes,2024-02-25,2024-02-25,no,Ended business
Galp,Portugal,Energy,A,B,suspended,yes,2023-08-23,2022-12-24,no,suspend Russian oil-product purchases; eliminate Russian exposure
Game Insight,Lithuania,Consumer Discretionary,A,,other,no,2023-08-23,2023-08-23,no,Fully liquidate Russian operations
Gameloft,France,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,make company's games unavailable in Russia
Garmin,United States,Consumer Discretionary,A,C,suspended,yes,2023-08-23,2023-08-23,no,stop all future trade with Russia
Gaz-System,Poland,Utilities,A,A,suspended,yes,2022-12-24,2022-12-24,yes,stopped gas imports
Geberit,Switzerland,Industrials,A,B,other,yes,2023-08-23,2022-12-24,no,discontinue all operations in Russia
Georg Fischer,Switzerland,Industrials,A,C,other,yes,2025-05-21,2025-05-21,no,Ended its trading operations in Russia and closed office in Moscow
Gerry Weber,Germany,Consumer Discretionary,A,,sold,no,2024-01-10,2024-01-10,no,Sold Russian Business
Gett,Israel,Industrials,A,,other,no,2023-08-23,2023-08-23,no,Fully terminate all Russian business
Global Fashion Group,Luxembourg,Consumer Discretionary,A,F,sold,yes,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Global Foundries,United States,Information Technology,A,A,suspended,yes,2022-12-24,2022-12-24,yes,suspend all shipments to Russia
GoDaddy,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue all Russian services
Goodvalley,Denmark,Consumer Staples,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Gowling,Canada,Industrials,A,A,suspended,yes,2022-12-24,2022-12-24,yes,Stopped business in Russia
Grant Thornton,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,closing business in Russia
Grid Dynamics,United States,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,close offices in Russia &amp; cease all operations
Grundfos,Denmark,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,Closes business in Russia and Belarus
H&amp;M,Sweden,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Winding down business entirely
HP Enterprise (Independent from HP Inc.),United States,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia &amp; Belarus
HP Inc.,United States,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,shut down business in Russia
Halewood,United Kingdom,Consumer Staples,A,,other,no,2023-08-23,2023-08-23,no,Fully pull out of Russia
Halliburton,United States,Energy,A,A,other,yes,2022-12-24,2022-12-24,yes,No longer conducts operations in Russia
Halyk Bank,Kazakhstan,Financials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Hampidjan,Iceland,Industrials,A,F,sold,yes,2023-08-23,2023-08-23,no,full withdrawal
Haniel,Germany,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,unwind all Russian business
Hansgrohe,Germany,Consumer Discretionary,A,,other,no,2023-08-23,2023-08-23,no,cease all activities with Russia
Hard Rock Café,United States,Consumer Staples,A,D,other,yes,2023-08-23,2023-08-23,no,fully close all stores in Russia
Harvia,Finland,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Hays plc,United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,close Russian business
Hearst Communications,United States,Communication Services,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate the licensing agreements &amp; turn over its equity to Russian subsidiary
Heidrick &amp; Struggles,United States,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,ceased all operations in Russia
Heineken,Netherlands,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,Sold all operations in Russia
Heinzmann,Germany,Industrials,A,,other,no,2023-08-23,2023-08-23,no,End all Russian deliveries
Hempel,Denmark,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia
Henkel,Germany,Consumer Staples,A,A,other,yes,2022-12-24,2022-12-24,yes,exit business activities in Russia
Herbert Smith Freehills,Australia,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,Ended operations in Russia; local partners and counsels open independent firm
Hertz,United States,Consumer Discretionary,A,A,sold,yes,2022-12-24,2022-12-24,yes,completely withdrawn from Russia
Hesburger,Finland,Consumer Discretionary,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdraw from Russia
Hogan Lovells,United Kingdom,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian operations
Holcim,Switzerland,Materials,A,A,other,yes,2022-12-24,2022-12-24,yes,exit Russian market completely
Home Credit,Czech Republic,Financials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Honeywell,United States,Industrials,A,B,sold,yes,2023-08-23,2022-12-24,no,Wind down all business
Hortex,Poland,Consumer Staples,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Houthoff,Netherlands,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,terminate all relationships with Russia
Huhtamaki,Finland,Materials,A,A,sold,yes,2022-12-24,2022-12-24,yes,divest Russian operations
Hypertherm Associates,Netherlands,Industrials,A,,other,no,2023-08-23,2023-08-23,no,Fully close all Russian offices
Hyve,United Kingdom,Consumer Discretionary,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
IBM,United States,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down business in Russia
ID Logistics,France,Industrials,A,D,other,yes,2025-05-21,2025-05-21,no,Ended all activity in Russia
IDEXX Labs,United States,Health Care,A,A,sold,yes,2022-12-24,2022-12-24,yes,wind down operations &amp; liquidate subsidiary
