name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
Freelancer,Australia,Information Technology,D,D,other,yes,,,no,Still operating in Russia; sanctioned payment methods disabled
Freudenberg Group,Germany,Industrials,D,D,other,yes,,,no,cease trading operations with Russia &amp; Belarus; running plants in Russia
GROUPE LIMAGRAIN/JACQUET-BROSSARD,France,Industrials,D,D,other,yes,,,no,continues flows to Russian and Ukrainian producers but suspends its project to build a seed factory in Russia
Gedeon Richter,Hungary,Health Care,D,F,other,yes,,,no,still operating in Russia
Geox,Italy,Consumer Discretionary,D,D,suspended,yes,,,no,suspend new investments
Gilead Sciences,United States,Health Care,D,,suspended,no,,,no,Stopped some business operations
Giorgio Armani,Italy,Consumer Discretionary,D,D,suspended,yes,,,no,Suspended investments
GlaxoSmithKline,United Kingdom,Health Care,D,D,suspended,yes,,,no,stopped advertising/new clinical trials in Russia
Greif,United States,Materials,D,D,other,yes,,,no,Canceled future investments in Russia
Grohe,Germany,Consumer Discretionary,D,A,suspended,yes,2022-12-24,2022-12-24,yes,Suspended Shipments
Groupe Seb,France,Consumer Discretionary,D,D,suspended,yes,,,no,"suspend new investments and ""sharply"" reduce activities in Russia"
Gruma,Mexico,Consumer Staples,D,D,suspended,yes,,,no,halt new investments in Russia
HERZ,Austria,Consumer Discretionary,D,D,other,yes,,,no,no new business in Russia
HSBC,United Kingdom,Financials,D,D,other,yes,,,no,curtail Russian access to capital markets and limit new business
HeidelbergCement,Germany,Materials,D,D,suspended,yes,,,no,suspend all further investments
Hellenic Bank,Cyprus,Financials,D,D,other,yes,,,no,maintain rep offices in Russia; observe all banking sanctions
Hellenic Petroleum,Greece,Energy,D,D,other,yes,,,no,seeks new oil supplier to replace Russian oil
HiPP,Switzerland,Consumer Staples,D,D,suspended,yes,,,no,suspend investments in Russia but continue substantive operations
Hilton,United States,Consumer Discretionary,D,D,suspended,yes,,,no,suspend new investments/close corporate office
Hochland,Germany,Consumer Staples,D,D,suspended,yes,,,no,suspend investments but continues sales and plant operations in Russia
Huawei,China,Information Technology,D,D,suspended,yes,,,no,suspend new orders and furlough some staff
Hyatt,United States,Consumer Discretionary,D,D,suspended,yes,,,no,suspend investments and new developments
IFF,United States,Consumer Discretionary,D,,suspended,no,,,no,Suspended some production and supply of ingredients for products
ING Bank,Netherlands,Financials,D,D,other,yes,,,no,Reached aggreement to sell Russian business. Deal expected to close in Q3 2024
Infosys,India,Information Technology,D,A,other,yes,2022-12-24,2022-12-24,yes,Paying two subcontractors in Moscow
Ingram Micro,United States,Information Technology,D,D,other,yes,,,no,no new business in Russia
Intermedia,United States,Communication Services,D,D,other,yes,,,no,move some employees out of Russia and ambiguous reduction of risk exposure to Russia
International Baccalaureate Organization,Netherlands,NGO,D,F,other,yes,,,no,still offers professional development services to Russian teachers
Intesa Sanpaolo,Italy,Financials,D,D,suspended,yes,,,no,suspend new investments and curtail new financing
Ipsen,France,Health Care,D,,suspended,no,,,no,Suspended some promotional activities and no new client trials in Russia
Itochu,Japan,Consumer Staples,D,F,suspended,yes,,,no,Ceased new projects and reduced investments
J. Neves &amp; Fihos (JNF),Portugal,Industrials,D,,suspended,no,,,no,paused distribution
JDE Peet's,Netherlands,Consumer Staples,D,F,other,yes,,,no,largely still operating in Russia
Japan Tobacco,Japan,Consumer Staples,D,D,suspended,yes,,,no,stopped new investments and marketing activities in Russia
Johnson &amp; Johnson,United States,Health Care,D,,suspended,no,,,no,pause patient enrollment in ongoing trials
KCA Deutag,United Kingdom,Energy,D,D,suspended,yes,,,no,suspend investments
KDDI Corp,Japan,Communication Services,D,D,other,yes,,,no,continue operations with local staff
Kemin,United States,Health Care,D,F,other,yes,,,no,still operating in Russia; declined to commend
Kimberly-Clark,United States,Consumer Staples,D,D,suspended,yes,,,no,suspend new investments in Russia
Knauf,Germany,Materials,D,D,suspended,yes,,,no,still operating across 14 sites in Russia but suspend new investments
Kraft Heinz - JBS,United States,Consumer Staples,D,D,suspended,yes,,,no,stopped new investments and exports/imports from Russia
Kubíček VHS,Czech Republic,Industrials,D,D,suspended,yes,,,no,stop cooperation
Laboratoire Servier,France,Health Care,D,D,other,yes,,,no,suspending new investments but still operating in Russia
Lenovo,Hong Kong,Information Technology,D,D,suspended,yes,,,no,reported to suspend operations in Russia
Loulis Mills,Greece,Consumer Staples,D,D,other,yes,,,no,search for alternative suppliers
Maire Tecnimonet,Italy,Industrials,D,D,suspended,yes,,,no,suspended commercial activities; managing existing backlog
Manitowoc,United States,Industrials,D,D,suspended,yes,,,no,"stopped taking new orders, still maintaining office in Russia"
Marel,Iceland,Consumer Staples,D,D,suspended,yes,,,no,paused new projects
Mars,United States,Consumer Staples,D,C,other,yes,,,no,Factories and sales operating in Russia
