yale_name,seller_name_bloomberg,match_score,target_name,acquirer_name,announce_date,deal_value_mn_usd,deal_type,deal_status,payment_type,tv_ebitda
Mondi,Mondi PLC,100,Mondi Syktyvkar OAO,Augment Investments Ltd,2022/8/12,1545.65,M&A,Terminated,Cash,
YKK Group,Raven Property Group Ltd,87.5,2M sq mtr warehouse/Moscow,Potential Buyer,2025/10/29,1133.33,M&A,Proposed,Cash,
Mondi,Mondi PLC,100,Syktyvkarsky Forestry Enterprise JSC,Sezar Group OOO,2023/9/21,834.4,M&A,Completed,Cash,
Henkel,Henkel AG & Co KGaA,100.0,Russian business activities/Henkel AG & Co KGaA,Private Investor,2023/5/4,690.66,M&A,Completed,Cash,
Enel,Enel SpA,100,EL5-ENERO PJSC,"LUKOIL PJSC,Gazprombank JSC",2022/6/16,609.28,M&A,Completed,Cash,6.63
Ball Corporation,Ball Corp,100,Beverage packaging unit/Russia,DKK Zao,2022/9/22,530.0,M&A,Completed,Cash,
Nokia,Nokian Renkaat Oyj,100.0,Russian plant/Nokian Renkaat Oyj,Tatneft PJSC,2022/8/29,400.6,M&A,Completed,Cash,
Sylvamo,Sylvamo Corp,100,Russian operations/Sylvamo,Pulp Invest LLC,2022/10/6,390.0,M&A,Completed,Cash,
Kinross Gold,Kinross Gold Corp,100,"Kupol mine/Russia,Udinsk project/Russia",Highland Gold Mining Ltd,2022/4/5,340.0,M&A,Completed,Cash,
Carlsberg,Carlsberg AS,100.0,Russian business/Carlsberg AS,Private Investor,2024/12/3,320.62,M&A,Withdrawn,Cash,
Arconic,Arconic Corp,100,Operations facility/Russia,VSMPO-AVISMA Corp PJSC,2022/5/19,230.0,M&A,Completed,Cash,
MAN,LVL1 Management Ltd,100.0,Selectel Co Ltd,Catalytic People IPJSC,2025/12/29,204.0,INV,Completed,Cash,16.38
Danone,Danone SA,100,Russian operations/Danone,Potential Buyer,2024/2/21,191.69,M&A,Withdrawn,Cash,
Eastnine,Eastnine AB,100,Melon Fashion Group OAO,GEM Invest LLC,2023/8/7,163.49,INV,Completed,Cash,
Huhtamaki,Huhtamaki Oyj,100,4 manufacturing units,Espetina Ltd,2022/4/14,163.32,M&A,Completed,Cash,
Ford,Fortiana Holdings Ltd,85.71428571428572,Chulbatkan gold deposit/Khabarovsk,Polyus PJSC,2022/6/17,140.0,M&A,Pending,Cash,
Volkswagen,Volkswagen AG,100,Volkswagen plant/Kaluga,Avilon AG ZAO,2023/3/1,131.8,M&A,Completed,Cash,
White &amp; Case,ND White Ltd,76.92307692307692,Balttransservis OOO /St.Peterburg,Globaltrans Investment PLC,2022/2/22,114.39,M&A,Pending,Cash,
Essity,Essity AB,100,Russian Operations/Essity AB,NEW Technologies LLC,2023/6/10,110.88,M&A,Completed,Cash,
AmRest,AmRest Holdings SE,100.0,KFC Russia Restaurant Business'/AMREST HOLDINGS,Almira OOO,2022/12/6,104.82,M&A,Completed,Cash,
Hyve,Hyve Group PLC,100.0,Russian Business / Hyve Group plc,Rise Expo ltd,2022/4/6,94.15,M&A,Withdrawn,Cash,
Alstom,Alstom SA,100,Transmashholding ZAO,Unnamed Buyer,2023/11/17,81.68,INV,Completed,Cash,
Inchcape,Inchcape PLC,100,Russian business operations/Inchcape,Management Group,2022/4/28,79.9,M&A,Pending,Cash,
CNH Industrial,CNH Industrial NV,100,Business activities/Russia,Unnamed Buyer,2022/3/31,60.0,M&A,Completed,Cash,
Mondi,Mondi PLC,100,3 Russian packaging converting operations/MONDI PLC,GOTEC Gorschlueter GmbH,2022/12/15,24.77,M&A,Completed,Cash,
Magna,Magna International Inc,100.0,Russian assets/Magna International Inc,Unnamed Buyer,2023/8/11,15.0,M&A,Completed,Cash,
ESET,BEVEST ASA,85.71428571428572,Office building/KMC Properties ASA,Unnamed Buyer,2022/11/29,9.93,M&A,Completed,Cash,
Wienerberger,Wienerberger AG,100,Russian operations/Wienerberger AG,Private Investor,2024/2/21,9.73,M&A,Completed,Cash,
Aspo,Aspo Oyj,100,Telko OOO,TD Khimik AO,2022/10/17,9.35,M&A,Completed,Undisclosed,
Starbucks,Starbucks Corp,100,Coffee store/Russia,Private Investor,2023/6/15,5.99,M&A,Completed,Cash,
SRV,SRV Group Oyj,100.0,SRV Development LLC,Geomare Investments Ltd,2023/8/2,4.4,INV,Completed,Cash,
Petro,PetroNeft Resources PLC,100.0,Lineynoe OOO,Private Investor,2023/6/14,2.5,M&A,Withdrawn,Cash,
Raisio,Raisio Oyj,100,Nordik Niyutrishyen OOO,Kopeker Agro OOO,2022/4/29,1.58,M&A,Completed,Cash,
Heineken,Heineken NV,100,Certain assets/Heineken NV,DKK Zao,2023/8/25,,M&A,Completed,Cash,
Renault,Renault SA,100,Avtovaz PJSC,Unnamed Buyer,2022/4/27,,M&A,Completed,Cash,
Home Credit,UniCredit SpA,80.0,AO Bank Onego,Potential Buyer,2026/5/7,,INV,Proposed,Cash,
Enel,Gentlia Ltd,75.0,Pavlik AO,Aurum Trade JSC,2026/4/27,,M&A,Completed,Stock,
APG,Aggreko PLC,80.0,Eurasian business,Potential Buyer,2022/3/2,,M&A,Withdrawn,Cash,
Intel,Intesa Sanpaolo SpA,88.88888888888889,Russian Operations/Intesa Sanpaolo SpA,Potential Buyer,2022/3/3,,M&A,Withdrawn,Cash,
NCR,TJX Cos Inc/The,80.0,Maxima Group LLC/Russia,Unnamed Buyer,2022/3/3,,INV,Completed,Undisclosed,
ARM,Carmignac Gestion SA,100.0,Russian assets/Carmignac Gestion SA,Potential Buyer,2022/3/7,,M&A,Withdrawn,Cash,
Maersk,AP Moller - Maersk A/S,100.0,Globaltrans Investment PLC,Potential Buyer,2022/3/11,,INV,Withdrawn,Undisclosed,
Kinross Gold,Kinross Gold Corp,100,Russia Assets/Kinross Gold Corp,Fortiana Holdings Ltd,2022/3/30,,M&A,Withdrawn,Undisclosed,
Teknos,Teknos Group Oy,100.0,Talatu OOO,Unnamed Buyer,2022/3/31,,M&A,Completed,Undisclosed,
Caverion,Caverion Oyj,100,Elmek AO,Aim Cosmetics Rus Ltd,2022/1/12,,M&A,Pending,Undisclosed,
Repsol,Repsol SA,100,Portfolio of 2 russian asset/Repsol SA,Gazprom Neft PJSC,2022/1/12,,INV,Pending,Cash,
Lanxess,Talanx AG,80.0,Russian life insurance unit,SovCo Capital Partners BV,2022/1/12,,M&A,Pending,Cash,
Atria,Grupo Empresarial Fuertes SL,80.0,Tambov Turkey LLC,Cherkizovo Group PJSC,2022/1/20,,M&A,Completed,Stock,
Fortum,Fortum Oyj,100,Russia Assets/Fortum Oyj,Potential Buyer,2022/5/12,,M&A,Withdrawn,Cash,
EPAM,EPAM Systems Inc,100.0,Russian Assets/EPAM System Inc,Unnamed Buyer,2022/5/12,,M&A,Pending,Cash,
MV Group,Authentic Brands Group Inc,85.71428571428572,100 stores/Russia,FLO Magazacilik Ve Pazarlama AS,2022/5/16,,M&A,Withdrawn,Cash,
Renault,Renault SA,100,Russian assets of Renault,Russian Federation,2022/5/16,,M&A,Completed,Cash,
Sharp Group,PPF Group NV,87.5,"Home Credit & Finance Bank OOO,Banking Assets/Russia",Investor Group,2022/5/17,,M&A,Completed,Undisclosed,
OBI,Exxon Mobil Corp,100.0,Sakhalin-I oil & gas project,Potential Buyer,2022/5/19,,M&A,Withdrawn,Cash,
MAN,Prof-Media Management LLC,100.0,Ivi.Ru OOO,Mobile TeleSystems PJSC,2022/5/20,,M&A,Pending,Cash,
Levi Strauss,Levi Strauss & Co,100.0,Russian Retail shops/ Levi Strauss,Potential Buyer,2022/5/23,,M&A,Withdrawn,Undisclosed,
Zurich Insurance Group,Zurich Insurance Group AG,100,Zurich Russia,Private Investor,2022/5/24,,M&A,Pending,Undisclosed,
Dell,DELFINGEN,85.71428571428572,Delfingen Russian Plant,Unnamed Buyer,2022/5/30,,M&A,Completed,Undisclosed,
Oerlikon,OC Oerlikon Corp AG,100.0,Russia assets/OC Oerlikon,Management Group,2022/6/2,,M&A,Pending,Undisclosed,
Meta,SOK Retail Int Oy,75.0,PRISMA supermarkets & kitchen facility/St Petersburg,X5 Retail Group NV,2022/6/16,,M&A,Pending,Cash,
S Group (Suomen Osuuskauppojen Keskuskunta),Suomen Osuuskauppojen Keskuskunta,100.0,Hotel business/St Petersburg,Private Investor,2022/6/22,,M&A,Pending,Cash,
KONE,Kone Oyj,100,Bussiness in Russia / Kone,S8 Capital AO,2022/6/28,,M&A,Completed,Cash,
Michelin,Cie Generale des Etablissements Michelin SCA,100.0,Russian operation,Management Group,2022/6/28,,M&A,Withdrawn,Cash,
KLP,Attestor Capital LLP,80.0,GTLK European Unit,Potential Buyer,2022/6/28,,M&A,Withdrawn,Undisclosed,
PKO BP,BP PLC,100.0,Rosneft Oil Co PJSC,Unnamed Buyer,2022/2/27,,INV,Pending,Undisclosed,
Ball Corporation,Government Pension Fund Global,85.71428571428572,Russian assets/Government Pension Fund Global,Potential Buyer,2022/2/28,,M&A,Withdrawn,Cash,
Citi,Citigroup Inc,100.0,"Expobank LLC,RESO-Garantia Insurance PJSC",Potential Buyer,2022/7/1,,M&A,Withdrawn,Undisclosed,
Schneider Electric,Schneider Electric SE,100,Russian operations/Schneider Electric SE,Management Group,2022/7/3,,M&A,Pending,Cash,
Energizer,TotalEnergies SE,82.35294117647058,Kharyaga oil field,Unnamed Buyer,2022/7/6,,M&A,Completed,Cash,
LVMH,LVMH Moet Hennessy Louis Vuitton SE,100.0,Sephora Russia,Unnamed Buyer,2022/7/11,,M&A,Pending,Undisclosed,
Danfoss,Danfoss A/S,100,Russian business/Danfoss,Management Group,2022/7/15,,M&A,Pending,Undisclosed,
Energizer,TotalEnergies SE,82.35294117647058,Terneftegas ZAO,Novatek PJSC,2022/7/18,,M&A,Completed,Undisclosed,
TTC Holding,HSBC Holdings PLC,85.71428571428572,Russian unit/HSBC Holdings Plc,Expobank LLC,2022/7/21,,M&A,Pending,Cash,
Otis Worldwide,Otis Worldwide Corp,100,Russia business/Otis Worldwide Corp,S8 Capital AO,2022/7/27,,M&A,Pending,Cash,
Volkswagen,Volkswagen AG,100,Car assembly site/Russia,Asia Auto,2022/7/28,,M&A,Withdrawn,Cash,
Koch Industries,Koch Industries Inc,100,Portfolio of 2 glass plants unit/Russia,Private Investor,2022/7/29,,M&A,Completed,Cash,
Baker Hughes,Baker Hughes Co,100,Oilfield Services Unit/Russia,Management Group,2022/8/1,,M&A,Pending,Undisclosed,
TTC Holding,Kahrs Holding AB,84.21052631578947,Business operation/Russia,Potential Buyer,2022/8/9,,M&A,Withdrawn,Cash,
Mercedes-Benz,Mercedes-Benz Group AG,100.0,Car assembly plany/Moscow,Potential Buyer,2022/8/26,,M&A,Withdrawn,Cash,
Maersk,AP Moller - Maersk A/S,100.0,Global Ports Investments PLC,Delo Group,2022/8/29,,M&A,Completed,Undisclosed,
Halliburton,Halliburton Co,100,NPP Burservis AO,Management Group,2022/9/8,,M&A,Completed,Undisclosed,
International Boxing Federation,Traton SE,83.33333333333334,Russian Auto Dealership Business/MAN Truck & Bus SE,Unnamed Buyer,2022/9/13,,M&A,Pending,Cash,
Bunge,Bunge Global SA,100.0,Russia Oilseed Processing Plant and Business/Bunge Ltd,Private Investor,2022/9/19,,M&A,Completed,Cash,
EY,Morgan Stanley (Fund: Morgan Stanley Real Estate Fund VII Global LP),100.0,Metropolis shopping center,Capital Partners LLC,2022/9/20,,M&A,Withdrawn,Undisclosed,
Emerson Electric,Emerson Electric Co,100,"Emerson LLC,PG Metran AO",Management Group,2022/9/27,,M&A,Completed,Undisclosed,
Harvia,Harvia Oyj,100,Premiyum-SPA-Tekhnologii OOO,Private Investor,2022/11/7,,M&A,Pending,Undisclosed,
Meta,Orsu Metals Corp,100.0,Sergeevskoe gold project/Russia,Unnamed Buyer,2022/11/14,,M&A,Completed,Cash,
Holcim,Holcim AG,100,Business/Russia,Unnamed Buyer,2022/12/14,,M&A,Pending,Cash,
Ericsson,Telefonaktiebolaget LM Ericsson,100.0,Local customer support business/Russia,Unnamed Buyer,2022/12/15,,M&A,Pending,Cash,
TTC Holding,Vitol Holding BV,84.21052631578947,Vostok Oil OOO,Fossil Group Inc,2022/12/30,,M&A,Completed,Undisclosed,
Ford,GB Foods Europa SL/The,75.0,Russia business/GB Foods Europa,Samyoung System Co Ltd,2022/10/5,,M&A,Completed,Cash,
Volvo Cars,Volvo AB,100.0,Welding & painting operations/Russia,Private Investor,2022/10/19,,M&A,Completed,Cash,
DWS,Yum! Brands Inc,80.0,Portfolio of KFC Restaurants,Management Group,2022/10/24,,M&A,Completed,Cash,
Atria,Industria de Diseno Textil SA,80.0,Portfolio of Zara Stores/ Russia,Azadea Sal,2022/10/25,,M&A,Pending,Undisclosed,
Kiilto,Kiilto Family Oy,100.0,"Kesto AO,Kesto Family OOO,OOO Kiilto-Klei Ramenskoye",Bergauf Stroitelnye Technologies OOO,2022/10/26,,M&A,Completed,Undisclosed,
Metsa,Highworld Investments Ltd/Cyprus,80.0,HeadHunter Group PLC,Kismet Capital Group,2023/1/11,,INV,Completed,Undisclosed,
Carlsberg,Carlsberg AS,100.0,Russian business/Carlsberg AS,Unnamed Buyer,2023/6/23,,M&A,Pending,Cash,
MAN,Marathon Oil Corp,80.0,Demetra-Holding OOO,Unnamed Buyer,2023/8/11,,INV,Completed,Undisclosed,
Valeo,Valeo SE,100,Powertrain Systems business/Russia,NPK Avtopribor OOO,2023/8/18,,M&A,Pending,Undisclosed,
Australia Post,La Poste SA,87.5,Russian DPD business/Geopost SA,Potential Buyer,2023/9/6,,M&A,Withdrawn,Cash,
British American Tobacco,British American Tobacco PLC,100,"Russian businesses/British American Tobacco PLC,Belarusian businesses/British American Tobacco PLC","Management Group,BFI Holding LLC FZ",2023/9/7,,M&A,Pending,Cash,
Intel,Intesa Sanpaolo SpA,88.88888888888889,Bank Intesa AO,Potential Buyer,2023/9/29,,M&A,Withdrawn,Undisclosed,
Volkswagen,Volkswagen AG,100,Manufacturing facility/Russia,Sistema PJSFC,2023/3/7,,M&A,Withdrawn,Undisclosed,
Carlsberg,Carlsberg AS,100.0,8 breweries/Russia,Anadolu Efes Biracilik Ve Malt Sanayii AS,2023/3/15,,M&A,Withdrawn,Undisclosed,
Henkel,Henkel AG & Co KGaA,100.0,11 Henkels Plants/Russia,Private Investor,2023/3/28,,M&A,Pending,Cash,
ARM,Swixx Biopharma SA,100.0,Russian business/Swixx Biopharma SA,Eli Lilly & Co,2023/3/30,,M&A,Pending,Cash,
UL,HASSLACHER DRAULAND Holzindustrie GmbH,100.0,Russian location/Malaya Vishera,Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO,2023/5/4,,M&A,Completed,Cash,
