subsidiary_name,inactive,nace_code,nace_sector,guo_name,guo_country,guo_direct_pct,guo_total_pct,incorp_year,years_in_russia,total_assets_th_usd,total_assets_year,pre_inv_assets_th_usd,pre_inv_equity_th_usd,shareholders_funds_th_usd,revenue_th_usd,employees,costs_employees_th_usd,emp_intensity,ln_assets
JOINT STOCK MANAGEMENT COMPANY CHEMICAL PARK TAGIL,No,7010,70,UCP CHEMICALS AG,AT,100.0,100.0,2001,21,4105.11722302716,2023,2909.06492899545,515.071480797604,619.545668067411,1198.74047818687,32.0,,0.011000098238113286,7.975586978285801
OOO WACHTEL-SERVICE,No,3312,33,MR OLIVER FREY,DE,,,2005,17,1534.55907186866,2023,1095.53305341862,264.615853263997,239.529561010189,1028.26116953138,6.0,,0.00547678591830429,6.998996330573619
DAER RUS,No,7111,71,MR FILIP PITER BOLL,GB,100.0,100.0,2016,6,4178.69426408783,2023,818.062622614205,268.936606552452,671.391893394291,3235.98494120874,14.0,,0.017113604280393022,6.706938889435591
KARCHER HOLDING RUS LIMITED LIABILITY COMPANY,No,6420,64,ALFRED KÄRCHER SE & CO. KG,DE,,,2021,1,2888.78247740678,2023,,,2451.88046892639,1706.91153447144,32.0,,,
LLC PEWAG,No,4619,46,PEWAG AKTIENGESELLSCHAFT,AT,,,2002,20,1422.40397927444,2023,1053.24082029611,61.0693385349587,71.6481384839863,1346.5635438608,6.0,,0.005696702866409174,6.959627185222863
SFOGGIATEK LIMITED LIABILITY,No,4669,46,SFOGGIATECH S.R.L.,IT,100.0,100.0,2012,10,1729.99146703631,2023,2137.87103831396,590.00491866935,623.481521301903,1176.45217615925,6.0,,0.002806530371790771,7.667565770922874
WECKERLE COSMETICS LIMITED LIABILITY COMPANY,No,2042,20,VEFA HOLDING SA,CH,100.0,100.0,2005,17,1394.31781979091,2023,1271.23022685852,-3297.81158234086,-3081.75078315567,467.853647514246,4.0,,0.0031465582830616373,7.147740393148211
UPAKOVKA SERVICE,No,4799,47,MR RUDOLPH GENTILE,IT,,,2016,6,6719.29310181551,2023,6327.60185789131,3906.87627252564,5238.58720593154,2046.0527464645,25.0,,0.003950943905995267,8.75267658994144
SIEMENS MOBILITY LLC,No,4669,46,SIEMENS AG,DE,,,2018,4,114571.907175258,2023,219472.824810575,39850.3479602952,-87045.7203744361,1484.65289884433,8.0,,3.645098206078464e-05,12.298983698869684
NEW TOWN LIMITED LIABILITY COMPANY,No,6820,68,CHARBAY INVESTMENTS LIMITED,CY,100.0,100.0,2010,12,11060.2716260394,2023,7358.4716751799,-727.703691693954,-689.866989172064,0.0,,,,8.90360753733127
GLOBECAST MOSKVA LIMITED LIABILITY COMPANY,No,6110,61,ORANGE,FR,0.0,100.0,2005,17,3461.98988473043,2023,3308.67403686978,2329.18214887101,1278.20457451046,1906.32438177709,3.0,,0.0009067076316886731,8.10430279502156
SFERA,No,8425,84,EVRAZ PLC,GB,,100.0,2014,8,404.77964822948,2023,496.105931316502,317.084066093899,229.974245933816,1267.46738849115,92.0,,0.18544426541295778,6.20678947512447
