name,country,industry,grade,action_type,exiter,clean_exit,exit_mode,event_date,event_month,timing_left_censored,nace_sector,b2c,sanctions_coalition,wgi_rule_of_law,legal_origin,pat_pctile,lab_pctile,pat_pctile_sector,lab_pctile_sector,alpha,alpha_sq,alpha_emp_pctile,alpha_pat_pctile,emp_intensity_raw,patent_count,patent_intensity_raw,y_exit_payoff,deal_value_mn_usd,deal_status,has_deal,pre_inv_equity_th_usd,sum_assets_th_usd,ln_assets,years_in_russia,employees_total,n_subsidiaries,sanctions_exposure,sanction_hit_dates,guo_matched,y_sub_inactive,sub_inactivation_rate,y_grade_a_sold,y_suspended
Baker Tilly,United Kingdom,Financials,A,sold,1,1,sold,2022-12-24,10,yes,68,0,1,1.5,english,0.311037,,0.507692,,,,,,,6,,,,,0,,,,17,,2,0,,FLY GROUP LIMITED,1,1.0000,1,0
Bakoma,Poland,Consumer Staples,A,sold,1,1,sold,2022-12-24,10,yes,46,0,1,0.5,socialist,0.338907,,0.380952,,,,,,,9,0.001733,,,,0,4463.47,5192.87,8.5550,19,,1,0,,KOMPANIYA BEKKER AKROMA GRUP AKTYIEBOLAG,0,0.0000,1,0
Ball Corporation,United States,Materials,A,sold,1,1,sold,2022-09-22,7,yes,28,0,1,1.4,english,0.646600,0.758182,0.444444,0.671875,0.549296,0.301726,0.735876,0.638418,0.007127,836,0.080429,574.1063,530.00,Completed,1,923.17,10394.24,9.2490,11,55,2,0,,BALLU FAMILY,0,0.0000,1,0
BaseTrack,Estonia,Information Technology,A,sold,1,1,sold,2023-08-23,18,no,52,0,1,1.3,socialist,0.014493,0.799091,0.022727,0.757812,0.922535,0.851071,0.783898,0.012712,0.009261,0,0.000000,,,,0,393.19,431.90,6.0682,16,4,1,0,,BASE HOLDING AG,0,0.0000,1,0
Beam Suntory,Japan,Consumer Staples,A,sold,1,1,sold,2023-08-23,18,no,68,0,1,1.5,german,0.251951,0.030000,0.261905,0.025862,0.359155,0.128992,0.033898,0.279661,0.000076,1,0.000076,,,,0,-12051.13,13207.76,9.4886,2,3,2,0,,BEAM HOLDINGS LIMITED,0,0.0000,1,0
Bellona,Norway,NGO,A,sold,1,1,sold,2023-08-23,18,no,46,0,1,2.0,scandinavian,0.345596,0.144545,0.870968,0.233333,0.370110,0.136981,0.152542,0.378531,0.000337,10,0.001123,,,,0,6603.24,8905.68,9.0944,9,3,1,0,,LONZA GROUP AG,0,0.0000,1,0
Bentley Systems,United States,Information Technology,A,other,1,1,walked,2023-08-23,18,no,25,0,1,1.4,english,0.589744,0.460000,0.393939,0.406250,0.406103,0.164920,0.446328,0.607345,0.005046,411,0.059256,,,,0,-940.46,6935.95,8.8445,12,35,1,0,,MMS HOLDING LLC,0,0.0000,0,0
Bestseller,Denmark,Consumer Discretionary,A,suspended,1,1,walked,2022-12-24,10,yes,70,0,1,1.9,scandinavian,0.015608,0.248182,0.010811,0.251163,0.630673,0.397748,0.258475,0.014124,0.001374,0,0.000000,,,,0,593.95,1455.21,7.2829,17,2,1,0,,SHELL PLC,0,0.0000,0,1
BioMar,Danish,Industrials,A,other,1,1,walked,2023-08-23,18,no,73,0,1,1.9,scandinavian,0.580825,0.390909,0.590909,0.415225,0.332551,0.110590,0.381356,0.675141,0.003063,337,0.147444,,,,0,1261.05,2285.61,7.7344,11,7,1,0,,BIOMARIN PHARMACEUTICAL INC,0,0.0000,0,0
BlackRock,United States,Financials,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.4,english,0.569677,0.130909,0.784615,0.148649,0.269171,0.072453,0.141243,0.549435,0.000262,301,0.026269,,,,0,5240.97,11458.42,9.3465,14,3,1,0,,"CROCS, INC.",0,0.0000,0,0
