firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
Pixabay,Germany,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,block Russian access
Playrix,Ireland,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully end operations in Russia
Playtika,Israel,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,end Russian operations
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,stopped gaz imports
Ponsse PLC,Finland,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest Russian operations
Postnord,Norway,Utilities,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,reject all Russian items
Primo Water,United States,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Princess Cruises,United States,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,reject bookings from Russia
Prio,Portugal,Energy,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,ceased purchase of any products from Russian or directly related companies
Publicis Groupe,France,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,cede ownership to local affiliates
Pure Storage,United States,Information Technology,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,fully wind down Russian business
PwC,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leaving Russia completely
Qantas Airlines,Australia,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,No longer flies over Russian territory
R&amp;A,United States,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,ban on all Russian competition
RWS,United Kingdom,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully wind down Russian business
Raisio,United States,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Rational,Germany,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Closed Russian Business
Red Hat,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue sales and services in Russia & terminate partnerships
Reface,Ukraine,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Removed App  and updates of app in Russia
Refinitiv,United Kingdom,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,end Russian access
Regent Seven Seas Cruises,United States,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue Russian itineraries
Rehau,Switzerland,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Renault,France,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production
Repsol,Spain,Energy,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Resbud,Estonia,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Rewe,Germany,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia from shelves
Rimi,Latvia,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia from shelves
Rio Tinto,Australia,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Terminated all commercial relationships with Russia
Rocket Lawyer,United States,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend Russian and Belarusian access to the platform
Roku,United States,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove Kremlin-linked propaganda and ads
Roland Berger,Germany,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end any activity for Russia
Royal London,United Kingdom,Financials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,fully divest Russian assets
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,other,2023-08-23,2023-08-23,no,Terminated licence contract with MBC
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,close all operations
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,curtail Russian access to capital markets
SKF,Sweden,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end sales and production in Russia
SMAY,Poland,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end cooperation with Russia
SRV,Finland,Industrials,unclassified,yes,,,,sold,2025-05-21,2025-05-21,no,Sold its last remaining asset in Russia
Salesforce,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,SALESFORCE INC,,other,2022-12-24,2022-12-24,yes,exit business relationships in Russia
Sarantis Group,Greece,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Permanent withdrawal from Russian market
Savills,United Kingdom,Real Estate,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end partnerships in Russia
Schneider Electric,France,Industrials,unclassified,yes,strict normalized name match to Orbis parent,SCHNEIDER ELECTRIC SE,,other,2022-12-24,2022-12-24,yes,sell Russian assets to local management and exit completely
Senior PLC,United Kingdom,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,cease servicing Russian aircraft
Sidley Austin,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end all Russian relationships
Siemens,Germany,Industrials,unclassified,yes,strict normalized name match to Orbis parent,SIEMENS AG,,other,2022-12-24,2022-12-24,yes,exit Russian market
Slack,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian market completely
Smurfit Kappa,Ireland,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian market
Societe Generale,France,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,cessation of all activities in Russia
Sodexo,France,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ceded control of its operations in Russia
SoftwareOne,Switzerland,Information Technology,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Sonos,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,ceased all sales to this market at the onset of the war and blocked Russian state radio
Spin Master,Canada,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,SPIN MASTER CORP.,,sold,2023-08-23,2023-08-23,no,fully exit Russia
Squire Patton Boggs,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leave Russia
Stanley Black &amp; Decker,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,"STANLEY BLACK & DECKER, INC.",,other,2023-08-23,2023-08-23,no,shut down Russian business
Starbucks,United States,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit and no longer have a brand presence in Russia
State Street,United States,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
Stora Enso,Finland,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest packaging plants
Storebrand,Norway,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest all Russian holdings
Strabag,Austria,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,STRABAG SE,100,sold,2022-12-24,2022-12-24,yes,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska
Strava,United States,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,disable access in Russia
Sulzer,Switzerland,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,SULZER AG,100,other,2022-12-24,2022-12-24,yes,exit Russian market
Svenska Handelsbanken,Sweden,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest from all Russian investments
Sylvamo,United States,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Sold operations in Russia
Systembolaget,Sweden,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove all Russian alcohol from stores
Sæplast,Iceland,Materials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Stopped all operations in Russia
TDZ Turn,Czech Republic,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,fully stopped trade with Russia
TJ Maxx,United States,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest Familia subsidiary
TUI,Germany,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,end brand-sharing agreement; had already exited
Tata Steel,India,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Replaced all Russian raw materials for operations; no presence in Russia
Tchibo,Germany,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,sell Russian subsidiary
TeamViewer,Germany,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia/Belarus
Technip Energies,France,Energy,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,No new business. Signed exit agreement on Arctic LNG 2
Teknos,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,complete withdrawal from Russia
Teleperformance,France,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,TELEPERFORMANCE SE,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Teradata,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,TERADATA CORPORATION,,suspended,2022-12-24,2022-12-24,yes,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.
Terex Corporation,United States,Industrials,unclassified,yes,,,,sold,2025-05-21,2025-05-21,no,fully withdraw from Russia
Tetra Pak,Sweden,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,completely left Russia
Tietoevry,Finland,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,conclude total exit from Russia
Tom Ford,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,We have ceased all marketing and advertising
Topsoe,Denmark,Energy,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully wind down all Russian business
Toyota,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,stop production at its St. Petersburg plant and stop imports of vehicles
Trane Technologies,Ireland,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,suspend all business activities indefinitely & exit Russia
TransferGo,United Kingdom,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all remittances to Russia
Trimble,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,TRIMBLE INC.,,other,2023-08-23,2022-12-24,no,Discontinue business operations in Russia
TripAdvisor,United States,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove Kremlin-linked propaganda and ads
Triumph Motorcycles,United Kingdom,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Discontinued commercial activity in Russia
Tunnock's,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue supplies to Russia
UEFA,Switzerland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban Russian athletes from competing
Uber,United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,divest from partnership with Yandex
Umbro,United Kingdom,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdrawal from the Russian market
Unilever,United Kingdom,Consumer Staples,unclassified,yes,,,,sold,2025-05-21,2025-05-21,no,completed the sale of its Russian subsidiary to Arnest Group. The completion of the sale ends Unilever presence in Russia.
United Airlines,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,no flying over Russian airspace
United Internet Group,Germany,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend all Russian contracts
Universal,United States,Communication Services,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,closing operations in Russia
Uponor,Finland,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Completes Exit
VTG,Germany,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Vaillant Group,Germany,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Terminated business activities in Russia
Valeo,France,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,VALEO,,other,2025-05-21,2025-05-21,no,No longer have any industrial activities
Valio,Finland,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,sell business and Viola brand to Velcom
Valmet,Finland,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit from Russia
Van Oord,Netherlands,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Full withdrawal from Russia
VanEck,United States,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,liquidate Russian ETFs
Vanguard,United States,Financials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend operations in Russia
Velux,Denmark,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,permanently close operations in Russia and Belarus
Veon,Netherlands,Communication Services,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully divested from Russia and sale of its Russian business approved
Vestas,Denmark,Energy,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Fully Withdrawn from Russia
Vianor,Finland,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate contract with Russian subsidiary
Vinmonopolet,Norway,Consumer Staples,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,"stop sales of all Russian wine, spirits and strong beers in Norway"
Visteon,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Ceased business activity in Russia
Vodafone,United Kingdom,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend partner agreement with MTS
Volaris Group,Canada,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue sales and support to Russia
Volfas Engelman,Lithuania,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,suspend investment and withdraw from Russian market
Vorwerk Group,,,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Stopped all product deliveries
WIKA,Germany,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Suspended business in Russia
WPP PLC,United Kingdom,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leave Russia
Waitrose,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia
Walker's Shortbread,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,cancel all future orders to Russia
Wallenius Wilhelmsen,Norway,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,End all operations in Russia
Wargaming,Belarus,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,close operations; transfer of some business
Wartsila,Finland,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Ended Activity
WePlay,United States,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate all Russian operations
Wear Medicine,Poland,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate cooperation with Russian partners
Weir Group,United Kingdom,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down Russian business in 2022
Wex Inc.,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ending relationship with Lukoil and subsidiaries
White &amp; Case,United States,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,wind down Russian operations
Wienerberger,Austria,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Willis Towers Watson,United Kingdom,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Fully exit Russia and transfer ownership to local management
Windstar Cruises,United States,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Cancel all Russian cruises
Winston &amp; Strawn,United States,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Close Russian office
Women's Tennis Association,United States,NGO,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Suspend Russian partnerships
World Athletics Council,United States,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ban on all Russian competition
World Boxing Association,Panama,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ban on all Russian competition
World Boxing Organization,United States,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ban on all Russian competition
World Rowing Federation,United States,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ban on all Russian competition
World Rugby Union,Ireland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,Ban on all Russian competition
YIT,Finland,Industrials,unclassified,yes,strict normalized name match to Orbis parent,YIT OYJ,,other,2022-12-24,2022-12-24,yes,Exits Russia projects
ZET Chemie,Germany,Materials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,still operating in Russia
ZF Friedrichshafen,Germany,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Ended all business in Russia
Zepz,United Kingdom,Financials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Disable all Russian transactions
Zott,Germany,Consumer Staples,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,discontinue business in preparation for liquidation
Zurich Insurance Group,Switzerland,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,sell Russian business to local team and exit market
Zwack,Hungary,Consumer Staples,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Terminated Business in Russia
edX (2U),United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from all Russian partnerships
3M,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
ACCA,United Kingdom,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia and Belarus
ADEO | Leroy Merlin,France,Consumer Discretionary,unclassified,yes,,,,other,,2023-08-23,no,Will transfer control of Leroy Merlin
ADP,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales/services to Russia
AICPA,United States,Industrials,unclassified,yes,,,,sold,,2022-12-24,no,suspend sale and delivery of services indefinitely
AL-KO Vehicle Technology,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend deliveries to Russia and Belarus
AM Best,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all commercial activities to Russian clients
AMD,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales to Russia
ARM,United Kingdom,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments according to sanctions
AXA,France,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,stop underwriting new insurance & stop renewals
AXA Investments Managers,France,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,pause investments & prohibit new subscriptions
Abrdn,United Kingdom,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend investments in Russia and reduce exposure
Acer,Taiwan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend its business in Russia
Acne Studios,Sweden,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,put all Russian activities on hold
Adamed,Poland,Health Care,unclassified,yes,,,,suspended,,2022-12-24,no,halt sales and production in Russia
Air Astana,Kazakhstan,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend flights to Russia
Air France,France,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,halt flight to and from Russia
Air Malta,Malta,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all flights to and from Russia
Airbnb,United States,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,block bookings and block accepting guests in Russia
Akamai,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales in Russia
Akin Gump,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Alaska Airlines,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,temporarily suspend partnership with Russian airline
Alimentation Couche-Tard,Canada,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations
Alstom,France,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Amazon,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Ambarella,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments into Russia
Amdocs,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,AMDOCS LIMITED,,suspended,,2022-12-24,no,stop all new sales of product and services in Russia
Amer Sports,Finland,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,"AMER SPORTS, INC.",,other,,2022-12-24,no,Intention to discontinue business in Russia
American Express,United States,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Amica,Poland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspended Russian exports
Analog Devices,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia according to sanctions
Ansys,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales and business activity
Aon PLC,United Kingdom,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Apple,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,APPLE INC.,,suspended,,2022-12-24,no,suspend all official site sales; turn off select apps and services
Arla,Denmark,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,suspends all operations
Asian Infrastructure Investment Bank,China,Financials,unclassified,yes,,,,other,,2022-12-24,no,curtail Russian access to capital markets
Asos,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Association of International Certified Professional Accountants,United States,Industrials,unclassified,yes,,,,other,,2022-12-24,no,indefinite suspension of services within Russia
Aston Martin,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Asus,Taiwan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Atlassian,Australia,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,Suspended software sales to Russia
Audi,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations at Kaluga assembly plant
Australia Post,Australia,Communication Services,unclassified,yes,,,,suspended,,2023-08-23,no,Suspend all business with Russia
Austrian Airlines,Austria,Industrials,unclassified,yes,,,,other,,2022-12-24,no,Cancel Russian flights until July
Autodesk,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Avast,Czech Republic,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all operations in Russia
Axis Communication,Sweden,Consumer Discretionary,unclassified,yes,,,,suspended,,2023-08-23,no,Suspend all product shipments to Russia
Azerbaijan Airlines,Azerbaijan,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend flights to Russia
B Lab,United States,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian companies from obtaining certifications
BCG,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations; Moscow office ope
BMC,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all business with Russia & Belarus
BMW,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend exports to and production in Russia
BNP Paribas,France,Financials,unclassified,yes,strict normalized name match to Orbis parent,BNP PARIBAS,,suspended,,2022-12-24,no,suspend new business in Russia/curtail financing
BUDVAR Centrum Sp. z.o.o.,Poland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,Suspended Activity
Badminton World Federation,Malaysia,NGO,unclassified,yes,,,,other,,2022-12-24,no,cancel all tournaments
Bain,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend consulting for all Russian businesses
Bang &amp; Olufsen,Denmark,Information Technology,unclassified,yes,,,,suspended,,2023-08-23,no,suspended deliveries and sales to Russia
Bank of China,China,Financials,unclassified,yes,,,,other,,2022-12-24,no,curtail Russian access to capital markets
Bentley,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Big Fish Games,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,suspend downloadable game business in Russia
Bitdefender,Romania,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales to Russia
BlackBerry,Canada,Information Technology,unclassified,yes,,,,other,,2022-12-24,no,cease all activities in Russia
Boeing,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia/titanium purchases
Bombardier,Canada,Industrials,unclassified,yes,,,,other,,2022-12-24,no,restrict Russian business
Boohoo Group,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Boosteroid Cloud Gaming,United Arab Emirates,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend services to Russia
Boryszew,Poland,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspended operations in Russia
Brav,Norway,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales and operations in Russia
Bridgestone Tire,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend manufacturing in Russia and shipments into
Brinks,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
British Airways,United Kingdom,Industrials,unclassified,yes,,,,other,,2022-12-24,no,cancel Russian flights
Brown-Forman,United States,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend commercial operations in Russia
Brunico Communications,Canada,Communication Services,unclassified,yes,,,,other,,2023-08-23,no,Put all business with Russia on hold
Budweiser Budvar,Czech Republic,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,suspends production and supply of beer
Bulgaria Air,Bulgaria,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend flights to Russia
Bulgarian Postbank,Bulgaria,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,stop operations in Russian ruble
Burberry,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Buta Airways,Azerbaijan,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend flights to Russia
CBRE,United States,Real Estate,unclassified,yes,,,,other,,2022-12-24,no,discontinue Russian business
CME Group,United States,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend acceptance of certain Russian commodities
CNH Industrial,United Kingdom,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia
Callaway Golf,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
Canada Goose,Canada,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Canadian Tire,Canada,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,close Russia stores
Canon,Japan,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,CANON INC.,,suspended,,2022-12-24,no,suspend deliveries in Russia
Canonical,United Kingdom,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend support & professional services
