firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
FICO,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exiting all work in Russia
FL Smidth,Denmark,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,No longer any activities in Russia
FMC Corporation,United States,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue all business and operations
Fantasy Premier League,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Suspend all users from Russia
Faurecia | Forvia,France,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Faurecia has decided to disengage from Russia and completed depreciation of related assets
Fazer,Finland,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia
Fennovoima,Finland,Energy,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate Russian nuclear power plant project
Fiskars,Finland,Consumer Discretionary,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw completely from the Russian market
Five9,United States,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully close all Russian operations
Flowserve,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,FLOWSERVE CORP,,sold,2022-12-24,2022-12-24,yes,exit Russia completely
Fonterra,New Zealand,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit its businesses in Russia
Ford,United States,Consumer Discretionary,joint_venture,yes,Yale text explicitly mentions a joint venture,,,sold,2022-12-24,2022-12-24,yes,Sold Joint Venture
Formula One,United Kingdom,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate contract with the Russian Grand Prix promoter
Fortum,Finland,Utilities,unclassified,yes,,,,seized,2022-12-24,2022-12-24,yes,exit Russian market
Freedom Holding,Kazakhstan,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Sold Russian subsidiaries
Freshfields,United Kingdom,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,closing business in Russia
Fugro,Netherlands,Industrials,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend all projects in Russia
Fujifilm,Japan,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Suspended some shipments
G2A,Netherlands,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,block marketplace for Russian users
GC Rieber,Norway,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully end all Russian business
GM,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend all shipments to Russia
GXO Logistics,United States,Industrials,unclassified,yes,,,,other,2024-02-25,2024-02-25,no,Ended business
Galp,Portugal,Energy,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,suspend Russian oil-product purchases; eliminate Russian exposure
Game Insight,Lithuania,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully liquidate Russian operations
Gameloft,France,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,make company's games unavailable in Russia
Garmin,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,stop all future trade with Russia
Gaz-System,Poland,Utilities,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,stopped gas imports
Geberit,Switzerland,Industrials,unclassified,yes,strict normalized name match to Orbis parent,GEBERIT AG,,other,2023-08-23,2022-12-24,no,discontinue all operations in Russia
Georg Fischer,Switzerland,Industrials,unclassified,yes,,,,other,2025-05-21,2025-05-21,no,Ended its trading operations in Russia and closed office in Moscow
Gerry Weber,Germany,Consumer Discretionary,unclassified,yes,,,,sold,2024-01-10,2024-01-10,no,Sold Russian Business
Gett,Israel,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Fully terminate all Russian business
Global Fashion Group,Luxembourg,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Global Foundries,United States,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,suspend all shipments to Russia
