name,country,industry,grade_latest,action_type,first_grade_a_date,first_grade_ab_date,timing_left_censored,guo_matched,match_quality,n_subsidiaries,sum_assets_th_usd,largest_sub_assets,pre_inv_equity_th_usd,employees_total,emp_intensity,years_in_russia,ln_assets,nace_sector
Wargaming,Belarus,Consumer Discretionary,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Wartsila,Finland,Industrials,A,other,2023-08-23,2023-08-23,no,SILLA GROUP LP,88.88888888888889,1,6466.38,6466.38,46.9764142576605,3,0.0004639382747549828,14,8.7744,41
WePlay,United States,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,LAMY SA,85.71428571428572,1,932.41,932.41,600.275120411068,,,3,6.8378,77
Wear Medicine,Poland,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,DIC CORPORATION,100.0,1,7423.62,7423.62,7271.28937284555,41,0.005522912388043414,14,8.9124,24
Weir Group,United Kingdom,Industrials,A,sold,2022-12-24,2022-12-24,yes,THE WEIR GROUP PLC,100.0,1,48939.77,48939.77,8923.51312565338,2,4.0866556843202047e-05,19,10.7983,46
Wex Inc.,United States,Information Technology,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
White &amp; Case,United States,Industrials,A,sold,2023-08-23,2023-08-23,no,CBASE,88.88888888888889,1,4530.42,4530.42,1347.24048797973,13,0.0028694884462199433,15,8.4186,46
Wienerberger,Austria,Industrials,A,sold,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Willis Towers Watson,United Kingdom,Financials,A,sold,2022-12-24,2022-12-24,yes,SONY GROUP CORPORATION,85.71428571428572,1,183.81,183.81,183.813728682697,2,0.01088058010864053,7,5.2139,60
Windstar Cruises,United States,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,SAUR,75.0,1,4117.62,4117.62,796.2165709408,8,0.0019428680027536952,7,8.3230,46
Winston &amp; Strawn,United States,Industrials,A,other,2023-08-23,2023-08-23,no,SOTRA HOLDING AG,80.0,1,,,,,,15,,69
Women's Tennis Association,United States,NGO,A,suspended,2022-12-24,2022-12-24,yes,ICON PLC,85.71428571428572,3,16718.69,13995.07,13352.5948330043,63,0.0017863435935723175,18,9.7243,52
World Athletics Council,United States,NGO,A,other,2022-12-24,2022-12-24,yes,OUN GMBH,100.0,1,10.00,10.00,-4.68418113514781,,,5,2.3027,62
World Boxing Association,Panama,NGO,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
World Boxing Organization,United States,NGO,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
World Rowing Federation,United States,NGO,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
World Rugby Union,Ireland,NGO,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
YIT,Finland,Industrials,A,other,2022-12-24,2022-12-24,yes,YIT OYJ,100,1,28981.54,28981.54,20607.0857631583,,,11,10.2744,41
ZET Chemie,Germany,Materials,A,other,2023-08-23,2023-08-23,no,ZETA HOLDING GMBH,85.71428571428572,1,649.28,649.28,-728.767054652795,93,0.14323469310502682,10,6.4759,71
ZF Friedrichshafen,Germany,Consumer Discretionary,A,other,2023-08-23,2023-08-23,no,FENY HOLDINGS LTD,85.71428571428572,1,219772.22,219772.22,20123.1479345607,1432,0.006515837109036274,12,12.3003,21
Zepz,United Kingdom,Financials,A,other,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Zott,Germany,Consumer Staples,A,other,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Zurich Insurance Group,Switzerland,Financials,A,sold,2022-12-24,2022-12-24,yes,SAUR,75.0,1,4117.62,4117.62,796.2165709408,8,0.0019428680027536952,7,8.3230,46
Zwack,Hungary,Consumer Staples,A,other,2023-08-23,2023-08-23,no,,,0,,,,,,,,
edX (2U),United States,Information Technology,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
3M,United States,Industrials,B,suspended,,2022-12-24,no,,,0,,,,,,,,
ACCA,United Kingdom,Industrials,B,suspended,,2022-12-24,no,PACCAR INC,100.0,1,55629.50,55629.50,16124.1494330438,325,0.005842224348050557,11,10.9265,45
ADEO | Leroy Merlin,France,Consumer Discretionary,B,other,,2023-08-23,no,OLIN CORPORATION,85.71428571428572,1,8088.71,8088.71,6504.36239429004,2,0.0002472583407472659,7,8.9982,46
ADP,United States,Information Technology,B,suspended,,2022-12-24,no,ADP HOLDINGS LIMITED,100,1,9227.63,9227.63,8658.78959006444,60,0.006502207818462474,17,9.1300,46
AICPA,United States,Industrials,B,sold,,2022-12-24,no,,,0,,,,,,,,
AL-KO Vehicle Technology,Germany,Consumer Discretionary,B,suspended,,2022-12-24,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
AM Best,United States,Information Technology,B,suspended,,2022-12-24,no,ESTA GROUP AG,85.71428571428572,1,,,,,,10,,49
AMD,United States,Information Technology,B,suspended,,2022-12-24,no,AMD PRIVATSTIFTUNG,100.0,1,1213.90,1213.90,1122.42671407387,49,0.04036566850115416,5,7.1016,33
ARM,United Kingdom,Information Technology,B,suspended,,2022-12-24,no,OCTAPHARMA NORDIC AB,100.0,2,42482.86,37328.68,36773.5543499058,71,0.0018484445001231535,15,10.6569,21
AXA,France,Financials,B,suspended,,2022-12-24,no,AXA LBO FUND V CORE,100.0,1,2449.41,2449.41,-141.117686841637,2,0.000816523341174763,16,7.8036,71
AXA Investments Managers,France,Financials,B,suspended,,2022-12-24,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Abrdn,United Kingdom,Financials,B,suspended,,2022-12-24,no,,,0,,,,,,,,
