Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,6/10/2020,Floating Platform/Odyssey,Rosatom Corp,Siberia Airlines,N/A,Undisclosed, ,Withdrawn
AST,6/17/2020,SOVEST consumer lending business,Sovcombank PJSC,QIWI plc,N/A,Cash, ,Completed
AST,6/30/2020,Mayak & Prima building/Moscow,Sberbank of Russia PJSC,,N/A,Cash, ,Completed
AST,3/23/2020,Elga Coal Project,A-Properti OOO,Gazprombank JSC,N/A,Cash, ,Pending
AST,3/29/2020,Assets in Venezuela/Rosneft Oil Co PJSC,Unnamed Buyer,Rosneft Oil Co PJSC,N/A,Cash, ,Completed
AST,4/29/2020,22-storey business center,Alrosa PJSC,Areti Group Ltd,N/A,Cash, ,Completed
AST,3/1/2023,Sukhoi Superjet 100,Markab Capital,United Aircraft Corp PJSC,N/A,Cash, ,Pending
AST,3/7/2023,Manufacturing facility/Russia,Sistema PJSFC,Volkswagen AG,N/A,Undisclosed, ,Withdrawn
AST,3/14/2023,Armenia Business,Potential Buyer,Mobile TeleSystems PJSC,N/A,Undisclosed, ,Withdrawn
AST,3/15/2023,8 breweries/Russia,Anadolu Efes Biracilik Ve Malt Sanayii AS,Carlsberg AS,N/A,Undisclosed, ,Withdrawn
AST,3/28/2023,11 Henkels Plants/Russia,Private Investor,Henkel AG & Co KGaA,N/A,Cash, ,Pending
AST,3/30/2023,Russian business/Swixx Biopharma SA,Eli Lilly & Co,Swixx Biopharma SA,N/A,Cash, ,Pending
AST,3/31/2023,Baby food business/Russia,GK Chernogolovka AO,Kraft Heinz Co/The,N/A,Cash, ,Completed
AST,6/23/2023,Russian business/Carlsberg AS,Unnamed Buyer,Carlsberg AS,N/A,Cash, ,Pending
AST,5/4/2023,Russian location/Malaya Vishera,Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO,HASSLACHER DRAULAND Holzindustrie GmbH,N/A,Cash, ,Completed
AST,5/12/2023,Decathlon Store/Russia,Unnamed Buyer,Decathlon SA,N/A,Undisclosed, ,Withdrawn
AST,5/19/2023,Nevsky Prospekt/St Petersburg,TETIS Kepital OOO,,N/A,Cash, ,Completed
AST,7/3/2023,Pulkovo Sky/St Petersburg,Balchug Capital CJSC,,N/A,Cash, ,Completed
AST,7/3/2023,Metropolis shopping center/Moscow,Balchug Capital CJSC,,N/A,Cash, ,Completed
AST,7/14/2023,Production/Russia,Sollers PJSC,Isuzu Motors Ltd,N/A,Undisclosed, ,Completed
AST,7/20/2023,Tikhov Mine/Leninsk-Kuznetsk,Magnitogorsk Iron & Steel Works PJSC,Koks PAO,N/A,Undisclosed, ,Completed
AST,11/3/2023,Certain assets/Helsinki Shipyard Oy,4370422 Canada Inc,Helsinki Shipyard Oy,N/A,Cash, ,Completed
AST,11/14/2023,Certain Assets,Unnamed Buyer,Nebius Group NV,N/A,Undisclosed, ,Pending
AST,10/5/2023,2 observation & imaging satellites,Konsalt AO,,N/A,Cash, ,Pending
AST,10/12/2023,Russian Operations/Legrand,IEK OOO,Legrand SA,N/A,Cash, ,Completed
AST,10/31/2023,Russian Thermal Systems Business/ Valeo,NPK Avtopribor OOO,Valeo SE,N/A,Undisclosed, ,Pending
AST,8/1/2023,"Victoria Baltiya LLC,Deshevo Stores/Kaliningrad",X5 Retail Group NV,,N/A,Cash, ,Pending
AST,8/18/2023,Powertrain Systems business/Russia,NPK Avtopribor OOO,Valeo SE,N/A,Undisclosed, ,Pending
AST,9/6/2023,Russian DPD business/Geopost SA,Potential Buyer,La Poste SA,N/A,Cash, ,Withdrawn
AST,9/7/2023,"Russian businesses/British American Tobacco PLC,Belarusian businesses/British American Tobacco PLC","Management Group,BFI Holding LLC FZ",British American Tobacco PLC,N/A,Cash, ,Pending
AST,9/26/2023,Gypsum plant/Kazakhstan,Volma OOO,,N/A,Cash, ,Completed
AST,9/27/2023,Diversified business/Russia,Commex Technology Ltd,Binance Holdings Ltd,N/A,Cash, ,Pending
AST,2/22/2024,"Bor Glass Factory/Russia,Klin Glass Factory/Russia",Adamant Holding ZAO,AGC Inc,N/A,Undisclosed, ,Completed
AST,2/28/2024,Portfolio of non core asset/Russian Space Agency,Potential Buyer,Russian Space Agency,N/A,Cash, ,Withdrawn
AST,3/22/2024,EDP business/Russia,Gruppa Logika Moloka OOO,Danone SA,N/A,Cash, ,Completed
AST,3/23/2024,Russian operations/Danone,Vamin Tatarstan OAO,Danone SA,N/A,Cash, ,Completed
AST,1/10/2024,Portfolio of 2 Assets/Kaluga,Severstal PAO,Ventall Terminals Sia,N/A,Cash, ,Completed
AST,1/22/2024,Portfolio of 100 KFC outlets/Russia,Yunirest OOO,Ey Key Rasha OOO,N/A,Cash, ,Pending
AST,1/30/2024,Russian Oil Project/Siberia,ITOCHU Corp,Inpex Corp,N/A,Cash, ,Pending
AST,12/19/2023,Factory assets/Russia,Can Holding AS,Robert Bosch Stiftung GmbH,N/A,Cash, ,Withdrawn
AST,12/19/2023,Robert Bosc's factories/Strelna,Can Holding AS,Robert Bosch GmbH,N/A,Cash, ,Pending
AST,4/20/2023,Russian business/Ansell Ltd,Perspectiva ZAO,Ansell Ltd,N/A,Cash, ,Completed
AST,4/24/2023,Russian wholesale business,Stokmann AO/Moscow,HUGO BOSS AG,N/A,Cash, ,Completed
AST,4/25/2023,Local assets/Mercedes-Benz Group AG,Blok Avtodom OOO,Mercedes-Benz Group AG,N/A,Cash, ,Completed
AST,4/27/2023,Operative business/Delta Motor Group Oy,Hedin Mobility Group AB,Delta Motor Group Oy,N/A,Cash, ,Completed
AST,4/21/2022,SSC Sakhalin-2,"China National Petroleum Corp,China Petroleum & Chemical Corp,CNOOC Ltd",Shell PLC,N/A,Undisclosed, ,Withdrawn
AST,4/25/2022,Digital asset business,Unnamed Buyer,Exmo Exchange Ltd,N/A,Undisclosed, ,Pending
AST,4/28/2022,Yandex.Zen,VK IPJSC,Nebius Group NV,N/A,Cash, ,Completed
AST,4/29/2022,Aluminum Unit/United Co RUSAL International PJSC,Private Investor,United Co RUSAL International,N/A,Cash, ,Pending
AST,11/5/2020,Thermotechnology radiator factory,Purmo Group Oy AB,Bosch Ltd,N/A,Cash, ,Pending
AST,11/17/2020,Vostok Oil project,Farringford NV,Rosneft Oil Co PJSC,N/A,Cash, ,Completed
AST,11/23/2020,Electric power assets/LUKOIL PJSC,Potential Buyer,LUKOIL PJSC,N/A,Cash, ,Withdrawn
AST,11/28/2020,"Momat Rino for Russia and Kazakhstan and Uzbekistan/Glenmark Pharmaceuticals Ltd,Momat Rino Advance for Russia/Glenmark Pharmaceuticals Ltd,Momat A for Kazakhstan and Uzbekistan/Glenmark Pharmaceuticals Ltd,Glenspray and Glenspray Active for Ukraine/Glenmark Pharmaceuticals Ltd",Dr Reddy's Laboratories Ltd,Glenmark Pharmaceuticals Ltd,N/A,Cash, ,Pending
AST,10/26/2020,"Maximo Mall/Waterfront Skyway Marina,10600 sq ft single tenant retail building/Waterfront Skyway Marina",Allied Group Holdings LLC,,N/A,Cash, ,Completed
AST,10/29/2020,Alexandrovskoye open pit gold mining project & mining processing plant/Russia,Orsu Metals Corp,,N/A,Cash, ,Withdrawn
AST,9/1/2020,Zun-Holba Gold Mine,Potential Buyer,Nord Gold PLC,N/A,Cash, ,Withdrawn
AST,4/29/2019,Ekibastuz GRES-2 Coal Plant,Fund of National Welfare Samruk-Kazyna JSC,Inter RAO UES PJSC,N/A,Cash, ,Withdrawn
AST,3/11/2019,Non-core asset sales/Russia & Armenia,Potential Buyer,Solidcore Resources PLC,N/A,Cash, ,Withdrawn
AST,3/22/2019,Mats activity/Blesk InCare,Elis SA,Blesk InCare,N/A,Cash, ,Completed
AST,1/2/2019,Inzenham & Breitbrunn/Germany,Nafta AS,"Wintershall Dea International GmbH,Storengy Deutschland GmbH",N/A,Cash, ,Completed
AST,2/11/2019,ERGO Non-Life business/ERGO International AG,RESO-Garantia Insurance PJSC,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,N/A,Cash, ,Pending
AST,2/13/2019,Russian business/Atria Oyj,Potential Buyer,Atria Oyj,N/A,Cash, ,Withdrawn
AST,2/22/2019,Russian wireless business,Potential Buyer,VEON Ltd,N/A,Cash, ,Withdrawn
AST,4/1/2021,Portfolio of pharmaceutical products & food supplements brands,Acino International AG,Ilmiksgrupp AO,N/A,Cash, ,Completed
AST,4/13/2021,8 solar parks/Russia,Stichting INGKA Foundation,Solar Systems LLC,N/A,Cash, ,Completed
AST,4/19/2021,Tambei group of gas fields/Gazprom PJSC,Novatek PJSC,Gazprom PJSC,N/A,Cash and Stock, ,Withdrawn
AST,4/26/2021,Ural assets/NLMK Group,Potential Buyer,NLMK Group,N/A,Cash, ,Withdrawn
AST,5/21/2021,Amtel Logistics Complex/Bilogorodka,Ukrainian Commercial Property Investment Holding Ltd,Amtel Properties Development Ltd/Russia,N/A,Cash, ,Completed
AST,5/27/2021,Power plants/Russia,Inter RAO UES PJSC,Uniper SE,N/A,Cash, ,Withdrawn
AST,2/4/2021,Lysogorskoye gold deposit/Russia,Cache Exploration Inc,Artemovsky Rudnik JSC,N/A,Cash, ,Withdrawn
AST,2/20/2021,Allluvial assets/Vostok Zoloto OOO,Uryumkan OOO,Vostok Zoloto OOO,N/A,Cash, ,Completed
AST,1/11/2021,Citilink/Merlion Proekty OOO,Sberbank of Russia PJSC,Merlion Proekty OOO,N/A,Cash, ,Withdrawn
AST,1/12/2021,Fertilizer plant/Alfa-Bank AO,Uralkali PJSC,ABH Holdings SA,N/A,Cash, ,Completed
AST,1/27/2021,Zhelezhny Kryazh gold mining project,Private Investor,VKM OAO,N/A,Cash, ,Completed
AST,10/18/2018,Ukrainian laboratory operations\Invitro,Medicover AB,INVITRO LLC,N/A,Cash, ,Pending
AST,11/2/2018,Road machinery & Vehicle manufacturing assets,Potential Buyer,GAZ PJSC,N/A,Cash, ,Withdrawn
AST,7/18/2018,Certain Assets/Rosvodokanal Group,Veolia Environnement SA,Rosvodokanal Group,N/A,Cash, ,Withdrawn
